"table_taxa[, 1]","track1","track2","track3","track4","track5"
"asv1",74567,74567,74567,64904,0
"asv2",12803,12803,12803,12803,0
"asv3",698,698,4,0,0
"asv4",508,926,1647,1666,89338
"asv5",323,0,0,0,0
"asv6",97,97,97,97,0
"asv7",82,82,82,82,0
"asv8",29,29,29,29,0
"asv9",21,21,21,21,0
"asv10",76,15,0,0,0
"asv11",15,15,15,15,0
"asv12",25,25,25,25,0
"asv13",12,12,12,12,0
"asv14",15,2,0,0,0
"asv15",9,0,0,0,0
"asv16",13,10,4,0,0
"asv17",6,6,6,0,0
"asv18",6,6,6,6,0
"asv19",4,4,4,4,0
"asv20",3,0,0,0,0
"asv21",3,0,0,0,0
"asv22",3,0,0,0,0
"asv23",3,0,0,0,0
"asv24",3,0,0,0,0
"asv25",3,0,0,0,0
"asv26",3,0,0,0,0
"asv27",3,3,3,0,0
"asv28",3,12,8,0,0
"asv29",2,2,2,0,0
"asv30",0,3,3,9663,0
"asv31",0,0,0,6,0
"asv32",0,0,0,3,0
"asv33",0,0,0,2,0
