"asv","Kingdom","Phylum","Class","Order","Family","Genus"
"asv1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"asv2","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"asv3","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"asv4","Eukaryota",NA,NA,NA,NA,NA
"asv5","Eukaryota","Heterolobosea","Tetramitia","Tetramitia_or","Tetramitia_fa","Sawyeria"
"asv6","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA
"asv7","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"asv8","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7"
"asv9","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"asv10","Eukaryota","Euglenozoa","Euglenida","Aphagea","Aphagea_fa","Distigma"
"asv11","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella"
"asv12","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"asv13","Bacteria","Firmicutes","Bacilli","Bacillales","Family_XI","Gemella"
"asv14","Eukaryota","Euglenozoa","Euglenida","Aphagea","Aphagea_fa","Gyropaigne"
"asv15","Eukaryota","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Chionosphaeraceae","Ballistosporomyces"
"asv16","Eukaryota","Euglenozoa","Euglenida","Aphagea","Aphagea_fa",NA
"asv17","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella"
"asv18","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
"asv19","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"asv20","Eukaryota","Ciliophora","Intramacronucleata",NA,NA,NA
"asv21","Eukaryota","Chlorophyta_ph",NA,NA,NA,NA
"asv22","Bacteria","Proteobacteria",NA,NA,NA,NA
"asv23","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacillus"
"asv24","Eukaryota","Euglenozoa","Euglenida",NA,NA,NA
"asv25","Eukaryota","Parabasalia",NA,NA,NA,NA
"asv26","Eukaryota","Retaria","Polycystinea","Collodaria","Collodaria_fa","Collophidium"
"asv27","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus"
"asv28","Eukaryota","Euglenozoa",NA,NA,NA,NA
"asv29","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anaerobacillus"
"asv30","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA
"asv31","Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA
"asv32","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",NA
"asv33","Bacteria","Firmicutes","Bacilli",NA,NA,NA
