"table_taxa[, 1]","track1","track2","track3","track4","track5"
"asv1",27575,27575,27575,17501,0
"asv2",18518,18518,18518,0,0
"asv3",4154,4154,4154,0,0
"asv4",2221,2221,2221,0,0
"asv5",7318,7318,7318,7315,0
"asv6",4479,4479,4479,4470,0
"asv7",3337,3337,3337,3337,0
"asv8",2337,1922,3,0,0
"asv9",1466,1466,1466,1463,0
"asv10",1819,2945,5146,5211,84181
"asv11",1140,1140,1140,1118,0
"asv12",3673,3673,3673,3633,0
"asv13",846,846,846,846,0
"asv14",501,501,501,501,0
"asv15",632,632,632,592,0
"asv16",347,0,0,0,0
"asv17",637,637,637,637,0
"asv18",295,295,295,295,0
"asv19",176,176,176,176,0
"asv20",148,148,148,148,0
"asv21",124,124,124,124,0
"asv22",123,123,123,123,0
"asv23",90,90,90,90,0
"asv24",110,110,110,110,0
"asv25",140,140,140,140,0
"asv26",86,0,0,0,0
"asv27",264,264,264,202,0
"asv28",121,121,121,121,0
"asv29",94,94,94,94,0
"asv30",90,90,90,90,0
"asv31",67,67,67,67,0
"asv32",54,84,0,0,0
"asv33",127,127,127,0,0
"asv34",52,52,52,52,0
"asv35",57,57,57,51,0
"asv36",50,0,0,0,0
"asv37",47,47,47,47,0
"asv38",46,46,46,46,0
"asv39",66,0,0,0,0
"asv40",39,0,0,0,0
"asv41",259,66,0,0,0
"asv42",31,31,31,0,0
"asv43",54,54,54,39,0
"asv44",50,50,50,50,0
"asv45",27,27,27,0,0
"asv46",34,66,8,0,0
"asv47",18,18,18,18,0
"asv48",16,16,16,16,0
"asv49",14,19,23,35117,0
"asv50",18,18,18,5,0
"asv51",21,21,21,21,0
"asv52",11,0,0,0,0
"asv53",10,0,0,0,0
"asv54",12,12,12,0,0
"asv55",9,9,9,9,0
"asv56",9,0,0,0,0
"asv57",8,8,8,8,0
"asv58",15,0,0,0,0
"asv59",7,7,7,7,0
"asv60",7,7,7,7,0
"asv61",6,6,6,6,0
"asv62",6,6,6,0,0
"asv63",5,0,0,0,0
"asv64",5,5,5,5,0
"asv65",5,0,0,0,0
"asv66",7,7,3,0,0
"asv67",4,4,4,4,0
"asv68",4,0,0,0,0
"asv69",4,4,4,0,0
"asv70",7,7,7,0,0
"asv71",4,4,4,0,0
"asv72",3,0,0,0,0
"asv73",10,29,7,0,0
"asv74",3,3,3,3,0
"asv75",2,2,2,2,0
"asv76",2,0,0,0,0
"asv77",2,0,0,0,0
"asv78",2,2,2,2,0
"asv79",2,0,0,0,0
"asv80",2,0,0,0,0
"asv81",0,52,0,0,0
"asv82",0,2,2,20,0
"asv83",0,0,0,71,0
"asv84",0,0,0,40,0
"asv85",0,0,0,31,0
"asv86",0,0,0,40,0
"asv87",0,0,0,19,0
"asv88",0,0,0,15,0
"asv89",0,0,0,7,0
"asv90",0,0,0,6,0
"asv91",0,0,0,6,0
"asv92",0,0,0,4,0
"asv93",0,0,0,3,0
