"table_taxa[, 1]","track1","track2","track3","track4","track5"
"asv1",21380,21380,21380,21380,0
"asv2",24509,24509,24509,24507,0
"asv3",7766,7766,7766,6744,0
"asv4",8755,8755,8755,8752,0
"asv5",2031,2031,2031,1761,0
"asv6",866,866,251,0,0
"asv7",853,674,674,0,0
"asv8",860,860,0,0,0
"asv9",556,556,556,0,0
"asv10",538,538,538,0,0
"asv11",287,287,287,287,0
"asv12",442,442,442,0,0
"asv13",345,345,53,0,0
"asv14",158,329,644,730,69981
"asv15",113,0,0,0,0
"asv16",250,250,250,244,0
"asv17",75,75,75,75,0
"asv18",22,22,0,0,0
"asv19",20,216,1715,4155,0
"asv20",17,0,0,0,0
"asv21",16,16,0,0,0
"asv22",16,0,0,0,0
"asv23",15,8,0,0,0
"asv24",8,0,0,0,0
"asv25",8,0,0,0,0
"asv26",8,8,8,8,0
"asv27",7,7,7,0,0
"asv28",6,6,6,6,0
"asv29",6,0,0,0,0
"asv30",9,3,0,0,0
"asv31",5,5,5,0,0
"asv32",15,12,0,0,0
"asv33",5,5,5,5,0
"asv34",4,0,0,0,0
"asv35",5,5,2,0,0
"asv36",3,3,3,3,0
"asv37",2,2,0,0,0
"asv38",0,0,16,286,0
"asv39",0,0,3,1022,0
"asv40",0,0,0,7,0
"asv41",0,0,0,6,0
"asv42",0,0,0,3,0
