"table_taxa[, 1]","track1","track2","track3","track4","track5"
"asv1",39049,39049,39049,38467,0
"asv2",5878,5878,5878,5878,0
"asv3",4685,4685,4685,4126,0
"asv4",1054,1054,1083,1089,51407
"asv5",403,403,403,397,0
"asv6",103,103,103,103,0
"asv7",40,40,40,40,0
"asv8",41,41,41,21,0
"asv9",17,17,0,0,0
"asv10",20,20,20,20,0
"asv11",29,29,29,29,0
"asv12",13,13,13,13,0
"asv13",12,12,0,0,0
"asv14",10,10,10,0,0
"asv15",12,12,12,12,0
"asv16",6,6,6,0,0
"asv17",6,6,6,6,0
"asv18",6,6,6,6,0
"asv19",5,5,5,5,0
"asv20",5,5,5,0,0
"asv21",4,4,4,4,0
"asv22",3,3,3,3,0
"asv23",2,0,0,0,0
"asv24",3,0,0,0,0
"asv25",1,1,0,0,0
"asv26",0,2,3,559,0
"asv27",0,3,3,582,0
"asv28",0,0,0,17,0
"asv29",0,0,0,15,0
"asv30",0,0,0,6,0
"asv31",0,0,0,4,0
"asv32",0,0,0,3,0
"asv33",0,0,0,2,0
