"asv","Kingdom","Phylum","Class","Order","Family","Genus"
"asv1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"asv2","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"asv3","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1"
"asv4","Bacteria",NA,NA,NA,NA,NA
"asv5","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"asv6","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"asv7","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae",NA
"asv8","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anaerobacillus"
"asv9","Eukaryota","Heterolobosea","Tetramitia","Tetramitia_or","Tetramitia_fa","Sawyeria"
"asv10","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
"asv11","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella"
"asv12","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Parvimonas"
"asv13","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"asv14","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella"
"asv15","Bacteria","Firmicutes","Bacilli","Bacillales","Family_XI","Gemella"
"asv16","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"asv17","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Cloacibacterium"
"asv18","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"asv19","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"asv20","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Melissococcus"
"asv21","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia"
"asv22","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7"
"asv23","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_14"
"asv24","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","ATCC-39006"
"asv25","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Anaerobacter"
"asv26","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1",NA
"asv27","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA
"asv28","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA
"asv29","Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA
"asv30","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA
"asv31","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA
"asv32","Bacteria","Firmicutes","Bacilli",NA,NA,NA
"asv33","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA
