"asv","Kingdom","Phylum","Class","Order","Family","Genus"
"asv1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"asv2","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"asv3","Eukaryota",NA,NA,NA,NA,NA
"asv4","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"asv5","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"asv6","Eukaryota","Heterolobosea","Tetramitia","Tetramitia_or","Tetramitia_fa","Sawyeria"
"asv7","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"asv8","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"asv9","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
"asv10","Eukaryota","Euglenozoa","Euglenida","Aphagea","Aphagea_fa","Distigma"
"asv11","Bacteria","Firmicutes","Bacilli","Bacillales","Family_XI","Gemella"
"asv12","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria"
"asv13","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Achromobacter"
"asv14","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anaerobacillus"
"asv15","Eukaryota","Euglenozoa","Euglenida","Aphagea","Aphagea_fa","Gyropaigne"
"asv16","Eukaryota","Euglenozoa","Euglenida","Euglenophyceae",NA,NA
"asv17","Eukaryota","Euglenozoa",NA,NA,NA,NA
"asv18","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia"
"asv19","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum"
"asv20","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"asv21","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Meiothermus"
"asv22","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"asv23","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"asv24","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"asv25","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella"
"asv26","Eukaryota","Heterolobosea","Tetramitia","Tetramitia_or","Tetramitia_fa",NA
"asv27","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"asv28","Eukaryota","Ochrophyta",NA,NA,NA,NA
"asv29","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus"
"asv30","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Paeniclostridium"
"asv31","Bacteria","Actinobacteria","Actinobacteria","Frankiales",NA,NA
"asv32","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1"
"asv33","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus"
"asv34","Eukaryota","Euglenozoa","Euglenida","Aphagea","Aphagea_fa",NA
"asv35","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Rhodocytophaga"
"asv36","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planomicrobium"
"asv37","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas"
"asv38","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"asv39","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Friedmanniella"
"asv40","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter"
"asv41","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7"
"asv42","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"asv43","Eukaryota","Retaria",NA,NA,NA,NA
"asv44","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium"
"asv45","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1"
"asv46","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"asv47","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Salinimicrobium"
"asv48","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella"
"asv49","Eukaryota","Florideophycidae","Rhodymeniophycidae","Rhodymeniophycidae_or","Rhodymeniophycidae_fa",NA
"asv50","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"asv51","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"asv52","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"asv53","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"asv54","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinomycetospora"
"asv55","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcus"
"asv56","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"asv57","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Delftia"
"asv58","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group",NA
"asv59","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus"
"asv60","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus"
"asv61","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Negativibacillus"
"asv62","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","Belliella"
"asv63","Eukaryota","Euglenozoa","Kinetoplastea","Metakinetoplastina",NA,NA
"asv64","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agrococcus"
"asv65","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia"
"asv66","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-010"
"asv67","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"asv68","Eukaryota","Parabasalia","Tritrichomonadea","Tritrichomonadea_or","Tritrichomonadea_fa","Histomonas"
"asv69","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Aeribacillus"
"asv70","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Marisediminicola"
"asv71","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora"
