"table_taxa[, 1]","track1","track2","track3","track4","track5"
"asv1",14014,13998,30,0,0
"asv2",10615,14978,33038,33317,37466
"asv3",1358,17,0,0,0
"asv4",1345,1345,1345,1345,0
"asv5",1228,1228,1228,1228,0
"asv6",574,525,0,0,0
"asv7",3621,720,53,0,0
"asv8",430,592,63,0,0
"asv9",216,0,0,0,0
"asv10",345,1950,113,0,0
"asv11",312,312,312,312,0
"asv12",201,201,201,201,0
"asv13",457,144,0,0,0
"asv14",196,25,8,0,0
"asv15",127,0,0,0,0
"asv16",122,122,122,122,0
"asv17",157,0,0,0,0
"asv18",119,0,0,0,0
"asv19",105,105,105,105,0
"asv20",161,148,3,0,0
"asv21",156,156,156,156,0
"asv22",97,0,0,0,0
"asv23",257,90,0,0,0
"asv24",82,33,0,0,0
"asv25",66,62,0,0,0
"asv26",57,57,57,57,0
"asv27",56,56,56,56,0
"asv28",49,49,49,49,0
"asv29",45,3,0,0,0
"asv30",41,41,41,41,0
"asv31",38,0,0,0,0
"asv32",35,35,35,35,0
"asv33",45,2,0,0,0
"asv34",27,27,27,27,0
"asv35",53,0,0,0,0
"asv36",25,25,25,25,0
"asv37",39,39,39,35,0
"asv38",25,0,0,0,0
"asv39",20,20,20,0,0
"asv40",18,18,18,18,0
"asv41",28,0,0,0,0
"asv42",16,16,16,16,0
"asv43",16,16,16,16,0
"asv44",27,27,27,27,0
"asv45",15,15,15,15,0
"asv46",14,14,14,14,0
"asv47",14,14,14,14,0
"asv48",14,0,0,0,0
"asv49",24,24,24,24,0
"asv50",13,0,0,0,0
"asv51",13,13,13,0,0
"asv52",13,13,13,0,0
"asv53",28,14,0,0,0
"asv54",11,11,11,11,0
"asv55",11,11,11,11,0
"asv56",10,10,10,10,0
"asv57",10,10,10,10,0
"asv58",17,17,17,17,0
"asv59",10,0,0,0,0
"asv60",10,0,0,0,0
"asv61",9,0,0,0,0
"asv62",8,8,8,8,0
"asv63",8,0,0,0,0
"asv64",8,8,8,8,0
"asv65",8,8,8,0,0
"asv66",8,8,8,8,0
"asv67",7,7,7,0,0
"asv68",7,0,0,0,0
"asv69",7,7,7,0,0
"asv70",7,0,0,0,0
"asv71",6,6,6,0,0
"asv72",6,0,0,0,0
"asv73",6,0,0,0,0
"asv74",5,0,0,0,0
"asv75",5,5,5,5,0
"asv76",5,5,5,5,0
"asv77",5,0,0,0,0
"asv78",5,5,5,5,0
"asv79",5,5,5,5,0
"asv80",5,0,0,0,0
"asv81",12,13,6,0,0
"asv82",7,0,0,0,0
"asv83",4,0,0,0,0
"asv84",4,4,4,4,0
"asv85",9,0,0,0,0
"asv86",7,7,7,7,0
"asv87",4,4,4,4,0
"asv88",4,0,0,0,0
"asv89",4,4,4,4,0
"asv90",4,4,4,0,0
"asv91",4,0,0,0,0
"asv92",4,4,4,0,0
"asv93",3,0,0,0,0
"asv94",3,0,0,0,0
"asv95",3,3,3,3,0
"asv96",3,3,0,0,0
"asv97",3,0,0,0,0
"asv98",2,0,0,4,0
"asv99",2,0,0,0,0
"asv100",2,0,0,0,0
"asv101",0,0,3,0,0
"asv102",0,0,0,20,0
"asv103",0,0,0,26,0
"asv104",0,0,0,8,0
"asv105",0,0,0,11,0
"asv106",0,0,0,7,0
"asv107",0,0,0,6,0
"asv108",0,0,0,4,0
