"asv","Kingdom","Phylum","Class","Order","Family","Genus"
"asv1","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"asv2","Bacteria",NA,NA,NA,NA,NA
"asv3","Eukaryota","Heterolobosea","Tetramitia","Tetramitia_or","Tetramitia_fa","Sawyeria"
"asv4","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"asv5","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"asv6","Eukaryota","Euglenozoa","Euglenida","Aphagea","Aphagea_fa",NA
"asv7","Eukaryota","Euglenozoa","Euglenida","Aphagea","Aphagea_fa","Distigma"
"asv8","Eukaryota","Euglenozoa","Euglenida",NA,NA,NA
"asv9","Eukaryota","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Chionosphaeraceae","Ballistosporomyces"
"asv10","Eukaryota","Euglenozoa",NA,NA,NA,NA
"asv11","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
"asv12","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"asv13","Eukaryota","Euglenozoa","Euglenida","Aphagea","Aphagea_fa","Gyropaigne"
"asv14","Eukaryota","Retaria","Foraminifera","Globothalamea","Rotaliida","Ammonia"
"asv15","Eukaryota","Ochrophyta",NA,NA,NA,NA
"asv16","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Robinsoniella"
"asv17","Eukaryota","Parabasalia",NA,NA,NA,NA
"asv18","Eukaryota","Phragmoplastophyta","Embryophyta",NA,NA,NA
"asv19","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"asv20","Eukaryota","Retaria",NA,NA,NA,NA
"asv21","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"asv22","Eukaryota","Parabasalia","Tritrichomonadea","Tritrichomonadea_or","Tritrichomonadea_fa","Histomonas"
"asv23","Eukaryota","Euglenozoa","Euglenida","Euglenophyceae",NA,NA
"asv24","Eukaryota","Retaria","Polycystinea","Collodaria","Collodaria_fa",NA
"asv25","Eukaryota","Florideophycidae","Rhodymeniophycidae","Rhodymeniophycidae_or","Rhodymeniophycidae_fa",NA
"asv26","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"asv27","Bacteria","Firmicutes","Bacilli","Bacillales","Family_XI","Gemella"
"asv28","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Delftia"
"asv29","Eukaryota","Retaria","Polycystinea","Collodaria","Collodaria_fa","Collosphaera"
"asv30","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"asv31","Eukaryota","Euglenozoa","Kinetoplastea","Metakinetoplastina","Neobodonida","Neobodo"
"asv32","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Atopococcus"
"asv33","Eukaryota","Retaria","Polycystinea","Collodaria","Collodaria_fa","Disolenia"
"asv34","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus"
"asv35","Eukaryota","Mucoromycota","Incertae_Sedis","Mucorales","Cunninghamellaceae","Absidia"
"asv36","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"asv37","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"asv38","Eukaryota","Ascomycota",NA,NA,NA,NA
"asv39","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"asv40","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria"
"asv41","Eukaryota","Retaria","Polycystinea","Collodaria","Collodaria_fa","Collophidium"
"asv42","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcus"
"asv43","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"asv44","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella"
"asv45","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Solobacterium"
"asv46","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella"
"asv47","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus"
"asv48","Eukaryota","Cercozoa",NA,NA,NA,NA
"asv49","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"asv50","Eukaryota","Euglenozoa","Euglenida","Euglenophyceae","Euglenaceae","Colacium"
"asv51","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia"
"asv52","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter"
"asv53","Eukaryota","Euglenozoa","Kinetoplastea","Metakinetoplastina",NA,NA
"asv54","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma"
"asv55","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"asv56","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Tepidimonas"
"asv57","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia"
"asv58","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA
"asv59","Eukaryota","Cercozoa","Phytomyxea","Phytomyxea_or","Phytomyxea_fa","Plasmodiophora"
"asv60","Eukaryota","Heterolobosea","Tetramitia","Tetramitia_or","Tetramitia_fa",NA
"asv61","Eukaryota","Heterolobosea","Tetramitia","Tetramitia_or","Tetramitia_fa","Naegleria"
"asv62","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"asv63","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Mediophyceae","Cymatosira"
"asv64","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium"
"asv65","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1"
"asv66","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia"
"asv67","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella"
"asv68","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales",NA,NA
"asv69","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1"
"asv70","Eukaryota","Basidiomycota","Microbotryomycetes","Incertae_Sedis","Chrysozymaceae",NA
"asv71","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus"
"asv72","Eukaryota","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae",NA
"asv73","Eukaryota","Chytridiomycota","Incertae_Sedis","Lobulomycetales","Lobulomycetaceae","Lobulomyces"
"asv74","Eukaryota","Euglenozoa","Kinetoplastea","Metakinetoplastina","Eubodonida","Bodo"
"asv75","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Salinicoccus"
"asv76","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"asv77","Eukaryota","Apicomplexa","Conoidasida","Coccidia","Adeleorina","Hepatozoon"
"asv78","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"asv79","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudorhodoplanes"
"asv80","Eukaryota","Platyhelminthes","Rhabditophora","Mediofusata","Urastomidae",NA
"asv81","Bacteria","Proteobacteria",NA,NA,NA,NA
"asv82","Eukaryota","Euglenozoa","Kinetoplastea","Metakinetoplastina","Trypanosomatida",NA
"asv83","Eukaryota","Mucoromycota",NA,NA,NA,NA
"asv84","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella"
"asv85","Eukaryota","Florideophycidae",NA,NA,NA,NA
"asv86","Bacteria","Cyanobacteria","Melainabacteria","Obscuribacterales",NA,NA
"asv87","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"asv88","Eukaryota","Ciliophora","Intramacronucleata",NA,NA,NA
"asv89","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA
"asv90","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"asv91","Eukaryota","Ciliophora","Intramacronucleata","Conthreep","Oligohymenophorea",NA
"asv92","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"asv93","Eukaryota","Dinoflagellata","Dinophyceae","Peridiniphycidae","Gonyaulacales","Ceratium"
"asv94","Eukaryota","Euglenozoa","Kinetoplastea","Metakinetoplastina","Trypanosomatida","Leptomonas"
"asv95","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7"
"asv96","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Halodurantibacterium"
"asv97","Eukaryota","Arthropoda",NA,NA,NA,NA
"asv98","Bacteria","Firmicutes","Bacilli",NA,NA,NA
"asv99","Eukaryota","Basidiomycota","Agaricomycetes",NA,NA,NA
"asv100","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Candidatus_Zinderia"
"asv101","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA
"asv102","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
"asv103","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA
"asv104","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae",NA
"asv105","Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA
"asv106","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1",NA
"asv107","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA
"asv108","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA
