"table_taxa[, 1]","track1","track2","track3","track4","track5"
"asv1",20827,20798,46,0,0
"asv2",14091,18185,43630,43906,47264
"asv3",776,2221,18,0,0
"asv4",809,65,0,0,0
"asv5",443,443,443,443,0
"asv6",3936,838,174,0,0
"asv7",530,52,15,0,0
"asv8",896,896,887,0,0
"asv9",412,412,412,412,0
"asv10",380,380,380,380,0
"asv11",334,0,0,0,0
"asv12",604,220,0,0,0
"asv13",400,4,0,0,0
"asv14",207,0,0,0,0
"asv15",172,172,172,172,0
"asv16",233,233,233,233,0
"asv17",290,290,290,290,0
"asv18",238,247,6,0,0
"asv19",109,109,109,109,0
"asv20",98,0,0,0,0
"asv21",100,3,0,0,0
"asv22",77,77,77,77,0
"asv23",83,4,0,0,0
"asv24",68,68,68,68,0
"asv25",107,58,0,0,0
"asv26",58,0,0,0,0
"asv27",109,0,0,0,0
"asv28",45,45,45,45,0
"asv29",248,721,0,0,0
"asv30",106,458,5,0,0
"asv31",38,38,38,38,0
"asv32",30,30,30,30,0
"asv33",33,0,0,0,0
"asv34",20,20,20,20,0
"asv35",20,20,20,20,0
"asv36",19,0,9,0,0
"asv37",31,0,0,0,0
"asv38",19,0,0,0,0
"asv39",11,11,11,11,0
"asv40",11,0,0,0,0
"asv41",10,10,10,10,0
"asv42",10,10,10,10,0
"asv43",11,0,0,0,0
"asv44",14,0,0,0,0
"asv45",9,0,0,0,0
"asv46",8,0,0,5,0
"asv47",8,8,8,8,0
"asv48",7,7,7,7,0
"asv49",7,0,0,0,0
"asv50",7,7,7,0,0
"asv51",7,0,0,0,0
"asv52",6,6,6,0,0
"asv53",6,6,6,6,0
"asv54",6,6,6,6,0
"asv55",6,6,6,6,0
"asv56",5,0,0,0,0
"asv57",5,5,0,0,0
"asv58",5,5,5,5,0
"asv59",11,0,0,0,0
"asv60",8,8,8,8,0
"asv61",4,4,4,4,0
"asv62",4,0,0,0,0
"asv63",4,4,4,0,0
"asv64",4,4,4,4,0
"asv65",3,3,3,0,0
"asv66",3,3,3,3,0
"asv67",3,0,0,0,0
"asv68",3,0,0,0,0
"asv69",5,0,0,0,0
"asv70",3,0,0,0,0
"asv71",3,3,3,3,0
"asv72",3,0,0,0,0
"asv73",5,0,0,0,0
"asv74",3,3,3,3,0
"asv75",3,0,0,0,0
"asv76",3,0,0,0,0
"asv77",3,3,3,0,0
"asv78",3,0,0,0,0
"asv79",3,3,3,3,0
"asv80",2,0,0,0,0
"asv81",2,0,0,0,0
"asv82",2,0,0,0,0
"asv83",2,0,0,0,0
"asv84",2,0,0,0,0
"asv85",2,0,0,0,0
"asv86",4,0,0,0,0
"asv87",2,0,0,0,0
"asv88",2,0,0,0,0
"asv89",2,0,0,0,0
"asv90",3,3,3,0,0
"asv91",0,23,0,0,0
"asv92",0,3,0,0,0
"asv93",0,3,0,0,0
"asv94",0,0,9,881,0
"asv95",0,0,5,0,0
"asv96",0,0,0,18,0
"asv97",0,0,0,11,0
"asv98",0,0,0,6,0
"asv99",0,0,0,3,0
