"asv","Kingdom","Phylum","Class","Order","Family","Genus"
"asv1","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"asv2","Eukaryota",NA,NA,NA,NA,NA
"asv3","Eukaryota","Euglenozoa",NA,NA,NA,NA
"asv4","Eukaryota","Euglenozoa","Euglenida","Euglenophyceae",NA,NA
"asv5","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Meiothermus"
"asv6","Eukaryota","Euglenozoa","Euglenida","Aphagea","Aphagea_fa","Distigma"
"asv7","Eukaryota","Retaria","Foraminifera","Globothalamea","Rotaliida","Ammonia"
"asv8","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"asv9","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"asv10","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"asv11","Eukaryota","Basidiomycota",NA,NA,NA,NA
"asv12","Eukaryota","Euglenozoa","Euglenida","Aphagea","Aphagea_fa","Gyropaigne"
"asv13","Eukaryota","Heterolobosea","Tetramitia","Tetramitia_or","Tetramitia_fa","Sawyeria"
"asv14","Eukaryota","Ochrophyta",NA,NA,NA,NA
"asv15","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga"
"asv16","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"asv17","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus"
"asv18","Eukaryota","Euglenozoa","Euglenida",NA,NA,NA
"asv19","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella"
"asv20","Eukaryota","Dinoflagellata","Dinophyceae",NA,NA,NA
"asv21","Eukaryota","Parabasalia","Tritrichomonadea","Tritrichomonadea_or","Tritrichomonadea_fa",NA
"asv22","Bacteria","Gemmatimonadetes","S0134_terrestrial_group",NA,NA,NA
"asv23","Eukaryota","Parabasalia","Tritrichomonadea","Tritrichomonadea_or","Tritrichomonadea_fa","Histomonas"
"asv24","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia"
"asv25","Eukaryota","Florideophycidae","Rhodymeniophycidae","Rhodymeniophycidae_or","Rhodymeniophycidae_fa",NA
"asv26","Eukaryota","Retaria","Polycystinea","Collodaria","Collodaria_fa","Collophidium"
"asv27","Eukaryota","Retaria","Polycystinea","Collodaria","Collodaria_fa",NA
