"table_taxa[, 1]","track1","track2","track3","track4","track5"
"asv1",15989,5011,39,5,0
"asv2",11052,16064,33425,35736,45635
"asv3",3794,3794,3794,3794,0
"asv4",1393,0,0,0,0
"asv5",575,30,6,0,0
"asv6",496,0,0,0,0
"asv7",440,3,0,0,0
"asv8",533,533,533,533,0
"asv9",3114,827,42,0,0
"asv10",307,307,307,307,0
"asv11",491,54,0,0,0
"asv12",317,317,292,292,0
"asv13",263,0,0,0,0
"asv14",275,1227,111,0,0
"asv15",488,488,488,488,0
"asv16",256,67,0,0,0
"asv17",433,433,433,329,0
"asv18",151,0,0,0,0
"asv19",110,0,0,0,0
"asv20",264,569,15,0,0
"asv21",99,99,99,99,0
"asv22",129,129,129,0,0
"asv23",209,209,209,102,0
"asv24",91,528,9,0,0
"asv25",118,118,118,118,0
"asv26",203,203,203,203,0
"asv27",127,0,0,0,0
"asv28",158,158,158,158,0
"asv29",132,0,0,0,0
"asv30",82,82,82,82,0
"asv31",180,180,180,180,0
"asv32",114,114,114,10,0
"asv33",70,70,70,70,0
"asv34",86,86,86,86,0
"asv35",65,65,65,65,0
"asv36",64,64,64,62,0
"asv37",54,54,54,0,0
"asv38",54,54,54,0,0
"asv39",80,80,80,80,0
"asv40",68,0,0,0,0
"asv41",86,86,86,86,0
"asv42",83,83,83,83,0
"asv43",48,48,48,0,0
"asv44",63,63,63,63,0
"asv45",87,0,0,0,0
"asv46",44,44,44,0,0
"asv47",43,43,43,0,0
"asv48",40,40,40,40,0
"asv49",39,39,39,0,0
"asv50",67,67,67,36,0
"asv51",35,35,35,35,0
"asv52",35,35,35,35,0
"asv53",35,35,35,0,0
"asv54",82,52,0,0,0
"asv55",33,33,33,33,0
"asv56",91,229,111,0,0
"asv57",32,32,32,32,0
"asv58",31,31,31,31,0
"asv59",31,31,31,31,0
"asv60",42,42,42,30,0
"asv61",55,55,55,55,0
"asv62",75,75,75,75,0
"asv63",29,29,29,29,0
"asv64",29,0,0,0,0
"asv65",64,64,64,64,0
"asv66",28,28,28,28,0
"asv67",27,27,27,0,0
"asv68",54,54,54,27,0
"asv69",27,27,27,0,0
"asv70",30,30,30,26,0
"asv71",33,33,33,33,0
"asv72",54,54,54,20,0
"asv73",45,45,59,125,0
"asv74",27,27,27,23,0
"asv75",26,26,26,23,0
"asv76",22,22,22,0,0
"asv77",30,30,30,30,0
"asv78",22,22,22,22,0
"asv79",35,35,35,35,0
"asv80",20,20,20,20,0
"asv81",32,32,32,32,0
"asv82",19,19,19,19,0
"asv83",18,18,18,18,0
"asv84",17,0,0,0,0
"asv85",17,17,17,17,0
"asv86",17,17,17,17,0
"asv87",16,0,0,0,0
"asv88",16,16,16,16,0
"asv89",28,28,28,28,0
"asv90",39,39,39,39,0
"asv91",15,15,15,15,0
"asv92",14,14,14,14,0
"asv93",14,14,14,0,0
"asv94",14,14,14,14,0
"asv95",26,26,26,26,0
"asv96",13,13,13,20,0
"asv97",20,20,20,20,0
"asv98",12,12,12,12,0
"asv99",12,12,12,12,0
"asv100",17,17,17,17,0
"asv101",42,42,42,42,0
"asv102",12,12,12,0,0
"asv103",11,11,11,11,0
"asv104",11,11,11,11,0
"asv105",11,11,0,0,0
"asv106",16,16,16,6,0
"asv107",10,10,10,10,0
"asv108",10,10,10,10,0
"asv109",9,9,9,0,0
"asv110",9,9,9,0,0
"asv111",9,9,9,0,0
"asv112",9,9,9,0,0
"asv113",9,9,9,9,0
"asv114",9,9,9,9,0
"asv115",9,9,9,9,0
"asv116",8,8,8,8,0
"asv117",8,8,8,8,0
"asv118",8,8,8,8,0
"asv119",8,8,8,0,0
"asv120",8,0,0,0,0
"asv121",8,0,0,0,0
"asv122",7,7,7,0,0
"asv123",7,7,7,7,0
"asv124",7,7,7,7,0
"asv125",7,7,7,7,0
"asv126",7,7,7,7,0
"asv127",7,0,0,0,0
"asv128",7,7,7,7,0
"asv129",7,7,7,0,0
"asv130",7,7,7,7,0
"asv131",6,6,6,142,0
"asv132",6,6,6,6,0
"asv133",6,6,6,6,0
"asv134",6,0,0,0,0
"asv135",17,17,17,13,0
"asv136",6,6,6,0,0
"asv137",6,6,6,0,0
"asv138",6,0,0,0,0
"asv139",6,6,6,6,0
"asv140",6,6,6,6,0
"asv141",9,0,0,0,0
"asv142",6,6,6,6,0
"asv143",6,0,0,0,0
"asv144",6,6,6,6,0
"asv145",5,0,0,0,0
"asv146",5,57,0,0,0
"asv147",5,5,5,5,0
"asv148",10,6,0,0,0
"asv149",5,5,0,0,0
"asv150",5,5,5,0,0
"asv151",5,5,5,5,0
"asv152",5,5,5,5,0
"asv153",5,5,5,5,0
"asv154",5,0,0,0,0
"asv155",8,0,0,0,0
"asv156",4,4,0,0,0
"asv157",4,0,0,0,0
"asv158",4,4,4,4,0
"asv159",4,4,4,4,0
"asv160",4,0,0,0,0
"asv161",3,3,3,3,0
"asv162",3,3,3,3,0
"asv163",3,3,3,3,0
"asv164",3,0,0,0,0
"asv165",3,0,0,0,0
"asv166",5,5,3,0,0
"asv167",3,10978,0,0,0
"asv168",3,3,0,0,0
"asv169",3,0,0,0,0
"asv170",3,3,3,3,0
"asv171",5,5,5,5,0
"asv172",3,3,3,0,0
"asv173",3,0,0,0,0
"asv174",3,0,0,0,0
"asv175",3,3,3,3,0
"asv176",2,2,2,2,0
"asv177",2,2,2,29,0
"asv178",2,2,2,0,0
"asv179",2,2,2,0,0
"asv180",2,2,2,2,0
"asv181",2,2,2,0,0
"asv182",2,2,0,0,0
"asv183",2,0,0,0,0
"asv184",2,2,2,0,0
"asv185",2,2,2,0,0
"asv186",2,2,2,2,0
"asv187",2,2,2,0,0
"asv188",2,2,2,0,0
"asv189",2,2,1,0,0
"asv190",1,0,0,0,0
"asv191",0,6,6,2,0
"asv192",0,6,0,0,0
"asv193",0,3,2,0,0
"asv194",0,3,0,0,0
"asv195",0,1,0,3,0
"asv196",0,0,1954,0,0
"asv197",0,0,25,25,0
"asv198",0,0,5,0,0
"asv199",0,0,4,104,0
"asv200",0,0,5,10,0
"asv201",0,0,1,8,0
"asv202",0,0,0,110,0
"asv203",0,0,0,146,0
"asv204",0,0,0,81,0
"asv205",0,0,0,43,0
"asv206",0,0,0,39,0
"asv207",0,0,0,35,0
"asv208",0,0,0,57,0
"asv209",0,0,0,31,0
"asv210",0,0,0,27,0
"asv211",0,0,0,34,0
"asv212",0,0,0,24,0
"asv213",0,0,0,22,0
"asv214",0,0,0,14,0
"asv215",0,0,0,12,0
"asv216",0,0,0,14,0
"asv217",0,0,0,10,0
"asv218",0,0,0,6,0
"asv219",0,0,0,4,0
"asv220",0,0,0,4,0
"asv221",0,0,0,3,0
"asv222",0,0,0,3,0
"asv223",0,0,0,1,0
"asv224",0,0,0,1,0
