"table_taxa[, 1]","track1","track2","track3","track4","track5"
"asv1",7500,7500,7500,7500,0
"asv2",12122,12122,12122,12122,0
"asv3",6506,6492,1334,0,0
"asv4",7215,10481,16720,18326,56944
"asv5",3331,3331,3331,3331,0
"asv6",2494,2494,2490,2490,0
"asv7",2339,2339,2339,2273,0
"asv8",1903,6,0,0,0
"asv9",5295,5295,5295,5290,0
"asv10",1520,1520,1520,1518,0
"asv11",335,335,335,335,0
"asv12",1291,352,3,0,0
"asv13",219,219,219,219,0
"asv14",1086,1086,1086,1086,0
"asv15",194,8,0,0,0
"asv16",294,585,213,0,0
"asv17",173,173,173,173,0
"asv18",161,161,161,161,0
"asv19",370,370,370,358,0
"asv20",123,85,11,0,0
"asv21",95,0,0,0,0
"asv22",172,172,172,172,0
"asv23",77,77,77,77,0
"asv24",85,85,85,85,0
"asv25",151,0,0,0,0
"asv26",101,101,101,101,0
"asv27",206,206,206,206,0
"asv28",56,0,0,0,0
"asv29",53,53,53,53,0
"asv30",50,50,50,50,0
"asv31",46,46,46,46,0
"asv32",45,45,45,45,0
"asv33",41,41,41,0,0
"asv34",40,40,40,40,0
"asv35",78,78,78,78,0
"asv36",89,89,89,89,0
"asv37",37,37,37,34,0
"asv38",30,30,30,30,0
"asv39",81,31,0,0,0
"asv40",43,0,0,0,0
"asv41",28,28,28,28,0
"asv42",29,16,0,0,0
"asv43",47,47,47,47,0
"asv44",38,38,38,38,0
"asv45",23,23,23,23,0
"asv46",36,20,0,0,0
"asv47",27,0,0,0,0
"asv48",20,20,20,0,0
"asv49",19,19,19,19,0
"asv50",18,18,18,18,0
"asv51",18,0,0,0,0
"asv52",16,16,16,16,0
"asv53",16,16,16,16,0
"asv54",81,21,21,0,0
"asv55",15,15,15,15,0
"asv56",26,26,26,26,0
"asv57",22,22,22,13,0
"asv58",13,0,0,0,0
"asv59",24,24,24,24,0
"asv60",13,13,13,13,0
"asv61",12,12,12,12,0
"asv62",11,11,11,11,0
"asv63",11,0,0,0,0
"asv64",11,11,11,0,0
"asv65",11,11,11,11,0
"asv66",14,0,0,0,0
"asv67",11,11,11,0,0
"asv68",10,10,10,10,0
"asv69",13,22,0,0,0
"asv70",53,160,0,0,0
"asv71",10,10,10,0,0
"asv72",12,12,12,10,0
"asv73",9,9,9,0,0
"asv74",9,9,9,9,0
"asv75",8,8,8,8,0
"asv76",8,0,0,0,0
"asv77",8,8,8,0,0
"asv78",10,0,0,0,0
"asv79",7,7,7,7,0
"asv80",7,7,7,7,0
"asv81",7,0,0,0,0
"asv82",7,7,7,0,0
"asv83",7,7,7,7,0
"asv84",6,6,6,6,0
"asv85",6,6,6,6,0
"asv86",6,0,0,0,0
"asv87",6,6,6,6,0
"asv88",9,0,0,0,0
"asv89",6,6,6,6,0
"asv90",5,5,5,5,0
"asv91",5,0,0,0,0
"asv92",5,5,5,5,0
"asv93",5,5,5,5,0
"asv94",5,5,0,0,0
"asv95",4,17,10,2,0
"asv96",4,0,0,0,0
"asv97",4,4,4,4,0
"asv98",4,0,0,0,0
"asv99",3,0,0,0,0
"asv100",3,3,3,3,0
"asv101",3,3,3,3,0
"asv102",5,0,0,0,0
"asv103",2,2,0,0,0
"asv104",2,2,2,0,0
"asv105",2,0,0,0,0
"asv106",1,1,1,0,0
"asv107",1,1,1,0,0
"asv108",0,11,0,0,0
"asv109",0,5,3,0,0
"asv110",0,2,2,0,0
"asv111",0,0,4,0,0
"asv112",0,0,2,0,0
"asv113",0,0,2,0,0
"asv114",0,0,0,66,0
"asv115",0,0,0,41,0
"asv116",0,0,0,20,0
"asv117",0,0,0,15,0
"asv118",0,0,0,13,0
"asv119",0,0,0,11,0
"asv120",0,0,0,10,0
"asv121",0,0,0,16,0
"asv122",0,0,0,9,0
"asv123",0,0,0,8,0
"asv124",0,0,0,4,0
"asv125",0,0,0,2,0
"asv126",0,0,0,1,0
"asv127",0,0,0,1,0
