"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","Trunclen","nbases","MaxConsist","OmegaA"
"track1","140892","106474","105662","105447","101040","84177","157","78","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-40"
"track2","140892","106474","105883","105542","101367","84020","182","78","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-30"
"track3","140892","106474","106060","105599","101607","82187","209","77","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-20"
"track4","140892","106474","106096","105624","101584","80818","265","81","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-10"
"track5","140892","106474","105662","105447","101044","84181","157","79","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-40"
"track6","140892","106474","105883","105542","101371","84024","183","78","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-30"
"track7","140892","106474","106060","105599","101611","82191","209","78","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-20"
"track8","140892","106474","106096","105624","101588","80822","265","82","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-10"
"track9","140892","106474","105662","105447","101044","84181","157","79","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-40"
"track10","140892","106474","105883","105542","101371","84024","182","79","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-30"
"track11","140892","106474","106060","105599","101611","82191","208","79","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-20"
"track12","140892","106474","106096","105624","101588","80822","265","82","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-10"
"track13","140892","106474","105662","105447","101040","84177","157","78","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-40"
"track14","140892","106474","105883","105542","101367","84020","184","76","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-30"
"track15","140892","106474","106060","105599","101607","82187","208","78","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-20"
"track16","140892","106474","106096","105624","101584","80818","265","81","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-10"
"track17","140892","106474","105662","105447","101044","84181","157","79","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-40"
"track18","140892","106474","105883","105542","101371","84024","183","78","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-30"
"track19","140892","106474","106060","105599","101611","82191","208","79","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-20"
"track20","140892","106474","106096","105624","101588","80822","264","83","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-10"
"track21","140892","106474","105662","105447","101044","84181","158","78","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-40"
"track22","140892","106474","105883","105542","101371","84024","182","79","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-30"
"track23","140892","106474","106060","105599","101611","82191","208","79","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-20"
"track24","140892","106474","106096","105624","101588","80822","266","81","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-10"
"track25","140892","106474","105662","105447","101040","84177","158","77","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-40"
