"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv1",39917,43387,39339,42083,39986,39472,26523,38693,43627,39804,39342,42023,40030,43410,42646,41888,43473,43372,42431,42119,39939,43282,29504,42150,30531,39960,42669,41937,43493,43518,39354,42151,43396,39870,42616,42055,43488,43410,42758,38678,43612,43374,42770,42043,39973,43413,42727,41747
"asv2",3595,51,3412,41,3586,53,51,3377,51,51,51,47,60,53,53,51,51,51,51,65,51,51,53,42,51,3582,51,51,51,53,3393,51,51,3591,51,51,60,46,53,3386,46,51,46,51,3586,51,53,55
"asv3",443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443
"asv4",896,897,896,851,887,897,887,851,896,888,896,842,887,897,896,851,887,897,896,842,896,888,887,851,896,897,896,851,896,897,887,851,896,888,896,842,887,897,887,851,887,888,887,842,896,888,896,851
"asv5",412,412,409,409,412,412,409,409,412,412,409,409,412,412,409,409,412,412,409,409,412,412,409,409,412,412,409,409,412,412,409,409,412,412,409,409,412,412,409,409,412,412,409,409,412,412,409,409
"asv6",380,380,381,381,380,380,381,381,380,380,381,381,380,380,381,381,380,380,381,381,380,380,381,381,380,380,381,381,380,380,381,381,380,380,381,381,380,380,381,381,380,380,381,381,380,380,381,381
"asv7",172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172
"asv8",233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233
"asv9",290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290
"asv10",188,171,126,132,130,56,108,180,102,182,187,149,180,136,144,152,232,225,359,27,157,260,363,28,229,59,269,335,220,194,181,66,160,136,207,127,197,231,9,184,11,176,65,167,126,174,61,383
