"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","Trunclen","nbases","MaxConsist","OmegaA"
"track1","119995","66324","62650","61109","48088","45635","238","252","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-40"
"track2","119995","66324","62994","61727","48251","45489","296","255","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-30"
"track3","119995","66324","63219","61853","48198","45040","362","268","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-20"
"track4","119995","66324","63314","61896","47562","43970","464","278","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-10"
"track5","119995","66324","62650","61109","48088","45635","240","250","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-40"
"track6","119995","66324","62994","61727","48251","45489","297","254","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-30"
"track7","119995","66324","63219","61853","48198","45040","363","267","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-20"
"track8","119995","66324","63314","61896","47562","43970","466","276","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-10"
"track9","119995","66324","62650","61109","48088","45635","237","253","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-40"
"track10","119995","66324","62994","61727","48251","45489","295","256","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-30"
"track11","119995","66324","63219","61853","48198","45040","361","269","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-20"
"track12","119995","66324","63314","61896","47562","43970","465","277","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-10"
"track13","119995","66324","62650","61109","48088","45635","241","249","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-40"
"track14","119995","66324","62994","61727","48251","45489","294","257","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-30"
"track15","119995","66324","63219","61853","48198","45040","362","268","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-20"
"track16","119995","66324","63314","61896","47562","43970","466","276","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-10"
"track17","119995","66324","62650","61109","48088","45635","236","254","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-40"
"track18","119995","66324","62994","61727","48251","45489","295","256","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-30"
"track19","119995","66324","63219","61853","48198","45040","363","267","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-20"
"track20","119995","66324","63314","61896","47562","43970","464","278","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-10"
"track21","119995","66324","62650","61109","48088","45635","239","251","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-40"
"track22","119995","66324","62994","61727","48251","45489","295","256","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-30"
"track23","119995","66324","63219","61853","48198","45040","362","268","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-20"
"track24","119995","66324","63314","61896","47562","43970","465","277","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-10"
"track25","119995","66324","62650","61109","48088","45635","239","251","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-40"
"track26","119995","66324","62994","61727","48251","45489","297","254","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-30"
"track27","119995","66324","63219","61853","48198","45040","363","267","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-20"
"track28","119995","66324","63314","61896","47562","43970","465","277","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-10"
"track29","119995","66324","62650","61109","48088","45635","238","252","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-40"
"track30","119995","66324","62994","61727","48251","45489","295","256","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-30"
"track31","119995","66324","63219","61853","48198","45040","363","267","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-20"
"track32","119995","66324","63314","61896","47562","43970","467","275","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-10"
"track33","119995","66324","62650","61109","48088","45635","238","252","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-40"
"track34","119995","66324","62994","61727","48251","45489","293","258","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-30"
"track35","119995","66324","63219","61853","48198","45040","363","267","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-20"
"track36","119995","66324","63314","61896","47562","43970","466","276","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-10"
"track37","119995","66324","62650","61109","48088","45635","237","253","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-40"
"track38","119995","66324","62994","61727","48251","45489","294","257","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-30"
"track39","119995","66324","63219","61853","48198","45040","362","268","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-20"
"track40","119995","66324","63314","61896","47562","43970","465","277","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-10"
"track41","119995","66324","62650","61109","48088","45635","238","252","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-40"
"track42","119995","66324","62994","61727","48251","45489","294","257","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-30"
"track43","119995","66324","63219","61853","48198","45040","365","265","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-20"
"track44","119995","66324","63314","61896","47562","43970","465","277","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-10"
"track45","119995","66324","62650","61109","48088","45635","238","252","TruncLen_245-235","nbases_1e+10","MaxConsist_20","OmegaA_1e-40"
"track46","119995","66324","62994","61727","48251","45489","295","256","TruncLen_245-235","nbases_1e+10","MaxConsist_20","OmegaA_1e-30"
"track47","119995","66324","63219","61853","48198","45040","364","266","TruncLen_245-235","nbases_1e+10","MaxConsist_20","OmegaA_1e-20"
"track48","119995","66324","63314","61896","47562","43970","466","276","TruncLen_245-235","nbases_1e+10","MaxConsist_20","OmegaA_1e-10"
