"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv1",35401,35155,34525,33423,33481,24207,32627,33290,35439,35147,34482,33324,33544,35120,34466,33200,35281,35087,34501,33024,33528,35116,34379,33258,33485,33125,34402,33403,33453,35062,34402,33326,33463,35086,34368,33309,35213,35104,23618,33313,35400,35104,34388,31461,35379,33102,34227,33266
"asv2",3794,3757,3731,3674,3794,3757,3731,3674,3794,3757,3731,3674,3794,3757,3731,3674,3794,3757,3731,3674,3794,3757,3731,3674,3794,3757,3731,3674,3794,3757,3731,3674,3794,3757,3731,3674,3794,3757,3731,3674,3794,3757,3731,3674,3794,3757,3731,3674
"asv3",533,533,545,545,533,533,545,545,533,533,545,545,533,533,545,545,533,533,545,545,533,533,545,545,533,533,545,545,533,533,545,545,533,533,545,545,533,533,545,545,533,533,545,545,533,533,545,545
"asv4",307,307,305,302,307,307,305,302,307,307,305,302,307,307,305,302,307,307,305,302,307,307,305,302,307,307,305,302,307,307,305,302,307,307,305,302,307,307,305,302,307,307,305,302,307,307,305,302
"asv5",292,296,296,254,292,296,296,254,292,296,296,254,292,296,296,254,292,296,296,254,292,296,296,254,292,296,296,254,292,296,296,254,292,296,296,254,292,296,296,254,292,296,296,254,292,296,296,254
"asv6",488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488
"asv7",433,445,446,423,433,445,446,423,433,445,446,423,433,396,446,423,433,396,446,423,433,445,446,423,433,445,397,423,433,445,446,423,433,396,446,423,433,445,446,423,433,445,446,423,433,445,446,374
"asv8",99,99,99,101,99,99,99,101,99,99,99,101,99,99,99,101,99,99,99,101,99,99,99,101,99,99,99,101,99,99,99,101,99,99,99,101,99,99,99,101,99,99,99,101,99,99,99,101
"asv9",129,127,127,121,129,127,127,121,129,127,127,121,129,127,127,121,129,127,127,121,129,127,127,121,129,127,127,121,129,127,127,121,129,127,127,121,129,127,127,121,129,127,127,121,129,127,127,121
"asv10",209,209,208,217,209,209,208,217,209,209,208,217,209,209,208,217,209,209,208,217,209,209,208,217,209,209,208,217,209,209,208,217,209,209,208,217,209,209,208,217,209,209,208,217,209,209,208,217
"asv11",118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
"asv12",203,203,211,216,203,203,211,216,203,203,211,216,203,203,211,216,203,203,211,216,203,203,211,216,203,203,211,216,203,203,211,216,203,203,211,216,203,203,211,216,203,203,211,216,203,203,211,216
"asv13",158,168,168,168,158,168,168,168,158,168,168,168,158,168,168,168,158,168,168,168,158,168,168,168,158,168,168,168,158,168,168,168,158,168,168,168,158,168,168,168,158,168,168,168,158,168,168,168
"asv14",82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
"asv15",118,12,42,39,58,107,110,107,132,78,113,107,12,35,117,107,125,34,42,54,112,107,31,125,46,107,118,37,34,57,53,107,45,31,128,11,112,49,115,31,114,126,4,34,41,34,120,31
"asv16",180,185,183,191,180,185,183,191,180,185,183,191,180,185,183,191,180,185,183,191,180,185,183,191,180,185,183,191,180,185,183,191,180,185,183,191,180,185,183,191,180,185,183,191,180,185,183,191
"asv17",114,73,73,73,114,73,73,73,114,73,73,73,114,73,73,73,114,73,73,73,114,73,73,73,114,73,73,73,114,73,73,73,114,73,73,73,114,73,73,73,114,73,73,73,114,73,73,73
"asv18",70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
"asv19",86,86,86,88,86,86,86,88,86,86,86,88,86,86,86,88,86,86,86,88,86,86,86,88,86,86,86,88,86,86,86,88,86,86,86,88,86,86,86,88,86,86,86,88,86,86,86,88
"asv20",65,65,64,65,65,65,64,65,65,65,64,65,65,65,64,65,65,65,64,65,65,65,64,65,65,65,64,65,65,65,64,65,65,65,64,65,65,65,64,65,65,65,64,65,65,65,64,65
"asv21",98,31,12,74,148,22,5,119,70,64,72,81,89,114,39,223,198,155,6,422,51,85,150,119,76,82,112,84,112,86,120,40,110,191,103,88,272,69,131,182,103,94,207,76,120,88,251,111
"asv22",64,64,64,49,64,64,64,49,64,64,64,49,64,64,64,49,64,64,64,49,64,64,64,49,64,64,64,49,64,64,64,49,64,64,64,49,64,64,64,49,64,64,64,49,64,64,64,49
"asv23",54,65,63,65,54,65,63,65,54,65,63,65,54,65,63,65,54,65,63,65,54,65,63,65,54,65,63,65,54,65,63,65,54,65,63,65,54,65,63,65,54,65,63,65,54,65,63,65
"asv24",54,54,48,50,54,54,48,50,54,54,48,55,54,54,48,55,54,54,48,50,54,54,48,50,54,54,48,50,54,54,48,50,54,54,48,55,54,54,48,55,54,54,48,50,54,54,48,55
"asv25",80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
"asv26",86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
"asv27",83,83,84,75,83,83,84,75,83,83,84,75,83,83,84,75,83,83,84,75,83,83,84,75,83,83,84,75,83,83,84,75,83,83,84,75,83,83,84,75,83,83,84,75,83,83,84,75
"asv28",48,48,22,22,48,48,22,22,48,48,22,22,48,48,22,22,48,48,22,22,48,48,22,22,48,48,22,22,48,48,22,22,48,48,22,22,48,48,22,22,48,48,22,22,48,48,22,22
"asv29",63,63,62,59,63,63,62,59,63,63,62,59,63,63,62,59,63,63,62,59,63,63,62,59,63,63,62,59,63,63,62,59,63,63,62,59,63,63,62,59,63,63,62,59,63,63,62,59
"asv30",44,43,42,37,44,43,42,37,44,43,42,37,44,43,42,37,44,43,42,37,44,43,42,37,44,43,42,37,44,43,42,37,44,43,42,37,44,43,42,37,44,43,42,37,44,43,42,37
