"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv1",7500,7500,7445,7354,7500,7500,7445,7354,7500,7500,7445,7354,7500,7500,7445,7354,7500,7500,7445,7354,7500,7500,7445,7354,7500,7500,7445,7354,7500,7500,7445,7354,7500,7500,7445,7354,7500,7500,7445,7354,7500,7500,7445,7354,7500,7500,7445,7354
"asv2",12122,11925,11629,11483,12122,11925,11629,11483,12122,11925,11629,11483,12122,11925,11629,11483,12122,11925,11629,11483,12122,11925,11629,11483,12122,11925,11629,11483,12122,11925,11629,11483,12122,11925,11629,11483,12122,11925,11629,11483,12122,11925,11629,11483,12122,11925,11629,11483
"asv3",17993,18058,16755,17605,16861,16908,18080,17608,18189,16891,18053,17792,18188,16893,18051,17772,18186,18223,16750,17786,16882,16896,18061,16472,18167,16898,18049,17643,18170,16755,13915,17778,18165,18228,18075,16490,18000,18206,18045,17783,18183,18230,16747,17614,18167,18198,18026,17619
"asv4",3331,3326,3304,2969,3331,3326,3304,2969,3331,3326,3304,2969,3331,3326,3304,2969,3331,3326,3304,2969,3331,3326,3304,2969,3331,3326,3304,2969,3331,3326,3304,2969,3331,3326,3304,2969,3331,3326,3304,2969,3331,3326,3304,2969,3331,3326,3304,2969
"asv5",2494,2447,2380,2302,2494,2447,2380,2302,2494,2447,2380,2302,2494,2447,2380,2302,2494,2447,2380,2302,2494,2447,2380,2302,2494,2447,2380,2302,2494,2447,2380,2302,2494,2447,2380,2302,2494,2447,2380,2302,2494,2447,2380,2302,2494,2447,2380,2302
"asv6",2339,2351,2329,2165,2339,2351,2329,2165,2339,2351,2329,2165,2339,2351,2329,2165,2339,2351,2329,2165,2339,2351,2329,2165,2339,2351,2329,2165,2339,2351,2329,2165,2339,2351,2329,2165,2339,2351,2329,2165,2339,2351,2329,2165,2339,2351,2329,2165
"asv7",5295,5245,5051,4627,5295,5245,5051,4627,5295,5245,5051,4627,5295,5245,5051,4627,5295,5245,5051,4627,5295,5245,5051,4627,5295,5245,5051,4627,5295,5245,5051,4627,5295,5245,5051,4627,5295,5245,5051,4627,5295,5245,5051,4627,5295,5245,5051,4627
"asv8",1520,1482,1463,1461,1520,1482,1463,1461,1520,1482,1463,1461,1520,1482,1463,1461,1520,1482,1463,1461,1520,1482,1463,1461,1520,1482,1463,1461,1520,1482,1463,1461,1520,1482,1463,1461,1520,1482,1463,1461,1520,1482,1463,1461,1520,1482,1463,1461
"asv9",335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335
"asv10",219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219
"asv11",1086,1088,1097,1000,1086,1088,1094,997,1086,1088,1097,997,1086,1088,1094,1000,1086,1088,1094,997,1086,1088,1097,1000,1086,1088,1097,997,1086,1088,1097,1000,1086,1088,1094,997,1086,1088,1097,997,1086,1088,1097,1000,1086,1088,1094,1000
"asv12",173,173,171,166,173,173,171,166,173,173,171,166,173,173,171,166,173,173,171,166,173,173,171,166,173,173,171,166,173,173,171,166,173,173,171,166,173,173,171,166,173,173,171,166,173,173,171,166
"asv13",199,177,19,192,30,19,0,210,5,19,19,24,6,19,27,25,6,5,43,19,11,24,6,19,35,24,44,173,24,177,0,19,19,0,5,19,186,24,27,38,0,19,19,191,6,22,51,186
"asv14",161,161,159,151,161,161,159,151,161,161,159,148,161,161,159,148,161,161,159,148,161,161,159,148,161,161,159,148,161,161,159,151,161,161,159,151,161,161,159,151,161,161,159,148,161,161,159,151
"asv15",370,369,369,372,370,369,369,372,370,369,369,372,370,369,369,372,370,369,369,372,370,369,369,372,370,369,369,372,370,369,369,372,370,369,369,372,370,369,369,372,370,369,369,372,370,369,369,372
"asv16",172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172
"asv17",77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
"asv18",85,84,84,84,85,84,84,84,85,84,84,84,85,84,84,84,85,84,84,84,85,84,84,84,85,84,84,84,85,84,84,84,85,84,84,84,85,84,84,84,85,84,84,84,85,84,84,84
"asv19",101,101,88,88,101,101,88,88,101,101,88,88,101,101,88,88,101,101,88,88,101,101,88,88,101,101,88,88,101,101,88,88,101,101,88,88,101,101,88,88,101,101,88,88,101,101,88,88
"asv20",206,199,199,199,206,199,199,199,206,199,199,199,206,199,199,199,206,199,199,199,206,199,199,199,206,199,199,199,206,199,199,199,206,199,199,199,206,199,199,199,206,199,199,199,206,199,199,199
"asv21",53,50,50,50,53,50,50,50,53,50,50,50,53,50,50,50,53,50,50,50,53,50,50,50,53,50,50,50,53,50,50,50,53,50,50,50,53,50,50,50,53,50,50,50,53,50,50,50
"asv22",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"asv23",46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
"asv24",45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
