"asv","Kingdom","Phylum","Class","Order","Family","Genus"
"asv1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"asv2","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"asv3",NA,NA,NA,NA,NA,NA
"asv4","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA
"asv5","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"asv6","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7"
"asv7","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"asv8","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella"
"asv9","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"asv10","Bacteria","Firmicutes","Bacilli","Bacillales","Family_XI","Gemella"
"asv11","Eukaryota","Euglenozoa","Euglenida","Aphagea","Aphagea_fa","Distigma"
"asv12","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella"
"asv13","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
"asv14","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"asv15","Eukaryota","Euglenozoa",NA,NA,NA,NA
"asv16","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA
"asv17","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus"
"asv18","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anaerobacillus"
"asv19","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"asv20","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"asv21","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Melissococcus"
"asv22","Eukaryota","Euglenozoa","Euglenida",NA,NA,NA
"asv23","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","ATCC-39006"
"asv24","Bacteria","Actinobacteria","Actinobacteria","Micrococcales",NA,NA
"asv25","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"asv26","Bacteria","Proteobacteria",NA,NA,NA,NA
"asv27","Eukaryota","Euglenozoa","Euglenida","Aphagea","Aphagea_fa",NA
"asv28","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planomicrobium"
"asv29","Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA
"asv30","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA
