"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv1",27575,27535,26539,26509,27575,27535,26539,26509,27575,27535,26539,26509,27575,27535,26539,26511,27575,27535,26539,26509,27575,27535,26539,26511,27575,27535,26539,26511,27575,27535,26539,26509,27575,27535,26539,26511,27575,27535,26539,26509,27575,27535,26539,26509,27575,27535,26539,26511
"asv2",18518,18505,18201,17756,18518,18505,18201,17756,18518,18505,18201,17756,18518,18505,18201,17756,18518,18505,18201,17756,18518,18505,18201,17756,18518,18505,18201,17756,18518,18505,18201,17756,18518,15151,18201,17946,18518,18505,18201,17756,18518,18505,18201,17756,18518,18505,18201,17946
"asv3",4154,4154,3999,3891,4154,4154,3999,3891,4154,4154,3999,3891,4154,4154,3999,3891,4154,4154,3999,3891,4154,4154,3999,3891,4154,4154,3999,3891,4154,4154,3999,3891,4154,4154,3999,3891,4154,4154,3999,3891,4154,4154,3999,3891,4154,4154,3999,3891
"asv4",2221,2221,2137,2073,2221,2221,2137,2073,2221,2221,2137,2073,2221,2221,2137,2073,2221,2221,2137,2073,2221,2221,2137,2073,2221,2221,2137,2073,2221,2221,2137,2073,2221,2221,2137,2073,2221,2221,2137,2073,2221,2221,2137,2073,2221,2221,2137,2073
"asv5",7318,7282,7265,6760,7318,7282,7265,6760,7318,7282,7265,6760,7318,7282,7265,6760,7318,7282,7265,6760,7318,7282,7265,6760,7318,7282,7265,6760,7318,7282,7265,6760,7318,7282,7265,6760,7318,7282,7265,6760,7318,7282,7265,6760,7318,7282,7265,6760
"asv6",4479,4376,4373,4338,4479,4376,4373,4338,4479,4376,4373,4338,4479,4376,4373,4338,4479,4376,4373,4338,4479,4369,4373,4338,4479,4376,4373,4338,4479,4376,4373,4338,4479,4376,4373,4338,4479,4376,4373,4338,4479,4376,4373,4338,4479,4376,4373,4338
"asv7",3337,3339,3321,3101,3337,3339,3321,3101,3337,3339,3321,3101,3337,3339,3321,3101,3337,3339,3321,3101,3337,3339,3321,3101,3337,3339,3321,3101,3337,3339,3321,3101,3337,3339,3321,3101,3337,3339,3321,3101,3337,3339,3321,3101,3337,3339,3321,3101
"asv8",5145,4857,4727,4633,5157,4861,4710,4658,5157,5157,5031,4634,5151,3232,5029,4948,5157,4821,4738,4948,4855,5146,5012,3109,4799,4852,4990,4945,5146,5157,5031,4954,5146,5157,5004,4956,5143,3539,5029,4942,5152,5159,5033,4955,5152,5155,5033,4946
"asv9",1466,1466,1465,1465,1466,1466,1465,1465,1466,1466,1465,1465,1466,1466,1465,1465,1466,1466,1465,1465,1466,1466,1465,1465,1466,1466,1465,1465,1466,1466,1465,1465,1466,1466,1465,1465,1466,1466,1465,1465,1466,1466,1465,1465,1466,1466,1465,1465
"asv10",1140,1138,1137,1137,1140,1138,1137,1139,1140,1138,1137,1139,1140,1138,1137,1139,1140,1138,1137,1139,1140,1138,1135,1139,1140,1138,1137,1139,1140,1138,1137,1137,1140,1138,1135,1139,1140,1138,1135,1139,1140,1138,1137,1139,1140,1138,1137,1137
"asv11",3673,3674,3644,3612,3673,3674,3644,3612,3673,3674,3644,3610,3673,3674,3644,3610,3673,3674,3644,3610,3673,3674,3644,3610,3673,3674,3644,3610,3673,3674,3644,3610,3673,3674,3644,3610,3673,3674,3644,3610,3673,3674,3644,3610,3673,3674,3644,3610
"asv12",846,846,738,707,846,846,738,707,846,846,738,707,846,846,738,707,846,846,738,707,846,846,738,707,846,846,738,707,846,846,738,707,846,846,738,707,846,846,738,707,846,846,738,707,846,846,738,707
"asv13",501,500,500,481,501,500,500,481,501,500,500,481,501,500,500,481,501,500,500,481,501,500,500,481,501,500,500,481,501,500,500,481,501,500,500,481,501,500,500,481,501,500,500,481,501,500,500,481
"asv14",632,630,628,595,632,630,628,595,632,630,628,595,632,630,628,595,632,630,628,595,632,630,628,595,632,630,628,595,632,630,628,595,632,630,628,595,632,630,628,595,632,630,628,595,632,630,628,595
"asv15",637,637,638,638,637,637,638,638,637,637,641,638,637,637,641,641,637,637,638,641,637,637,638,638,637,637,641,641,637,637,641,638,637,637,638,641,637,637,638,641,637,637,638,638,637,637,638,641
"asv16",295,295,295,236,295,295,295,236,295,295,295,236,295,295,295,236,295,295,295,236,295,295,295,236,295,295,295,236,295,295,295,236,295,295,295,236,295,295,295,236,295,295,295,236,295,295,295,236
"asv17",176,176,178,113,176,176,178,113,176,176,178,113,176,176,178,113,176,176,178,113,176,176,178,113,176,176,178,113,176,176,178,113,176,176,178,113,176,176,178,113,176,176,178,113,176,176,178,113
"asv18",148,153,153,153,148,153,153,153,148,153,153,153,148,153,153,153,148,153,153,153,148,153,153,153,148,153,153,153,148,153,153,153,148,153,153,153,148,153,153,153,148,153,153,153,148,153,153,153
"asv19",124,124,124,128,124,124,124,128,124,124,124,128,124,124,124,128,124,124,124,128,124,124,124,128,124,124,124,128,124,124,124,128,124,124,124,128,124,124,124,128,124,124,124,128,124,124,124,128
"asv20",123,122,124,173,123,122,124,173,123,122,124,173,123,122,124,173,123,122,124,173,123,122,124,173,123,122,124,173,123,122,124,173,123,122,124,173,123,122,124,173,123,122,124,173,123,122,124,173
"asv21",90,92,95,95,90,92,95,95,90,92,95,95,90,92,95,95,90,92,95,95,90,92,95,95,90,92,95,95,90,92,95,95,90,92,95,95,90,92,95,95,90,92,95,95,90,92,95,95
"asv22",110,110,110,112,110,110,110,112,110,110,110,112,110,110,110,112,110,110,110,112,110,110,110,112,110,110,110,112,110,110,110,112,110,110,110,112,110,110,110,112,110,110,110,112,110,110,110,112
"asv23",140,140,118,114,140,140,118,114,140,140,118,114,140,140,118,114,140,140,118,114,140,140,118,114,140,140,118,114,140,140,118,114,140,140,118,114,140,140,118,114,140,140,118,114,140,140,118,114
"asv24",264,264,268,280,264,264,268,280,264,264,268,280,264,264,268,280,264,264,268,280,264,264,268,280,264,264,268,280,264,264,268,280,264,264,268,280,264,264,268,280,264,264,268,280,264,264,268,280
"asv25",121,119,119,125,121,119,119,125,121,119,119,125,121,119,119,125,121,119,119,125,121,119,119,125,121,119,119,125,121,119,119,125,121,119,119,125,121,119,119,125,121,119,119,125,121,119,119,125
"asv26",94,105,105,107,94,105,105,107,94,105,105,107,94,105,105,107,94,105,105,107,94,105,105,107,94,105,105,107,94,105,105,107,94,105,105,107,94,105,105,107,94,105,105,107,94,105,105,107
"asv27",90,90,90,84,90,90,90,84,90,90,90,84,90,90,90,84,90,90,90,84,90,90,90,84,90,90,90,84,90,90,90,84,90,90,90,84,90,90,90,84,90,90,90,84,90,90,90,84
"asv28",67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
"asv29",127,127,117,116,127,127,117,116,127,127,117,116,127,127,117,116,127,127,117,116,127,127,117,116,127,127,117,116,127,127,117,116,127,127,117,116,127,127,117,116,127,127,117,116,127,127,117,116
"asv30",52,52,52,51,52,52,52,51,52,52,52,51,52,52,52,51,52,52,52,51,52,52,52,51,52,52,52,51,52,52,52,51,52,52,52,51,52,52,52,51,52,52,52,51,52,52,52,51
"asv31",57,57,69,63,57,57,69,63,57,57,69,63,57,57,69,63,57,57,69,63,57,57,69,63,57,57,69,63,57,57,69,63,57,57,69,63,57,57,69,63,57,57,69,63,57,57,69,63
"asv32",47,47,46,46,47,47,46,46,47,47,46,46,47,47,46,46,47,47,46,46,47,47,46,46,47,47,46,46,47,47,46,46,47,47,46,46,47,47,46,46,47,47,46,46,47,47,46,46
