"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","Trunclen","nbases","MaxConsist","OmegaA"
"track1","118460","93697","93225","93279","88827","69981","59","17","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-40"
"track2","118460","93697","93459","93434","89236","68407","68","18","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-30"
"track3","118460","93697","93549","93450","88749","67863","83","18","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-20"
"track4","118460","93697","93574","93457","88901","67063","115","16","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-10"
"track5","118460","93697","93225","93279","88827","69981","59","17","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-40"
"track6","118460","93697","93459","93434","89236","68407","68","18","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-30"
"track7","118460","93697","93549","93450","88749","67863","83","18","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-20"
"track8","118460","93697","93574","93457","88901","67063","112","19","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-10"
"track9","118460","93697","93225","93279","88827","69981","58","18","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-40"
"track10","118460","93697","93459","93434","89236","68407","68","18","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-30"
"track11","118460","93697","93549","93450","88749","67863","84","17","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-20"
"track12","118460","93697","93574","93457","88901","67063","113","18","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-10"
"track13","118460","93697","93225","93279","88827","69981","58","18","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-40"
"track14","118460","93697","93459","93434","89236","68407","68","18","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-30"
"track15","118460","93697","93549","93450","88749","67863","83","18","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-20"
"track16","118460","93697","93574","93457","88901","67063","114","17","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-10"
"track17","118460","93697","93225","93279","88827","69981","58","18","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-40"
"track18","118460","93697","93459","93434","89236","68407","68","18","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-30"
"track19","118460","93697","93549","93450","88749","67863","83","18","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-20"
"track20","118460","93697","93574","93457","88901","67063","112","19","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-10"
"track21","118460","93697","93225","93279","88827","69981","58","18","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-40"
"track22","118460","93697","93459","93434","89236","68407","68","18","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-30"
"track23","118460","93697","93549","93450","88749","67863","83","18","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-20"
"track24","118460","93697","93574","93457","88901","67063","113","18","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-10"
"track25","118460","93697","93225","93279","88827","69981","58","18","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-40"
"track26","118460","93697","93459","93434","89236","68407","68","18","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-30"
