"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv1",21380,21368,21371,21351,21380,21368,21371,21351,21380,21368,21371,21351,21380,21368,21371,21351,21380,21368,21371,21351,21380,21368,21371,21351,21380,21368,21371,21351,21380,21368,21371,21351,21380,21368,21371,21351,21380,21368,21371,21351,21380,21368,21371,21351,21380,21368,21371,21351
"asv2",24509,24489,23959,23880,24509,24489,23959,23880,24509,24489,23959,23880,24509,24489,23959,23880,24509,24489,23959,23880,24509,24489,23959,23880,24509,24489,23959,23880,24509,24489,23959,23880,24509,24489,23959,23880,24509,24489,23959,23880,24509,24489,23959,23880,24509,24489,23959,23880
"asv3",7766,6833,6825,6820,7766,6833,6825,6820,7766,6833,6825,6820,7766,6833,6825,6820,7766,6833,6825,6820,7766,6833,6825,6820,7766,6833,6825,6820,7766,6833,6825,6820,7766,6833,6825,6820,7766,6833,6825,6820,7766,6833,6825,6820,7766,6833,6825,6820
"asv4",8755,8164,8156,7547,8755,8164,8156,7547,8755,8164,8156,7547,8755,8164,8156,7547,8755,8164,8156,7547,8755,8164,8156,7547,8755,8164,8156,7547,8755,8164,8156,7547,8755,8164,8156,7547,8755,8164,8156,7547,8755,8164,8156,7547,8755,8164,8156,7547
"asv5",2031,2027,2029,1930,2031,2027,2029,1930,2031,2027,2029,1930,2031,2027,2029,1930,2031,2027,2029,1930,2031,2027,2029,1930,2031,2027,2029,1930,2031,2027,2029,1930,2031,2027,2029,1930,2031,2027,2029,1930,2031,2027,2029,1930,2031,2027,2029,1930
"asv6",866,856,809,844,866,833,809,844,866,833,809,844,866,856,832,821,866,833,223,251,228,223,246,821,228,223,809,821,843,856,832,821,251,856,809,821,843,856,832,844,843,833,246,844,843,856,809,274
"asv7",674,663,661,655,674,663,661,655,674,663,661,655,674,663,661,655,674,663,661,655,674,663,661,655,674,663,661,655,674,663,661,655,674,663,661,655,674,663,661,655,674,663,661,655,674,663,661,655
"asv8",1100,1098,1130,1099,1100,1121,1130,1073,1100,1121,1384,1094,1100,1098,1107,1117,1100,1121,1716,1687,1738,1731,1695,1370,1716,1731,1130,1117,1123,1352,1109,1117,1715,1098,1130,1117,1123,1077,1107,1094,1123,1121,1693,1094,1123,1098,1384,1664
"asv9",556,556,554,551,556,556,554,551,556,556,554,551,556,556,554,551,556,556,554,551,556,556,554,551,556,556,554,551,556,556,554,551,556,556,554,551,556,556,554,551,556,556,554,551,556,556,554,551
"asv10",538,524,523,521,538,524,523,521,538,524,269,521,538,524,523,521,538,524,523,521,538,524,523,268,538,524,523,521,538,270,523,521,538,524,523,521,538,524,523,521,538,524,523,521,538,524,269,521
"asv11",287,287,287,281,287,287,287,281,287,287,287,281,287,287,287,281,287,287,287,281,287,287,287,281,287,287,287,281,287,287,287,281,287,287,287,281,287,287,287,281,287,287,287,281,287,287,287,281
"asv12",442,442,442,434,442,442,442,434,442,442,442,434,442,442,442,434,442,442,442,434,442,442,442,434,442,442,442,434,442,442,442,434,442,442,442,434,442,442,442,434,442,442,442,434,442,442,442,434
"asv13",644,697,697,413,642,697,697,490,697,697,644,697,692,697,697,642,692,697,697,700,697,697,697,697,697,697,697,697,644,695,697,697,695,697,697,697,695,461,697,700,644,644,461,697,695,413,697,642
"asv14",250,250,247,269,250,250,247,269,250,250,247,269,250,250,247,269,250,250,247,269,250,250,247,269,250,250,247,269,250,250,247,269,250,250,247,269,250,250,247,269,250,250,247,269,250,250,247,269
"asv15",53,0,0,0,53,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,53,0,53
"asv16",75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
"asv17",16,16,25,27,16,16,11,14,16,16,25,14,16,16,11,27,16,16,11,14,16,16,11,27,16,16,11,27,16,16,9,14,16,16,9,14,16,16,11,27,16,16,9,14,16,16,25,27
