"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv1",39049,38840,38837,38023,39049,38840,38837,38023,39049,38840,38837,38023,39049,38840,38837,38023,39049,38840,38837,38023,39049,38840,38837,38023,39049,38840,38837,38023,39049,38840,38837,38023,39049,38840,38837,38023,39049,38840,38837,38023,39049,38840,38837,38023,39049,38840,38837,38023
"asv2",5878,5878,5847,5051,5878,5878,5847,5062,5878,5878,5847,5051,5878,5878,5847,5062,5878,5878,5847,5062,5878,5878,5847,5051,5878,5878,5847,5062,5878,5878,5847,5051,5878,5878,5847,5062,5878,5878,5847,5051,5878,5878,5847,5062,5878,5878,5847,5062
"asv3",4685,4685,4619,4504,4685,4685,4619,4504,4685,4685,4619,4504,4685,4685,4619,4504,4685,4685,4619,4504,4685,4685,4619,4504,4685,4685,4619,4504,4685,4685,4619,4504,4685,4685,4619,4504,4685,4685,4619,4504,4685,4685,4619,4504,4685,4685,4619,4504
"asv4",1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1071,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1071,1083,1083,1083,1083,1083
"asv5",403,403,415,413,403,403,415,413,403,403,415,413,403,403,415,413,403,403,415,413,403,403,415,413,403,403,415,413,403,403,415,413,403,403,415,413,403,403,415,413,403,403,415,413,403,403,415,413
"asv6",103,100,100,93,103,100,100,93,103,100,100,93,103,100,100,93,103,100,100,93,103,100,100,93,103,100,100,93,103,100,100,93,103,100,100,93,103,100,100,93,103,100,100,93,103,100,100,93
"asv7",40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
"asv8",41,40,39,39,41,40,39,39,41,40,39,39,41,40,39,39,41,40,39,39,41,40,39,39,41,40,39,39,41,40,39,39,41,40,39,39,41,40,39,39,41,40,39,39,41,40,39,39
"asv9",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"asv10",29,29,32,29,29,29,32,29,29,29,32,29,29,29,32,29,29,29,32,29,29,29,32,29,29,29,32,29,29,29,32,29,29,29,32,29,29,29,32,29,29,29,32,29,29,29,32,29
"asv11",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"asv12",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"asv13",12,12,12,10,12,12,12,10,12,12,12,10,12,12,12,10,12,12,12,10,12,12,12,10,12,12,12,10,12,12,12,10,12,12,12,10,12,12,12,10,12,12,12,10,12,12,12,10
"asv14",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"asv15",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"asv16",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"asv17",5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4
"asv18",5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0
"asv19",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"asv20",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"asv21",3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2
"asv22",3,3,10,19,3,3,10,19,3,3,3,19,3,3,10,19,3,3,10,19,3,3,10,19,3,3,3,19,3,3,10,10,3,3,10,10,3,3,10,19,3,3,10,10,3,3,10,10
"asv23",0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4
"asv24",0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5
"asv25",0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"asv26",0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5
"asv27",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"asv29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,9
