"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","Trunclen","nbases","MaxConsist","OmegaA"
"track1","92988","59887","55516","56524","39899","37466","71","405","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-40"
"track2","92988","59887","55639","56874","40360","37741","80","416","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-30"
"track3","92988","59887","55676","56896","39927","37355","88","426","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-20"
"track4","92988","59887","55693","56905","39364","36495","99","435","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-10"
"track5","92988","59887","55516","56524","39899","37466","72","404","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-40"
"track6","92988","59887","55639","56874","40360","37741","80","416","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-30"
"track7","92988","59887","55676","56896","39927","37355","90","424","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-20"
"track8","92988","59887","55693","56905","39364","36495","99","435","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-10"
"track9","92988","59887","55516","56524","39899","37466","72","404","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-40"
"track10","92988","59887","55639","56874","40360","37741","81","415","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-30"
"track11","92988","59887","55676","56896","39927","37355","89","425","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-20"
"track12","92988","59887","55693","56905","39364","36495","99","435","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-10"
"track13","92988","59887","55516","56524","39899","37466","71","405","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-40"
"track14","92988","59887","55639","56874","40360","37741","80","416","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-30"
"track15","92988","59887","55676","56896","39927","37355","88","426","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-20"
"track16","92988","59887","55693","56905","39364","36495","101","433","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-10"
"track17","92988","59887","55516","56524","39899","37466","71","405","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-40"
"track18","92988","59887","55639","56874","40360","37741","80","416","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-30"
"track19","92988","59887","55676","56896","39927","37355","89","425","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-20"
"track20","92988","59887","55693","56905","39364","36495","100","434","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-10"
"track21","92988","59887","55516","56524","39899","37466","71","405","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-40"
"track22","92988","59887","55639","56874","40360","37741","79","417","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-30"
"track23","92988","59887","55676","56896","39927","37355","89","425","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-20"
"track24","92988","59887","55693","56905","39364","36495","100","434","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-10"
"track25","92988","59887","55516","56524","39899","37466","71","405","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-40"
"track26","92988","59887","55639","56874","40360","37741","81","415","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-30"
"track27","92988","59887","55676","56896","39927","37355","90","424","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-20"
"track28","92988","59887","55693","56905","39364","36495","102","432","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-10"
"track29","92988","59887","55516","56524","39899","37466","72","404","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-40"
"track30","92988","59887","55639","56874","40360","37741","80","416","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-30"
"track31","92988","59887","55676","56896","39927","37355","90","424","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-20"
"track32","92988","59887","55693","56905","39364","36495","102","432","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-10"
"track33","92988","59887","55516","56524","39899","37466","72","404","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-40"
"track34","92988","59887","55639","56874","40360","37741","80","416","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-30"
"track35","92988","59887","55676","56896","39927","37355","88","426","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-20"
"track36","92988","59887","55693","56905","39364","36495","101","433","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-10"
"track37","92988","59887","55516","56524","39899","37466","72","404","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-40"
"track38","92988","59887","55639","56874","40360","37741","81","415","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-30"
"track39","92988","59887","55676","56896","39927","37355","89","425","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-20"
"track40","92988","59887","55693","56905","39364","36495","98","436","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-10"
"track41","92988","59887","55516","56524","39899","37466","71","405","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-40"
"track42","92988","59887","55639","56874","40360","37741","79","417","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-30"
"track43","92988","59887","55676","56896","39927","37355","89","425","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-20"
"track44","92988","59887","55693","56905","39364","36495","101","433","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-10"
"track45","92988","59887","55516","56524","39899","37466","70","406","TruncLen_245-235","nbases_1e+10","MaxConsist_20","OmegaA_1e-40"
"track46","92988","59887","55639","56874","40360","37741","79","417","TruncLen_245-235","nbases_1e+10","MaxConsist_20","OmegaA_1e-30"
"track47","92988","59887","55676","56896","39927","37355","91","423","TruncLen_245-235","nbases_1e+10","MaxConsist_20","OmegaA_1e-20"
"track48","92988","59887","55693","56905","39364","36495","101","433","TruncLen_245-235","nbases_1e+10","MaxConsist_20","OmegaA_1e-10"
