"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv1",29952,24699,32681,28880,30045,33199,29875,31789,24347,33185,32619,31872,30170,33223,32620,20804,33023,33168,29835,31759,32931,33209,32615,31834,33062,21864,32538,31821,30217,33269,24055,31679,32994,33247,32795,31844,32827,33271,32662,31825,33103,33237,29827,29098,32997,33236,32518,29082
"asv2",2857,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv3",1345,1345,1508,1508,1345,1345,1508,1508,1345,1345,1508,1508,1345,1345,1508,1508,1345,1345,1508,1508,1345,1345,1508,1508,1345,1345,1508,1508,1345,1345,1508,1508,1345,1345,1508,1508,1345,1345,1508,1508,1345,1345,1508,1508,1345,1345,1508,1508
"asv4",1228,1228,1228,1148,1228,1228,1228,1148,1228,1228,1228,1148,1228,1228,1228,1148,1228,1228,1228,1148,1228,1228,1228,1148,1228,1228,1228,1148,1228,1228,1228,1148,1228,1228,1228,1148,1228,1228,1228,1148,1228,1228,1228,1148,1228,1228,1228,1148
"asv5",312,312,312,314,312,312,312,314,312,312,312,314,312,312,312,314,312,312,312,314,312,312,312,314,312,312,312,314,312,312,312,314,312,312,312,314,312,312,312,314,312,312,312,314,312,312,312,314
"asv6",201,220,222,197,201,220,222,197,201,220,222,197,201,220,222,197,201,220,222,197,201,220,222,197,201,220,222,197,201,220,222,197,201,220,222,197,201,220,222,197,201,220,222,197,201,220,222,197
"asv7",278,120,86,263,149,125,180,136,133,110,132,133,118,185,99,187,96,138,136,178,170,168,130,126,141,67,122,117,36,82,154,221,77,141,32,115,265,110,47,159,54,107,106,140,102,101,207,107
"asv8",122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
"asv9",105,105,105,103,105,105,105,103,105,105,105,103,105,105,105,103,105,105,105,103,105,105,105,103,105,105,105,103,105,105,105,103,105,105,105,103,105,105,105,103,105,105,105,103,105,105,105,103
"asv10",156,156,206,206,156,156,206,206,156,156,206,206,156,156,206,206,156,156,206,206,156,156,206,206,156,156,206,206,156,156,206,206,156,156,206,206,156,156,206,206,156,156,206,206,156,156,206,206
"asv11",104,65,0,95,92,109,0,21,39,153,2,0,0,41,46,5,102,60,43,107,108,65,63,2,0,51,5,44,69,63,0,47,11,0,0,2,111,63,83,68,65,73,56,65,39,46,44,116
"asv12",57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
"asv13",56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
"asv14",49,49,49,44,49,49,49,44,49,49,49,44,49,49,49,44,49,49,49,44,49,49,49,44,49,49,49,44,49,49,49,44,49,49,49,44,49,49,49,44,49,49,49,44,49,49,49,44
"asv15",41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
"asv16",35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
"asv17",59,36,124,105,124,37,42,126,42,40,126,101,103,46,122,68,40,105,103,57,61,40,61,147,67,119,99,103,61,40,112,61,117,108,47,109,40,40,72,9,41,82,108,55,79,81,37,47
