"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","Trunclen","nbases","MaxConsist","OmegaA"
"track1","107145","67324","65758","64053","48557","47264","62","396","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-40"
"track2","107145","67324","65918","64300","48735","47251","64","407","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-30"
"track3","107145","67324","65955","64316","48345","46492","71","410","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-20"
"track4","107145","67324","65967","64324","48009","45881","75","423","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-10"
"track5","107145","67324","65758","64053","48557","47264","61","397","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-40"
"track6","107145","67324","65918","64300","48735","47251","67","404","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-30"
"track7","107145","67324","65955","64316","48345","46492","70","411","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-20"
"track8","107145","67324","65967","64324","48009","45881","77","421","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-10"
"track9","107145","67324","65758","64053","48557","47264","61","397","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-40"
"track10","107145","67324","65918","64300","48735","47251","66","405","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-30"
"track11","107145","67324","65955","64316","48345","46492","70","411","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-20"
"track12","107145","67324","65967","64324","48009","45881","77","421","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-10"
"track13","107145","67324","65758","64053","48557","47264","64","394","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-40"
"track14","107145","67324","65918","64300","48735","47251","66","405","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-30"
"track15","107145","67324","65955","64316","48345","46492","70","411","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-20"
