"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","Trunclen","nbases","MaxConsist","OmegaA"
"track1","140542","83879","81931","81012","70264","56944","147","203","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-40"
"track2","140542","83879","82392","81366","70488","56693","160","207","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-30"
"track3","140542","83879","82503","81438","70423","55900","191","211","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-20"
"track4","140542","83879","82545","81459","70030","54362","243","216","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-10"
"track5","140542","83879","81931","81012","70264","56944","148","202","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-40"
"track6","140542","83879","82392","81366","70488","56693","162","205","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-30"
"track7","140542","83879","82503","81438","70423","55900","190","212","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-20"
"track8","140542","83879","82545","81459","70030","54362","242","217","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-10"
"track9","140542","83879","81931","81012","70264","56944","146","204","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-40"
"track10","140542","83879","82392","81366","70488","56693","163","204","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-30"
"track11","140542","83879","82503","81438","70423","55900","190","212","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-20"
"track12","140542","83879","82545","81459","70030","54362","242","217","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-10"
"track13","140542","83879","81931","81012","70264","56944","146","204","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-40"
"track14","140542","83879","82392","81366","70488","56693","163","204","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-30"
"track15","140542","83879","82503","81438","70423","55900","191","211","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-20"
"track16","140542","83879","82545","81459","70030","54362","244","215","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-10"
"track17","140542","83879","81931","81012","70264","56944","147","203","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-40"
"track18","140542","83879","82392","81366","70488","56693","161","206","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-30"
"track19","140542","83879","82503","81438","70423","55900","191","211","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-20"
"track20","140542","83879","82545","81459","70030","54362","243","216","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-10"
"track21","140542","83879","81931","81012","70264","56944","146","204","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-40"
"track22","140542","83879","82392","81366","70488","56693","163","204","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-30"
"track23","140542","83879","82503","81438","70423","55900","191","211","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-20"
"track24","140542","83879","82545","81459","70030","54362","244","215","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-10"
"track25","140542","83879","81931","81012","70264","56944","146","204","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-40"
"track26","140542","83879","82392","81366","70488","56693","162","205","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-30"
"track27","140542","83879","82503","81438","70423","55900","189","213","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-20"
"track28","140542","83879","82545","81459","70030","54362","243","216","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-10"
"track29","140542","83879","81931","81012","70264","56944","147","203","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-40"
"track30","140542","83879","82392","81366","70488","56693","161","206","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-30"
"track31","140542","83879","82503","81438","70423","55900","192","210","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-20"
"track32","140542","83879","82545","81459","70030","54362","243","216","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-10"
"track33","140542","83879","81931","81012","70264","56944","147","203","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-40"
"track34","140542","83879","82392","81366","70488","56693","161","206","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-30"
"track35","140542","83879","82503","81438","70423","55900","190","212","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-20"
"track36","140542","83879","82545","81459","70030","54362","243","216","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-10"
"track37","140542","83879","81931","81012","70264","56944","146","204","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-40"
"track38","140542","83879","82392","81366","70488","56693","160","207","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-30"
"track39","140542","83879","82503","81438","70423","55900","190","212","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-20"
