"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","135037","134696","127454","125569","78905","74051","160","270","Truncq_1","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track2","135037","134696","127454","125569","78905","74051","161","269","Truncq_2","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track3","135037","134696","127454","125569","78905","74051","160","270","Truncq_4","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track4","135037","134696","127454","125569","78905","74051","160","270","Truncq_8","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track5","135037","80775","79415","78713","28625","27435","11","149","Truncq_16","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track6","135037","77191","76126","75783","59009","55774","143","272","Truncq_1","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track7","135037","77191","76126","75783","59009","55774","142","273","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track8","135037","77191","76126","75783","59009","55774","143","272","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track9","135037","77191","76126","75783","59009","55774","142","273","Truncq_8","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track10","135037","80775","79415","78713","28625","27435","11","149","Truncq_16","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track11","135037","102192","100842","99892","73889","69730","159","273","Truncq_1","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track12","135037","102192","100842","99892","73889","69730","157","275","Truncq_2","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track13","135037","102192","100842","99892","73889","69730","158","274","Truncq_4","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track14","135037","102192","100842","99892","73889","69730","158","274","Truncq_8","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track15","135037","80775","79415","78713","28625","27435","12","148","Truncq_16","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track16","135037","122861","120477","119241","80041","75214","158","273","Truncq_1","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track17","135037","122861","120477","119241","80041","75214","154","277","Truncq_2","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track18","135037","122861","120477","119241","80041","75214","158","273","Truncq_4","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track19","135037","122861","120477","119241","80041","75214","157","274","Truncq_8","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track20","135037","80775","79415","78713","28625","27435","13","147","Truncq_16","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track21","135037","132614","125909","124723","78608","73779","159","268","Truncq_1","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track22","135037","132614","125909","124723","78608","73779","157","270","Truncq_2","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track23","135037","132614","125909","124723","78608","73779","157","270","Truncq_4","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track24","135037","132614","125909","124723","78608","73779","159","268","Truncq_8","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track25","135037","80775","79415","78713","28625","27435","11","149","Truncq_16","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
