"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","92988","92814","85386","83200","40233","38629","52","309","Truncq_1","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track2","92988","92814","85386","83200","40233","38629","54","307","Truncq_2","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track3","92988","92814","85386","83200","40233","38629","53","308","Truncq_4","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track4","92988","92814","85386","83200","40233","38629","54","307","Truncq_8","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track5","92988","58307","55266","55109","35189","34147","3","221","Truncq_16","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track6","92988","49393","46191","47780","29470","28256","47","296","Truncq_1","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track7","92988","49393","46191","47780","29470","28256","48","295","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track8","92988","49393","46191","47780","29470","28256","47","296","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track9","92988","49393","46191","47780","29470","28256","46","297","Truncq_8","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track10","92988","58307","55266","55109","35189","34147","2","222","Truncq_16","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track11","92988","68207","64211","65143","35166","33570","51","305","Truncq_1","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track12","92988","68207","64211","65143","35166","33570","49","307","Truncq_2","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track13","92988","68207","64211","65143","35166","33570","49","307","Truncq_4","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track14","92988","68207","64211","65143","35166","33570","48","308","Truncq_8","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track15","92988","58307","55266","55109","35189","34147","3","221","Truncq_16","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track16","92988","84533","79610","78852","39752","37930","50","306","Truncq_1","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track17","92988","84533","79610","78852","39752","37930","50","306","Truncq_2","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track18","92988","84533","79610","78852","39752","37930","50","306","Truncq_4","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track19","92988","84533","79610","78852","39752","37930","49","307","Truncq_8","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track20","92988","58307","55266","55109","35189","34147","2","222","Truncq_16","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track21","92988","91447","84423","82975","40354","38712","52","308","Truncq_1","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track22","92988","91447","84423","82975","40354","38712","54","306","Truncq_2","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track23","92988","91447","84423","82975","40354","38712","52","308","Truncq_4","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track24","92988","91447","84423","82975","40354","38712","53","307","Truncq_8","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track25","92988","58307","55266","55109","35189","34147","0","223","Truncq_16","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
