"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25"
"asv1",34490,32570,33959,32614,31307,25166,23704,25189,25112,33936,27938,29722,29709,29589,31369,33305,31855,32949,33733,33926,25545,34507,32104,32688,34039
"asv2",1405,1405,1405,1405,0,1035,1035,1035,1035,0,1285,1285,1285,1285,0,1472,1472,1472,1472,0,1388,1388,1388,1388,0
"asv3",1040,1040,1040,1040,0,922,922,922,922,0,929,929,929,929,0,1031,1031,1031,1031,0,1036,1036,1036,1036,0
"asv4",338,338,338,338,0,176,176,176,176,0,288,288,288,288,0,309,309,309,309,0,336,336,336,336,0
"asv5",231,231,231,231,0,167,167,167,167,0,212,212,212,212,0,240,240,240,240,0,231,231,231,231,0
"asv6",121,121,121,121,0,89,89,89,89,0,113,113,113,113,0,121,121,121,121,0,121,121,121,121,0
"asv7",106,106,106,106,0,76,76,76,76,0,102,102,102,102,0,106,106,106,106,0,106,106,106,106,0
"asv8",171,171,171,171,0,141,141,141,141,0,189,189,189,189,0,169,169,169,169,0,172,172,172,172,0
"asv9",112,77,110,35,76,21,21,21,63,76,32,30,92,90,29,132,32,32,32,18,33,77,0,77,18
"asv10",62,62,62,62,0,39,39,39,39,0,54,54,54,54,0,62,62,62,62,0,62,62,62,62,0
"asv11",48,48,48,48,0,28,28,28,28,0,41,41,41,41,0,46,46,46,46,0,47,47,47,47,0
"asv12",43,43,43,43,28,30,30,30,30,28,36,36,36,36,28,43,43,43,43,28,43,43,43,43,28
"asv13",60,60,60,60,0,40,40,40,40,0,54,54,54,54,0,43,43,43,43,0,60,60,60,60,0
"asv14",35,35,35,35,0,25,25,25,25,0,32,32,32,32,0,34,34,34,34,0,35,35,35,35,0
"asv15",30,28,28,28,0,17,19,19,17,0,26,26,26,26,0,30,28,28,30,0,28,28,30,30,0
"asv16",26,26,26,26,0,22,22,22,22,0,26,26,26,26,0,26,26,26,26,0,26,26,26,26,0
"asv17",41,108,567,97,83,30,12,52,50,89,32,183,144,271,35,498,39,938,99,99,152,110,683,30,62
"asv18",22,22,22,22,0,16,16,16,16,0,20,20,20,20,0,22,22,22,22,0,22,22,22,22,0
"asv19",17,17,17,17,0,6,6,6,6,0,10,10,10,10,0,16,16,16,16,0,16,16,16,16,0
"asv20",28,28,28,28,0,21,21,21,21,0,26,26,26,26,0,27,27,27,27,0,28,28,28,28,0
"asv21",32,32,32,32,0,19,19,19,19,0,22,22,22,22,0,27,27,27,27,0,31,31,31,31,0
"asv22",15,15,15,15,0,13,13,13,13,0,15,15,15,15,0,15,15,15,15,0,15,15,15,15,0
"asv23",14,14,14,14,0,10,10,10,10,0,13,13,13,13,0,13,13,13,13,0,13,13,13,13,0
"asv24",14,14,14,14,0,9,9,9,9,0,14,14,14,14,0,14,14,14,14,0,14,14,14,14,0
"asv25",28,33,33,28,2621,25,1512,31,25,0,1896,27,32,27,2621,33,1971,28,33,0,28,39,28,1952,0
"asv26",13,13,13,13,0,10,0,10,10,0,13,13,13,0,0,13,13,13,0,0,0,13,13,13,0
"asv27",13,13,13,13,0,11,11,11,11,0,15,15,15,15,0,13,13,13,13,0,13,13,13,13,0
"asv28",12,12,12,12,0,9,9,9,9,0,11,11,11,11,0,12,12,12,12,0,12,12,12,12,0
"asv29",10,10,10,10,0,9,9,9,9,0,9,9,9,9,0,10,10,10,10,0,10,10,10,10,0
"asv30",10,10,10,10,0,6,6,6,6,0,7,7,7,7,0,9,9,9,9,0,10,10,10,10,0
"asv31",8,8,8,8,0,0,0,0,0,0,7,7,7,7,0,8,8,8,8,0,8,8,8,8,0
"asv32",7,7,7,7,0,0,0,0,0,0,6,6,6,6,0,6,6,6,6,0,7,7,7,7,0
"asv33",6,6,6,6,0,6,6,6,0,0,6,0,0,0,7,6,0,23,0,0,0,24,0,0,0
"asv34",4,4,4,4,0,0,0,0,0,0,4,4,4,4,0,4,4,4,4,0,4,4,4,4,0
"asv35",4,0,4,4,0,3,0,0,3,0,5,0,4,4,0,0,4,4,4,0,0,0,4,0,0
"asv36",4,4,4,4,0,3,3,3,3,0,4,4,4,4,0,4,4,4,4,0,4,4,4,4,0
"asv37",4,4,0,0,0,0,0,2,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,0
"asv38",3,3,3,3,0,2,2,2,2,0,3,3,3,3,0,3,3,3,3,0,3,3,3,3,0
"asv39",2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,2,2,2,0
"asv40",0,1887,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,1918,0,0
"asv41",0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"asv42",0,0,4,4,0,2,2,0,0,0,3,0,0,3,0,4,4,4,4,0,4,4,4,0,0
"asv43",0,0,2,4,5,44,42,2,2,0,6,11,0,0,58,2,0,0,0,0,2,0,14,4,0
