"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","126709","126402","118153","111843","50565","48070","37","336","Truncq_1","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track2","126709","126402","118153","111843","50565","48070","38","335","Truncq_2","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track3","126709","126402","118153","111843","50565","48070","37","336","Truncq_4","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track4","126709","126402","118153","111843","50565","48070","37","336","Truncq_8","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track5","126709","58924","57552","54603","39298","38281","6","195","Truncq_16","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track6","126709","54729","53609","53557","34877","32866","29","315","Truncq_1","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track7","126709","54729","53609","53557","34877","32866","30","314","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track8","126709","54729","53609","53557","34877","32866","28","316","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track9","126709","54729","53609","53557","34877","32866","30","314","Truncq_8","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track10","126709","58924","57552","54603","39298","38281","5","196","Truncq_16","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track11","126709","81233","79496","77958","43351","40744","35","317","Truncq_1","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track12","126709","81233","79496","77958","43351","40744","34","318","Truncq_2","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track13","126709","81233","79496","77958","43351","40744","34","318","Truncq_4","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track14","126709","81233","79496","77958","43351","40744","33","319","Truncq_8","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track15","126709","58924","57552","54603","39298","38281","5","196","Truncq_16","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track16","126709","110702","107382","103147","49284","46894","36","330","Truncq_1","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track17","126709","110702","107382","103147","49284","46894","37","329","Truncq_2","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track18","126709","110702","107382","103147","49284","46894","39","327","Truncq_4","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track19","126709","110702","107382","103147","49284","46894","35","331","Truncq_8","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track20","126709","58924","57552","54603","39298","38281","5","196","Truncq_16","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track21","126709","123693","116221","110903","50073","47585","38","332","Truncq_1","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track22","126709","123693","116221","110903","50073","47585","37","333","Truncq_2","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track23","126709","123693","116221","110903","50073","47585","40","330","Truncq_4","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track24","126709","123693","116221","110903","50073","47585","36","334","Truncq_8","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track25","126709","58924","57552","54603","39298","38281","7","194","Truncq_16","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
