"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25"
"asv1",39867,39178,39136,39926,26617,24441,24492,24406,24445,26636,32393,32592,32555,32542,28342,38712,38723,38155,26789,28370,26533,39155,38848,38758,26577
"asv2",4319,4319,4319,4319,0,2135,2135,2135,2135,0,3290,3290,3290,3290,0,4114,4114,4114,4114,0,4190,4190,4190,4190,0
"asv3",600,600,600,600,0,216,216,216,216,0,446,446,446,446,0,586,586,586,586,0,593,593,593,593,0
"asv4",414,414,414,414,0,116,116,116,116,0,247,247,247,247,0,394,394,394,394,0,411,411,411,411,0
"asv5",301,301,301,301,0,144,144,144,144,0,249,249,249,249,0,309,309,309,309,0,224,224,224,224,0
"asv6",389,389,389,389,0,156,156,156,156,0,262,262,262,262,0,371,371,371,371,0,385,385,385,385,0
"asv7",483,483,483,483,0,186,186,186,186,0,347,347,347,347,0,466,466,466,466,0,479,424,479,479,0
"asv8",177,177,177,177,0,49,49,49,49,0,103,103,103,103,0,160,160,160,160,0,177,177,177,177,0
"asv9",202,202,202,202,0,69,69,69,69,0,130,130,130,130,0,195,195,195,195,0,199,199,199,199,0
"asv10",116,116,116,116,0,42,42,42,42,0,73,73,73,73,0,107,107,107,107,0,116,116,116,116,0
"asv11",126,125,129,125,0,50,50,50,50,0,95,95,93,95,0,120,119,119,120,0,123,121,120,122,0
"asv12",108,108,108,108,0,57,57,57,57,0,86,86,86,86,0,104,104,104,104,0,107,107,107,107,0
"asv13",196,196,196,196,0,83,83,83,83,0,154,154,154,154,0,180,180,180,180,0,185,185,185,185,0
"asv14",216,216,216,216,0,108,108,108,108,0,177,177,177,177,0,212,212,212,212,0,215,215,215,215,0
"asv15",90,90,90,90,0,45,45,45,45,0,70,70,70,70,0,88,88,88,88,0,92,92,92,92,0
"asv16",187,187,187,187,0,62,62,62,62,0,113,113,113,113,0,180,180,180,180,0,186,186,186,186,0
"asv17",82,82,82,82,0,33,33,33,33,0,65,65,65,65,0,79,79,79,79,0,82,82,82,82,0
"asv18",80,79,79,80,0,25,25,25,25,0,49,49,49,49,0,72,72,72,72,0,79,79,79,79,0
"asv19",149,814,848,87,33,75,11,100,61,33,208,13,82,71,107,78,72,638,181,48,833,505,817,902,114
"asv20",76,76,76,76,0,39,39,39,39,0,58,58,58,58,0,73,73,73,73,0,74,74,74,74,0
"asv21",70,70,70,70,0,42,42,42,42,0,63,63,63,63,0,70,70,70,70,0,70,70,70,70,0
"asv22",67,67,67,67,0,24,24,24,24,0,54,54,54,54,0,64,64,64,64,0,65,65,65,65,0
"asv23",64,64,64,64,0,19,19,19,19,0,43,43,43,43,0,60,60,60,60,0,63,63,63,63,0
"asv24",93,93,93,93,0,45,45,45,45,0,69,69,69,69,0,90,90,90,90,0,93,93,93,93,0
"asv25",101,101,101,101,0,43,43,43,43,0,99,99,99,81,0,100,100,100,100,0,101,101,101,101,0
"asv26",54,54,54,54,0,20,20,20,20,0,37,37,37,37,0,53,53,53,53,0,54,54,54,54,0
"asv27",95,95,95,95,0,12,12,12,12,0,50,50,50,50,0,89,89,89,89,0,95,95,95,95,0
"asv28",45,45,45,45,0,24,24,24,24,0,34,34,34,34,0,44,44,44,44,0,45,45,45,45,0
"asv29",110,110,110,110,0,32,32,32,32,0,60,60,60,60,0,99,99,99,99,0,109,109,109,109,0
"asv30",39,39,39,39,0,7,7,7,7,0,25,25,25,25,0,37,37,37,37,0,38,38,38,38,0
"asv31",52,52,52,52,0,21,21,21,21,0,38,38,38,38,0,49,49,49,49,0,52,52,52,52,0
"asv32",37,37,37,37,0,17,17,17,17,0,30,30,30,30,0,34,34,34,34,0,37,37,37,37,0
"asv33",36,36,36,36,0,17,17,17,17,0,22,22,22,22,0,29,29,29,29,0,32,32,32,32,0
"asv34",68,68,68,68,0,17,17,17,17,0,24,24,24,24,0,66,66,66,66,0,68,68,68,68,0
"asv35",35,35,35,35,0,8,8,8,8,0,18,18,18,18,0,35,35,35,35,0,35,35,35,35,0
"asv36",34,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"asv37",31,31,31,31,0,11,11,11,11,0,23,23,23,23,0,29,29,29,29,0,31,31,31,31,0
"asv38",42,42,42,42,0,18,18,18,18,0,36,36,36,36,0,41,41,41,41,0,42,42,42,42,0
"asv39",28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,0,27,27,27,27,0
"asv40",28,28,28,28,0,13,13,13,13,0,18,18,18,18,0,26,26,26,26,0,28,28,28,28,0
"asv41",39,39,39,34,1793,25,25,25,25,1793,32,28,28,28,0,38,33,42,33,0,39,39,39,39,1793
"asv42",31,35,28,31,0,13,19,19,13,0,23,23,31,23,0,31,31,40,41,0,39,36,49,47,0
"asv43",38,38,38,38,0,4,4,4,4,0,29,29,29,29,0,38,38,38,38,0,38,38,38,38,0
"asv44",22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,22,22,22,22,0
"asv45",21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,0,21,21,21,21,0
"asv46",23,23,23,23,0,13,13,13,13,0,20,20,20,20,0,23,23,23,23,0,23,23,23,23,0
"asv47",19,19,19,19,0,0,0,0,0,0,13,13,13,13,0,16,16,16,16,0,18,18,18,18,0
"asv48",15,15,15,15,0,9,9,9,9,0,13,13,13,13,0,14,14,14,14,0,15,15,15,15,0
"asv49",15,15,15,15,0,10,10,10,10,0,16,16,16,16,0,15,15,15,15,0,15,15,15,15,0
"asv50",13,13,13,13,0,0,0,0,0,0,10,10,10,10,0,15,15,15,15,0,13,13,13,13,0
"asv51",13,13,13,13,0,4,4,4,4,0,10,10,10,10,0,13,13,13,13,0,13,13,13,13,0
"asv52",12,12,12,0,0,6,0,0,0,0,8,0,0,0,0,12,12,12,12,0,0,0,0,0,0
"asv53",12,12,12,12,0,6,0,0,6,0,6,6,0,6,0,10,10,0,0,0,0,12,0,0,0
"asv54",12,12,12,12,0,9,9,9,9,0,11,11,11,11,0,12,12,12,12,0,12,12,12,12,0
"asv55",12,12,12,12,0,9,9,9,9,0,9,9,9,9,0,12,12,12,12,0,12,12,12,12,0
"asv56",11,11,11,11,0,4,4,4,4,0,4,4,4,4,0,9,9,9,9,0,11,11,11,11,0
"asv57",10,10,10,10,8,10,10,10,10,8,10,10,10,10,8,10,10,10,10,8,10,10,10,10,8
"asv58",10,10,10,10,0,0,0,0,0,0,7,7,7,7,0,9,9,9,9,0,10,10,10,10,0
"asv59",9,9,9,9,0,0,0,0,0,0,7,7,7,7,0,9,9,9,9,0,9,9,9,9,0
"asv60",9,9,9,9,0,0,0,0,0,0,7,7,7,7,0,8,8,8,8,0,9,9,9,9,0
"asv61",8,8,8,8,0,8,8,8,8,0,8,8,8,8,0,8,8,8,8,0,8,8,8,8,0
"asv62",7,7,7,7,0,5,5,5,5,0,6,6,6,6,0,7,7,7,7,0,7,7,7,7,0
"asv63",6,6,6,6,0,4,4,4,4,0,6,6,6,6,0,6,6,6,6,0,6,6,6,6,0
"asv64",6,6,6,6,0,3,3,3,3,0,0,0,0,0,0,6,6,6,6,0,6,6,6,6,0
"asv65",6,6,6,6,0,4,4,4,4,0,4,4,4,4,0,6,6,6,6,0,6,6,6,6,0
"asv66",6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,7,7,7,7,0
"asv67",10,10,10,10,0,6,6,6,6,0,7,7,7,7,0,10,10,10,10,0,10,10,10,10,0
"asv68",5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,4,4,0,0
"asv69",4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,4,0,4,4,0
"asv70",4,4,4,4,0,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,4,4,0,0,0
"asv71",4,4,4,4,0,0,0,0,0,0,2,2,2,2,0,3,3,3,3,0,4,4,4,4,0
"asv72",2,2,2,2,0,2,2,2,2,0,2,2,2,2,0,2,2,2,2,0,2,2,2,2,0
"asv73",2,2,2,2,0,2,2,2,2,0,2,2,2,2,0,2,2,2,2,0,2,2,2,2,0
"asv74",2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,2,2,2,0
"asv75",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,2,0,0
"asv76",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0
"asv77",1,1,1,1,0,0,0,0,0,0,2,2,2,2,0,2,2,2,2,0,1,1,1,1,0
"asv78",0,34,34,34,14,3,22,19,19,0,29,29,0,29,14,33,33,33,33,63,34,34,34,34,14
"asv79",0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11826,0,12291,0,0,0,0
"asv80",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"asv81",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0
"asv82",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"asv83",0,0,8,8,6,0,0,0,0,0,0,0,0,0,0,7,7,0,0,6,8,0,0,0,6
"asv84",0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv85",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0
"asv86",0,0,0,0,0,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv87",0,0,0,0,0,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv88",0,0,0,0,0,11,11,11,11,0,25,25,25,25,0,36,36,36,36,0,0,0,0,0,0
"asv89",0,0,0,0,0,4,4,4,4,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0
"asv90",0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv91",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0
"asv92",0,0,0,0,0,0,0,0,0,49,0,0,5,0,49,0,0,0,0,25,0,5,0,5,8
"asv93",0,0,0,0,0,0,0,0,0,0,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0
"asv94",0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
"asv95",0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
"asv96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0
"asv97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
