"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25"
"asv1",7102,7102,7102,7102,0,4396,4396,4396,4396,0,6400,6400,6400,6400,0,8078,8078,8078,8078,0,7775,7775,7775,7775,0
"asv2",13642,13642,13642,13642,0,7563,7563,7563,7563,0,12157,12157,12157,12157,0,14991,14991,14991,14991,0,14153,14153,14153,14153,0
"asv3",23479,23483,22581,23482,19120,13649,16777,16213,16772,19112,22011,21271,22018,22011,19008,23578,23586,23365,23536,19115,23623,23390,22832,22840,19115
"asv4",3955,3955,3955,3955,0,1112,1112,1112,1112,0,2706,2706,2706,2706,0,3922,3922,3922,3922,0,3876,3876,3876,3876,0
"asv5",5583,5583,5583,5583,0,2900,2900,2900,2900,0,4731,4731,4731,4731,0,5565,5565,5565,5565,0,5737,5737,5737,5737,0
"asv6",1828,1828,1828,1828,0,748,748,748,748,0,1503,1503,1503,1503,0,1766,1766,1766,1766,0,1810,1810,1810,1810,0
"asv7",2045,2045,2045,2045,0,1316,1316,1316,1316,0,1935,1935,1935,1935,0,2344,2344,2344,2344,0,2349,2349,2349,2349,0
"asv8",1106,1106,1106,1106,0,891,891,891,891,0,1314,1314,1314,1314,0,1582,1582,1582,1582,0,1101,1101,1101,1101,0
"asv9",229,229,229,229,0,123,123,123,123,0,192,192,192,192,0,225,225,225,225,0,229,229,229,229,0
"asv10",221,221,221,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,221,221,221,0
"asv11",1165,1165,1165,1165,0,585,585,585,585,0,943,943,943,943,0,1157,1157,1157,1157,0,1163,1163,1163,1163,0
"asv12",177,177,177,177,0,76,76,76,76,0,146,146,146,146,0,177,177,177,177,0,177,177,177,177,0
"asv13",169,169,169,169,0,100,100,100,100,0,140,140,140,140,0,168,168,168,168,0,169,169,169,169,0
"asv14",396,396,396,396,0,191,191,191,191,0,316,316,316,316,0,385,385,385,385,0,394,394,394,394,0
"asv15",242,242,242,242,0,112,112,112,112,0,218,218,218,218,0,227,227,227,227,0,233,233,233,233,0
"asv16",195,195,195,195,0,80,80,80,80,0,149,149,149,149,0,190,190,190,190,0,195,195,195,195,0
"asv17",89,89,89,89,0,33,33,33,33,0,64,64,64,64,0,86,86,86,86,0,89,89,89,89,0
"asv18",79,79,79,79,0,44,44,44,44,0,60,60,60,60,0,78,78,78,78,0,80,80,80,80,0
"asv19",119,119,119,119,0,57,57,57,57,0,91,91,91,91,0,116,116,116,116,0,119,119,119,119,0
"asv20",55,55,55,55,0,22,22,22,22,0,41,41,41,41,0,51,51,51,51,0,54,54,54,54,0
"asv21",55,55,55,55,0,23,23,23,23,0,42,42,42,42,0,54,54,54,54,0,55,55,55,55,0
"asv22",97,97,97,97,0,53,53,53,53,0,81,81,81,81,0,95,95,95,95,0,97,97,97,97,0
"asv23",78,78,78,78,0,49,49,49,49,0,71,71,71,71,0,78,78,78,78,0,77,77,77,77,0
"asv24",44,44,44,44,0,26,26,26,26,0,36,36,36,36,0,44,44,44,44,0,44,44,44,44,0
"asv25",40,40,40,40,0,0,0,0,0,0,35,35,35,35,0,39,39,39,39,0,40,40,40,40,0
"asv26",39,39,39,39,0,22,22,22,22,0,29,29,29,29,0,35,35,35,35,0,39,39,39,39,0
"asv27",34,34,34,34,0,16,16,16,16,0,24,24,24,24,0,33,33,33,33,0,34,34,34,34,0
"asv28",60,60,60,60,0,27,27,27,27,0,44,44,44,44,0,58,58,58,58,0,60,60,60,60,0
"asv29",30,30,30,30,0,16,16,16,16,0,22,22,22,22,0,27,27,27,27,0,33,33,33,33,0
"asv30",28,28,28,28,0,10,10,10,10,0,17,17,17,17,0,28,28,28,28,0,28,28,28,28,0
"asv31",25,25,25,25,0,15,15,15,15,0,21,21,21,21,0,23,23,23,23,0,25,25,25,25,0
"asv32",22,22,22,22,0,6,6,6,6,0,13,13,13,13,0,19,19,19,19,0,22,22,22,22,0
"asv33",16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv34",13,13,13,13,0,7,7,7,7,0,10,10,10,10,0,13,13,13,13,0,13,13,13,13,0
"asv35",22,0,0,19,7,3123,0,7,0,0,7,0,0,7,7,19,11,8,0,0,0,0,8,0,0
"asv36",20,31,879,20,5,18,13,18,13,5,27,774,27,19,5,31,20,31,31,5,31,31,31,878,5
"asv37",7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,7,7,7,7,0
"asv38",5,5,5,5,0,2,2,2,2,0,2,2,2,2,0,5,5,5,5,0,5,5,5,5,0
"asv39",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv40",0,0,61,0,0,0,0,11,0,0,0,0,0,0,100,0,0,224,0,0,64,291,0,0,0
"asv41",0,0,0,0,14,0,0,0,0,14,0,0,0,0,14,0,0,0,0,14,0,0,0,0,14
"asv42",0,0,0,0,0,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv43",0,0,0,0,0,18,18,18,18,12,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0
"asv44",0,0,0,0,0,0,0,541,0,0,0,0,0,8,0,0,11,0,0,0,0,0,847,0,0
"asv45",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv46",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,6,0,0,0
"asv48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
