trackID,filtered,denoisedF,denoisedR,merged,nonchim,assignes,badassignes,PRM_TRUNCQ,PRM_RMPHIX,PRM_MAXEE,Trunclen
track1,70136,69971,69871,69471,63585,18,53,Truncq_2,rmphix_TRUE,MaxEE_1-1,TruncLen_0-0
track2,70136,69971,69871,69471,63585,16,55,Truncq_4,rmphix_TRUE,MaxEE_1-1,TruncLen_0-0
track3,70136,69971,69871,69471,63585,17,54,Truncq_7,rmphix_TRUE,MaxEE_1-1,TruncLen_0-0
track4,70136,69971,69871,69471,63585,16,55,Truncq_11,rmphix_TRUE,MaxEE_1-1,TruncLen_0-0
track5,113921,113474,113856,1782,1782,2,16,Truncq_15,rmphix_TRUE,MaxEE_1-1,TruncLen_0-0
track6,82214,82072,82008,81701,74790,28,35,Truncq_2,rmphix_TRUE,MaxEE_1-1,TruncLen_250-230
track7,82214,82072,82008,81701,74790,28,35,Truncq_4,rmphix_TRUE,MaxEE_1-1,TruncLen_250-230
track8,82214,82072,82008,81701,74790,28,35,Truncq_7,rmphix_TRUE,MaxEE_1-1,TruncLen_250-230
track9,82214,82072,82008,81701,74790,28,35,Truncq_11,rmphix_TRUE,MaxEE_1-1,TruncLen_250-230
track10,11268,11239,11235,11208,10007,6,4,Truncq_15,rmphix_TRUE,MaxEE_1-1,TruncLen_250-230
track11,89604,89442,89365,1619,1617,8,38,Truncq_2,rmphix_TRUE,MaxEE_1-1,TruncLen_230-210
track12,89604,89442,89365,1619,1617,7,39,Truncq_4,rmphix_TRUE,MaxEE_1-1,TruncLen_230-210
track13,89604,89442,89365,1619,1617,8,38,Truncq_7,rmphix_TRUE,MaxEE_1-1,TruncLen_230-210
track14,89604,89442,89365,1619,1617,7,39,Truncq_11,rmphix_TRUE,MaxEE_1-1,TruncLen_230-210
track15,16365,16296,16307,322,322,0,10,Truncq_15,rmphix_TRUE,MaxEE_1-1,TruncLen_230-210
track16,94630,94450,94406,1800,1792,9,43,Truncq_2,rmphix_TRUE,MaxEE_1-1,TruncLen_210-190
track17,94630,94450,94406,1800,1792,8,44,Truncq_4,rmphix_TRUE,MaxEE_1-1,TruncLen_210-190
track18,94630,94450,94406,1800,1792,8,44,Truncq_7,rmphix_TRUE,MaxEE_1-1,TruncLen_210-190
track19,94630,94450,94406,1800,1792,8,44,Truncq_11,rmphix_TRUE,MaxEE_1-1,TruncLen_210-190
track20,25380,25279,25296,695,692,3,16,Truncq_15,rmphix_TRUE,MaxEE_1-1,TruncLen_210-190
track21,100514,100312,100315,1814,1811,5,45,Truncq_2,rmphix_TRUE,MaxEE_1-1,TruncLen_180-160
track22,100514,100312,100315,1814,1811,5,45,Truncq_4,rmphix_TRUE,MaxEE_1-1,TruncLen_180-160
track23,100514,100312,100315,1814,1811,6,44,Truncq_7,rmphix_TRUE,MaxEE_1-1,TruncLen_180-160
track24,100514,100312,100315,1814,1811,6,44,Truncq_11,rmphix_TRUE,MaxEE_1-1,TruncLen_180-160
track25,39338,39235,39223,996,994,4,25,Truncq_15,rmphix_TRUE,MaxEE_1-1,TruncLen_180-160
track26,70136,69971,69871,69471,63585,15,56,Truncq_2,rmphix_FALSE,MaxEE_1-1,TruncLen_0-0
track27,70136,69971,69871,69471,63585,16,55,Truncq_4,rmphix_FALSE,MaxEE_1-1,TruncLen_0-0
track28,70136,69971,69871,69471,63585,15,56,Truncq_7,rmphix_FALSE,MaxEE_1-1,TruncLen_0-0
track29,70136,69971,69871,69471,63585,17,54,Truncq_11,rmphix_FALSE,MaxEE_1-1,TruncLen_0-0
track30,113921,113474,113856,1782,1782,0,17,Truncq_15,rmphix_FALSE,MaxEE_1-1,TruncLen_0-0
track31,82214,82072,82008,81701,74790,27,36,Truncq_2,rmphix_FALSE,MaxEE_1-1,TruncLen_250-230
