"asv","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48","track49","track50","track51","track52","track53","track54","track55","track56","track57","track58","track59","track60","track61","track62","track63","track64","track65","track66","track67","track68","track69","track70","track71","track72","track73","track74","track75","track76","track77","track78","track79","track80","track81","track82","track83","track84","track85","track86","track87","track88","track89","track90","track91","track92","track93","track94","track95","track96","track97","track98","track99","track100","track101","track102","track103","track104","track105","track106","track107","track108","track109","track110","track111","track112","track113","track114","track115","track116","track117","track118","track119","track120","track121","track122","track123","track124","track125","track126","track127","track128","track129","track130","track131","track132","track133","track134","track135","track136","track137","track138","track139","track140","track141","track142","track143","track144","track145","track146","track147","track148","track149","track150","track151","track152","track153","track154","track155","track156","track157","track158","track159","track160","track161","track162","track163","track164","track165","track166","track167","track168","track169","track170","track171","track172","track173","track174","track175","track176","track177","track178","track179","track180","track181","track182","track183","track184","track185","track186","track187","track188","track189","track190","track191","track192","track193","track194","track195","track196","track197","track198","track199","track200","track201","track202","track203","track204","track205","track206","track207","track208","track209","track210","track211","track212","track213","track214","track215","track216","track217","track218","track219","track220","track221","track222","track223","track224","track225","track226","track227","track228","track229","track230","track231","track232","track233","track234","track235","track236","track237","track238","track239","track240","track241","track242","track243","track244","track245","track246","track247","track248","track249","track250"
"asv1",52067,52067,52067,52067,0,62524,62524,62524,62524,7847,6,6,6,6,0,6,6,6,6,0,6,6,6,6,3,52067,52067,52067,52067,0,62524,62524,62524,62524,7847,6,6,6,6,0,6,6,6,6,0,6,6,6,6,3,70445,70445,70445,70445,0,75243,75243,75243,75243,7847,6,6,6,6,0,6,6,6,6,0,6,6,6,6,3,70445,70445,70445,70445,0,75243,75243,75243,75243,7847,6,6,6,6,0,6,6,6,6,0,6,6,6,6,3,78665,78665,78665,78665,0,81408,81408,81408,81408,7847,6,6,6,6,0,6,6,6,6,0,6,6,6,6,3,78665,78665,78665,78665,0,81408,81408,81408,81408,7847,6,6,6,6,0,6,6,6,6,0,6,6,6,6,3,80620,80620,80620,80620,0,81173,81173,81173,81173,7847,8,8,8,8,0,6,6,6,6,0,6,6,6,6,3,80620,80620,80620,80620,0,81173,81173,81173,81173,7847,8,8,8,8,0,6,6,6,6,0,6,6,6,6,3,83779,83779,83779,83779,0,84553,84553,84553,84553,7847,8,8,8,8,0,6,6,6,6,0,6,6,6,6,3,83779,83779,83779,83779,0,84553,84553,84553,84553,7847,8,8,8,8,0,6,6,6,6,0,6,6,6,6,3
"asv2",9408,9408,9408,9408,0,10900,10900,10900,10900,2016,3,3,3,3,0,3,3,3,3,0,3,3,3,3,0,9408,9408,9408,9408,0,10900,10900,10900,10900,2016,3,3,3,3,0,3,3,3,3,0,3,3,3,3,0,12221,12221,12221,12221,0,12879,12879,12879,12879,2016,3,3,3,3,0,3,3,3,3,0,3,3,3,3,0,12221,12221,12221,12221,0,12879,12879,12879,12879,2016,3,3,3,3,0,3,3,3,3,0,3,3,3,3,0,12343,12343,12343,12343,0,13936,13936,13936,13936,2016,3,3,3,3,0,3,3,3,3,0,3,3,3,3,0,12343,12343,12343,12343,0,13936,13936,13936,13936,2016,3,3,3,3,0,3,3,3,3,0,3,3,3,3,0,12406,12406,12406,12406,0,13724,13724,13724,13724,2016,3,3,3,3,0,3,3,3,3,0,3,3,3,3,0,12406,12406,12406,12406,0,13724,13724,13724,13724,2016,3,3,3,3,0,3,3,3,3,0,3,3,3,3,0,12874,12874,12874,12874,0,14364,14364,14364,14364,2016,3,3,3,3,0,3,3,3,3,0,3,3,3,3,0,12874,12874,12874,12874,0,14364,14364,14364,14364,2016,3,3,3,3,0,3,3,3,3,0,3,3,3,3,0
"asv3",428,0,3,3,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,536,358,0,425,0,428,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,536,0,0,0,0,3,3,0,3,0,0,0,0,0,82,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,3,91,3,520,0,0,0,0,0,0,0,0,0,0,123,0,0,674,0,11,0,107,581,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,3,3,0,3,0,0,0,0,0,0,0,582,582,582,0,591,0,0,0,0,0,0,0,0,0,0,556,3,3,553,0,0,0,0,0,0,0,0,0,0,0,0,577,577,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,584,109,0,0,0,0,582,3,3,0,0,0,0,0,0,0,0,586,0,0,0,0,591,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0
"asv4",1435,1867,1860,1927,1681,1018,1018,1018,1015,52,1492,1572,1484,1572,320,1664,1746,1746,1746,684,1785,1793,1689,1249,595,1936,1511,1928,1500,1777,1101,1018,1105,1018,132,1574,1572,1574,1484,311,1746,1746,1746,1746,673,1249,1785,1689,1785,989,2210,2295,2289,2301,1681,1318,1226,1321,1321,52,1803,1704,1704,1803,320,1888,1991,1888,1888,684,2003,1896,2003,2003,989,2212,2207,2295,1784,1775,1321,1321,1321,1226,132,1706,1704,1712,1706,188,1888,1888,1317,1991,673,2003,1896,1422,2003,989,2487,2379,2487,2494,1775,1448,1448,1448,1448,134,1942,1941,1942,1836,320,2102,2102,1992,2102,673,2065,1955,2065,2065,956,2381,2379,2486,2366,1775,1350,1448,1445,1342,132,1939,1360,1363,1357,320,1401,2102,2102,2102,684,2065,1955,2065,1955,989,2381,1815,2472,2372,1224,1415,1315,1423,1415,132,1786,1784,1888,1784,311,2049,2049,1472,1469,673,1915,2024,2021,1915,956,2470,2477,2375,2474,1777,1415,1415,1321,1415,50,1781,1786,1886,1885,320,2049,2049,2049,2049,684,1440,1912,1915,1915,989,2590,2008,2481,2589,1777,1373,1482,1479,1482,132,1961,1851,1375,1851,320,2109,2112,1524,2002,684,2065,2065,2065,2065,989,2589,2566,2479,2595,1775,1479,1373,1373,1370,134,1966,1963,1961,1851,320,2112,2115,2115,2112,425,2065,2065,2065,2065,989
"asv5",67,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv6",63,63,63,63,0,81,81,81,81,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,63,63,0,81,81,81,81,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,89,89,89,0,99,99,99,99,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,89,89,89,0,99,99,99,99,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,107,107,0,116,116,116,116,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,107,107,0,116,116,116,116,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,113,113,113,0,115,115,115,115,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,113,113,113,0,115,115,115,115,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,121,121,121,0,125,125,125,125,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,121,121,121,0,125,125,125,125,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv7",22,22,22,22,0,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,28,0,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,28,0,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32,32,0,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32,32,0,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,29,29,0,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,29,29,0,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32,32,0,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32,32,0,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv8",46,46,46,46,0,71,71,71,71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,46,46,0,71,71,71,71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,73,73,73,0,93,93,93,93,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,73,73,73,0,93,93,93,93,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,87,87,87,0,107,107,107,107,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,87,87,87,0,107,107,107,107,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,89,89,89,0,106,106,106,106,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,89,89,89,0,106,106,106,106,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,0,114,114,114,114,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,0,114,114,114,114,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv9",10,10,10,10,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,0,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,0,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,0,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,0,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,0,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,0,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,0,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,0,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv10",8,8,8,8,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,0,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,0,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,0,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,0,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,0,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,0,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,0,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,0,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
