trackID,filtered,denoisedF,denoisedR,merged,nonchim,assignes,badassignes,PRM_TRUNCQ,PRM_RMPHIX,PRM_MAXEE,Trunclen
track1,68474,67774,67529,61277,51834,110,81,Truncq_2,rmphix_TRUE,MaxEE_1-1,TruncLen_0-0
track2,68474,67774,67529,61277,51834,109,82,Truncq_4,rmphix_TRUE,MaxEE_1-1,TruncLen_0-0
track3,68474,67774,67529,61277,51834,110,81,Truncq_7,rmphix_TRUE,MaxEE_1-1,TruncLen_0-0
track4,68474,67774,67529,61277,51834,111,80,Truncq_11,rmphix_TRUE,MaxEE_1-1,TruncLen_0-0
track5,129059,127878,128939,4324,4324,0,21,Truncq_15,rmphix_TRUE,MaxEE_1-1,TruncLen_0-0
track6,33221,32590,32696,30205,24983,142,78,Truncq_2,rmphix_TRUE,MaxEE_1-1,TruncLen_250-230
track7,33221,32590,32696,30205,24983,144,76,Truncq_4,rmphix_TRUE,MaxEE_1-1,TruncLen_250-230
track8,33221,32590,32696,30205,24983,143,77,Truncq_7,rmphix_TRUE,MaxEE_1-1,TruncLen_250-230
track9,33221,32590,32696,30205,24983,144,76,Truncq_11,rmphix_TRUE,MaxEE_1-1,TruncLen_250-230
track10,2767,2679,2683,2447,2336,46,11,Truncq_15,rmphix_TRUE,MaxEE_1-1,TruncLen_250-230
track11,94777,94084,94134,4733,4681,11,82,Truncq_2,rmphix_TRUE,MaxEE_1-1,TruncLen_230-210
track12,94777,94084,94134,4733,4681,11,82,Truncq_4,rmphix_TRUE,MaxEE_1-1,TruncLen_230-210
track13,94777,94084,94134,4733,4681,11,82,Truncq_7,rmphix_TRUE,MaxEE_1-1,TruncLen_230-210
track14,94777,94084,94134,4733,4681,11,82,Truncq_11,rmphix_TRUE,MaxEE_1-1,TruncLen_230-210
track15,13656,13429,13523,832,832,0,27,Truncq_15,rmphix_TRUE,MaxEE_1-1,TruncLen_230-210
track16,102589,101914,101846,5223,5168,4,93,Truncq_2,rmphix_TRUE,MaxEE_1-1,TruncLen_210-190
track17,102589,101914,101846,5223,5168,5,92,Truncq_4,rmphix_TRUE,MaxEE_1-1,TruncLen_210-190
track18,102589,101914,101846,5223,5168,4,93,Truncq_7,rmphix_TRUE,MaxEE_1-1,TruncLen_210-190
track19,102589,101914,101846,5223,5168,5,92,Truncq_11,rmphix_TRUE,MaxEE_1-1,TruncLen_210-190
track20,24401,24112,24164,1803,1803,2,34,Truncq_15,rmphix_TRUE,MaxEE_1-1,TruncLen_210-190
track21,111165,110592,110263,4982,4916,4,76,Truncq_2,rmphix_TRUE,MaxEE_1-1,TruncLen_180-160
track22,111165,110592,110263,4982,4916,3,77,Truncq_4,rmphix_TRUE,MaxEE_1-1,TruncLen_180-160
track23,111165,110592,110263,4982,4916,3,77,Truncq_7,rmphix_TRUE,MaxEE_1-1,TruncLen_180-160
track24,111165,110592,110263,4982,4916,3,77,Truncq_11,rmphix_TRUE,MaxEE_1-1,TruncLen_180-160
track25,39171,38850,38878,2489,2489,0,32,Truncq_15,rmphix_TRUE,MaxEE_1-1,TruncLen_180-160
track26,68474,67774,67529,61277,51834,109,82,Truncq_2,rmphix_FALSE,MaxEE_1-1,TruncLen_0-0
track27,68474,67774,67529,61277,51834,111,80,Truncq_4,rmphix_FALSE,MaxEE_1-1,TruncLen_0-0
track28,68474,67774,67529,61277,51834,109,82,Truncq_7,rmphix_FALSE,MaxEE_1-1,TruncLen_0-0
track29,68474,67774,67529,61277,51834,109,82,Truncq_11,rmphix_FALSE,MaxEE_1-1,TruncLen_0-0
track30,129059,127878,128939,4324,4324,0,21,Truncq_15,rmphix_FALSE,MaxEE_1-1,TruncLen_0-0
track31,33221,32590,32696,30205,24983,143,77,Truncq_2,rmphix_FALSE,MaxEE_1-1,TruncLen_250-230
track32,33221,32590,32696,30205,24983,143,77,Truncq_4,rmphix_FALSE,MaxEE_1-1,TruncLen_250-230
track33,33221,32590,32696,30205,24983,143,77,Truncq_7,rmphix_FALSE,MaxEE_1-1,TruncLen_250-230
track34,33221,32590,32696,30205,24983,143,77,Truncq_11,rmphix_FALSE,MaxEE_1-1,TruncLen_250-230
track35,2767,2679,2683,2447,2336,46,11,Truncq_15,rmphix_FALSE,MaxEE_1-1,TruncLen_250-230
track36,94777,94084,94134,4733,4681,11,82,Truncq_2,rmphix_FALSE,MaxEE_1-1,TruncLen_230-210
track37,94777,94084,94134,4733,4681,12,81,Truncq_4,rmphix_FALSE,MaxEE_1-1,TruncLen_230-210
track38,94777,94084,94134,4733,4681,11,82,Truncq_7,rmphix_FALSE,MaxEE_1-1,TruncLen_230-210
track39,94777,94084,94134,4733,4681,12,81,Truncq_11,rmphix_FALSE,MaxEE_1-1,TruncLen_230-210
track40,13656,13429,13523,832,832,2,26,Truncq_15,rmphix_FALSE,MaxEE_1-1,TruncLen_230-210
track41,102589,101914,101846,5223,5168,4,93,Truncq_2,rmphix_FALSE,MaxEE_1-1,TruncLen_210-190
track42,102589,101914,101846,5223,5168,4,93,Truncq_4,rmphix_FALSE,MaxEE_1-1,TruncLen_210-190
track43,102589,101914,101846,5223,5168,4,93,Truncq_7,rmphix_FALSE,MaxEE_1-1,TruncLen_210-190
track44,102589,101914,101846,5223,5168,5,92,Truncq_11,rmphix_FALSE,MaxEE_1-1,TruncLen_210-190
track45,24401,24112,24164,1803,1803,2,34,Truncq_15,rmphix_FALSE,MaxEE_1-1,TruncLen_210-190
track46,111165,110592,110263,4982,4916,3,77,Truncq_2,rmphix_FALSE,MaxEE_1-1,TruncLen_180-160
track47,111165,110592,110263,4982,4916,3,77,Truncq_4,rmphix_FALSE,MaxEE_1-1,TruncLen_180-160
track48,111165,110592,110263,4982,4916,3,77,Truncq_7,rmphix_FALSE,MaxEE_1-1,TruncLen_180-160
track49,111165,110592,110263,4982,4916,3,77,Truncq_11,rmphix_FALSE,MaxEE_1-1,TruncLen_180-160
track50,39171,38850,38878,2489,2489,0,33,Truncq_15,rmphix_FALSE,MaxEE_1-1,TruncLen_180-160
track51,100502,99471,99029,77305,63139,118,84,Truncq_2,rmphix_TRUE,MaxEE_2-2,TruncLen_0-0
track52,100502,99471,99029,77305,63139,119,83,Truncq_4,rmphix_TRUE,MaxEE_2-2,TruncLen_0-0
track53,100502,99471,99029,77305,63139,118,84,Truncq_7,rmphix_TRUE,MaxEE_2-2,TruncLen_0-0
track54,100502,99471,99029,77305,63139,118,84,Truncq_11,rmphix_TRUE,MaxEE_2-2,TruncLen_0-0
track55,129060,127879,128940,4324,4324,2,20,Truncq_15,rmphix_TRUE,MaxEE_2-2,TruncLen_0-0
track56,43168,42489,42207,38836,31865,160,80,Truncq_2,rmphix_TRUE,MaxEE_2-2,TruncLen_250-230
track57,43168,42489,42207,38836,31865,159,81,Truncq_4,rmphix_TRUE,MaxEE_2-2,TruncLen_250-230
track58,43168,42489,42207,38836,31865,159,81,Truncq_7,rmphix_TRUE,MaxEE_2-2,TruncLen_250-230
track59,43168,42489,42207,38836,31865,156,84,Truncq_11,rmphix_TRUE,MaxEE_2-2,TruncLen_250-230
track60,2767,2679,2683,2447,2336,46,11,Truncq_15,rmphix_TRUE,MaxEE_2-2,TruncLen_250-230
track61,114947,114097,113826,5677,5614,9,89,Truncq_2,rmphix_TRUE,MaxEE_2-2,TruncLen_230-210
track62,114947,114097,113826,5677,5614,10,88,Truncq_4,rmphix_TRUE,MaxEE_2-2,TruncLen_230-210
track63,114947,114097,113826,5677,5614,9,89,Truncq_7,rmphix_TRUE,MaxEE_2-2,TruncLen_230-210
track64,114947,114097,113826,5677,5614,9,89,Truncq_11,rmphix_TRUE,MaxEE_2-2,TruncLen_230-210
track65,13656,13429,13523,832,832,3,25,Truncq_15,rmphix_TRUE,MaxEE_2-2,TruncLen_230-210
track66,120557,119729,119414,6080,6019,6,96,Truncq_2,rmphix_TRUE,MaxEE_2-2,TruncLen_210-190
track67,120557,119729,119414,6080,6019,5,97,Truncq_4,rmphix_TRUE,MaxEE_2-2,TruncLen_210-190
track68,120557,119729,119414,6080,6019,7,95,Truncq_7,rmphix_TRUE,MaxEE_2-2,TruncLen_210-190
track69,120557,119729,119414,6080,6019,6,96,Truncq_11,rmphix_TRUE,MaxEE_2-2,TruncLen_210-190
track70,24401,24112,24164,1803,1803,2,34,Truncq_15,rmphix_TRUE,MaxEE_2-2,TruncLen_210-190
track71,127640,126872,126155,5678,5606,4,80,Truncq_2,rmphix_TRUE,MaxEE_2-2,TruncLen_180-160
track72,127640,126872,126155,5678,5606,3,81,Truncq_4,rmphix_TRUE,MaxEE_2-2,TruncLen_180-160
track73,127640,126872,126155,5678,5606,3,81,Truncq_7,rmphix_TRUE,MaxEE_2-2,TruncLen_180-160
track74,127640,126872,126155,5678,5606,4,80,Truncq_11,rmphix_TRUE,MaxEE_2-2,TruncLen_180-160
track75,39171,38850,38878,2489,2489,0,33,Truncq_15,rmphix_TRUE,MaxEE_2-2,TruncLen_180-160
track76,100502,99471,99029,77305,63139,118,84,Truncq_2,rmphix_FALSE,MaxEE_2-2,TruncLen_0-0
track77,100502,99471,99029,77305,63139,118,84,Truncq_4,rmphix_FALSE,MaxEE_2-2,TruncLen_0-0
track78,100502,99471,99029,77305,63139,118,84,Truncq_7,rmphix_FALSE,MaxEE_2-2,TruncLen_0-0
track79,100502,99471,99029,77305,63139,118,84,Truncq_11,rmphix_FALSE,MaxEE_2-2,TruncLen_0-0
track80,129060,127879,128940,4324,4324,0,21,Truncq_15,rmphix_FALSE,MaxEE_2-2,TruncLen_0-0
track81,43168,42489,42207,38836,31865,159,81,Truncq_2,rmphix_FALSE,MaxEE_2-2,TruncLen_250-230
track82,43168,42489,42207,38836,31865,159,81,Truncq_4,rmphix_FALSE,MaxEE_2-2,TruncLen_250-230
track83,43168,42489,42207,38836,31865,159,81,Truncq_7,rmphix_FALSE,MaxEE_2-2,TruncLen_250-230
track84,43168,42489,42207,38836,31865,158,82,Truncq_11,rmphix_FALSE,MaxEE_2-2,TruncLen_250-230
track85,2767,2679,2683,2447,2336,45,12,Truncq_15,rmphix_FALSE,MaxEE_2-2,TruncLen_250-230
track86,114947,114097,113826,5677,5614,10,88,Truncq_2,rmphix_FALSE,MaxEE_2-2,TruncLen_230-210
track87,114947,114097,113826,5677,5614,9,89,Truncq_4,rmphix_FALSE,MaxEE_2-2,TruncLen_230-210
track88,114947,114097,113826,5677,5614,9,89,Truncq_7,rmphix_FALSE,MaxEE_2-2,TruncLen_230-210
track89,114947,114097,113826,5677,5614,9,89,Truncq_11,rmphix_FALSE,MaxEE_2-2,TruncLen_230-210
track90,13656,13429,13523,832,832,0,27,Truncq_15,rmphix_FALSE,MaxEE_2-2,TruncLen_230-210
track91,120557,119729,119414,6080,6019,5,97,Truncq_2,rmphix_FALSE,MaxEE_2-2,TruncLen_210-190
track92,120557,119729,119414,6080,6019,5,97,Truncq_4,rmphix_FALSE,MaxEE_2-2,TruncLen_210-190
track93,120557,119729,119414,6080,6019,5,97,Truncq_7,rmphix_FALSE,MaxEE_2-2,TruncLen_210-190
track94,120557,119729,119414,6080,6019,5,97,Truncq_11,rmphix_FALSE,MaxEE_2-2,TruncLen_210-190
track95,24401,24112,24164,1803,1803,0,35,Truncq_15,rmphix_FALSE,MaxEE_2-2,TruncLen_210-190
