"trackID","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","140892","68474","67774","67529","61277","51834","110","81","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track2","140892","68474","67774","67529","61277","51834","109","82","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track3","140892","68474","67774","67529","61277","51834","110","81","Truncq_7","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track4","140892","68474","67774","67529","61277","51834","111","80","Truncq_11","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track5","140892","129059","127878","128939","4324","4324","0","21","Truncq_15","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track6","140892","33221","32590","32696","30205","24983","142","78","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_250-230"
"track7","140892","33221","32590","32696","30205","24983","144","76","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_250-230"
"track8","140892","33221","32590","32696","30205","24983","143","77","Truncq_7","rmphix_TRUE","MaxEE_1-1","TruncLen_250-230"
"track9","140892","33221","32590","32696","30205","24983","144","76","Truncq_11","rmphix_TRUE","MaxEE_1-1","TruncLen_250-230"
"track10","140892","2767","2679","2683","2447","2336","46","11","Truncq_15","rmphix_TRUE","MaxEE_1-1","TruncLen_250-230"
"track11","140892","94777","94084","94134","4733","4681","11","82","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_230-210"
"track12","140892","94777","94084","94134","4733","4681","11","82","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_230-210"
"track13","140892","94777","94084","94134","4733","4681","11","82","Truncq_7","rmphix_TRUE","MaxEE_1-1","TruncLen_230-210"
"track14","140892","94777","94084","94134","4733","4681","11","82","Truncq_11","rmphix_TRUE","MaxEE_1-1","TruncLen_230-210"
"track15","140892","13656","13429","13523","832","832","0","27","Truncq_15","rmphix_TRUE","MaxEE_1-1","TruncLen_230-210"
"track16","140892","102589","101914","101846","5223","5168","4","93","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_210-190"
"track17","140892","102589","101914","101846","5223","5168","5","92","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_210-190"
