"asv","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48","track49","track50","track51","track52","track53","track54","track55","track56","track57","track58","track59","track60","track61","track62","track63","track64","track65","track66","track67","track68","track69","track70","track71","track72","track73","track74","track75","track76","track77","track78","track79","track80","track81","track82","track83","track84","track85","track86","track87","track88","track89","track90","track91","track92","track93","track94","track95","track96","track97","track98","track99","track100","track101","track102","track103","track104","track105","track106","track107","track108","track109","track110","track111","track112","track113","track114","track115","track116","track117","track118","track119","track120","track121","track122","track123","track124","track125","track126","track127","track128","track129","track130","track131","track132","track133","track134","track135","track136","track137","track138","track139","track140","track141","track142","track143","track144","track145","track146","track147","track148","track149","track150","track151","track152","track153","track154","track155","track156","track157","track158","track159","track160","track161","track162","track163","track164","track165","track166","track167","track168","track169","track170","track171","track172","track173","track174","track175","track176","track177","track178","track179","track180","track181","track182","track183","track184","track185","track186","track187","track188","track189","track190","track191","track192","track193","track194","track195","track196","track197","track198","track199","track200","track201","track202","track203","track204","track205","track206","track207","track208","track209","track210","track211","track212","track213","track214","track215","track216","track217","track218","track219","track220","track221","track222","track223","track224","track225","track226","track227","track228","track229","track230","track231","track232","track233","track234","track235","track236","track237","track238","track239","track240","track241","track242","track243","track244","track245","track246","track247","track248","track249","track250"
"asv1",18069,18069,18069,18069,0,326,326,326,326,0,3,3,3,3,0,3,3,3,3,0,0,0,0,0,0,18069,18069,18069,18069,0,326,326,326,326,0,3,3,3,3,0,3,3,3,3,0,0,0,0,0,0,18254,18254,18254,18254,0,744,744,744,744,0,4,4,4,4,0,4,4,4,4,0,0,0,0,0,0,18254,18254,18254,18254,0,744,744,744,744,0,4,4,4,4,0,4,4,4,4,0,0,0,0,0,0,20363,20363,20363,20363,0,1099,1099,1099,1099,0,4,4,4,4,0,4,4,4,4,0,0,0,0,0,0,20363,20363,20363,20363,0,1099,1099,1099,1099,0,4,4,4,4,0,4,4,4,4,0,0,0,0,0,0,21980,21980,21980,21980,0,1045,1045,1045,1045,0,4,4,4,4,0,4,4,4,4,0,0,0,0,0,0,21980,21980,21980,21980,0,1045,1045,1045,1045,0,4,4,4,4,0,4,4,4,4,0,0,0,0,0,0,22999,22999,22999,22999,0,1330,1330,1330,1330,0,4,4,4,4,0,4,4,4,4,0,0,0,0,0,0,22999,22999,22999,22999,0,1330,1330,1330,1330,0,4,4,4,4,0,4,4,4,4,0,0,0,0,0,0
"asv2",9535,9535,9535,9535,0,194,194,194,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9535,9535,9535,9535,0,194,194,194,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11566,11566,11566,11566,0,453,453,453,453,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,11566,11566,11566,11566,0,453,453,453,453,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,12792,12792,12792,12792,0,733,733,733,733,0,1,1,1,1,0,0,0,0,0,0,3,3,3,3,0,12792,12792,12792,10516,0,733,733,733,733,0,1,1,1,1,0,0,0,0,0,0,3,3,3,0,0,13055,13055,13055,13055,0,735,735,735,735,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,13055,13055,13055,13055,0,735,735,735,735,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,13532,13532,13532,13532,0,926,926,926,926,0,0,0,0,0,0,1,1,0,1,0,0,3,3,3,0,13532,13532,13532,13532,0,926,926,926,926,0,0,0,0,0,0,0,1,0,1,0,0,0,3,3,0
"asv3",2171,2171,2171,2171,0,37,37,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2171,2171,2171,2171,0,37,37,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2598,2598,2598,2598,0,94,94,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2598,2598,2598,2598,0,94,94,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2865,2865,2865,2865,0,147,147,147,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2865,2865,2865,2865,0,147,147,147,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2923,2923,2923,2923,0,147,147,147,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2923,2923,2923,2923,0,147,147,147,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3022,3022,3022,3022,0,177,177,177,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3022,3022,3022,3022,0,177,177,177,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv4",5148,5148,5148,5148,0,6384,6384,6384,6384,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5148,5148,5148,5148,0,6384,6384,6384,6384,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7380,7377,7380,7380,0,7796,7796,7796,7796,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7380,7380,7380,7380,0,7796,7796,7796,7796,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8327,8327,8327,8327,0,8581,8581,8581,8581,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8327,8327,8327,8327,0,8581,8581,8579,8581,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8319,8319,8319,8319,0,8338,8338,8338,8338,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8319,8319,8319,8319,0,8336,8338,8338,8338,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8828,8828,8828,8828,0,8826,8826,8826,8832,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8828,8828,8828,8828,0,8826,8826,8826,8826,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv5",3019,3019,3019,3019,15,3761,3761,3761,3761,288,12,12,12,11,2,4,4,4,4,2,2,2,2,2,0,3019,3019,3019,3019,15,3761,3761,3761,3761,288,11,11,12,11,2,4,4,4,4,2,2,2,2,2,0,3581,3581,3581,3581,15,4518,4510,4518,4518,288,11,11,12,12,2,4,4,4,4,2,2,2,2,2,0,3581,3581,3581,3581,15,4518,4518,4518,4518,288,12,11,11,11,2,4,4,4,4,2,2,2,2,2,0,3802,3802,3802,3802,15,4868,4868,4868,4868,288,13,12,13,13,2,4,4,4,4,2,2,2,2,2,0,3802,3802,3802,3802,15,4868,4868,4868,4868,288,13,12,13,13,2,4,4,4,4,2,2,2,2,2,0,3828,3820,3828,3828,15,4743,4743,4743,4743,288,14,14,13,14,2,4,4,4,4,2,2,2,2,2,0,3828,3828,3828,3828,0,4735,4743,4743,4743,288,14,14,14,13,2,4,4,4,4,2,2,2,2,2,0,4009,4009,4009,4009,15,5011,5011,5011,5011,288,15,15,15,15,2,4,4,4,4,2,2,2,2,2,0,4009,4009,4009,4009,15,5011,5002,5011,5011,288,15,14,14,15,2,4,4,4,4,2,2,2,2,2,0
"asv6",3701,3910,3705,2459,4309,3038,3027,3263,3014,355,4644,4638,4638,4644,830,5151,4876,5138,4863,1751,4593,4903,4903,4879,2392,3918,2467,3910,3910,4309,3027,3268,3264,3268,355,4644,4370,4638,4370,796,5151,5151,5138,4876,1751,4877,4907,4882,4903,2482,5192,4892,5183,5183,3960,2263,3868,3897,4199,355,5565,5282,5572,5576,521,5667,5980,3951,5691,1751,5274,5586,5592,3810,2489,5183,5183,5183,5183,4309,3897,3899,3870,4173,364,5275,5565,5572,5583,830,6001,5986,5995,5986,1801,5592,5270,5592,5551,2399,5787,5477,4049,5778,3960,4679,4359,2906,4679,166,5700,5721,5985,6043,796,6321,6343,6295,6343,1751,5752,5759,5439,5413,2399,5719,5773,5787,5778,2261,4343,4677,4343,4363,334,5714,5715,6027,6033,830,6016,6327,6327,4528,1801,5417,5768,5772,5762,2399,5637,5637,5622,5637,3960,2724,4434,4440,2438,166,5787,5818,5831,4086,830,4376,5837,6136,6134,1801,5641,5657,5657,5641,1495,5340,3962,5637,5644,3960,4435,4433,4123,4440,355,5820,5798,5815,5496,830,5836,6147,6157,6157,1801,5651,5294,3543,5313,2480,5501,3792,5894,5884,4309,4803,4801,4797,4486,355,5760,6104,6091,6097,830,6371,6338,6367,6345,1748,5764,3936,5754,5770,2482,5884,5887,5887,3802,4309,4801,4486,3016,4726,355,3964,3964,6095,6097,830,6319,6351,6367,6040,1798,5770,5419,5764,5770,2482
"asv7",2297,2297,2297,2297,0,2766,2766,2766,2766,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2297,2297,2297,2297,0,2766,2766,2766,2766,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3177,3177,3177,3177,0,3294,3294,3294,3294,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3177,3177,3177,3177,0,3294,3294,3294,3294,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3585,3585,3585,3585,0,3369,3369,3369,3369,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3585,3585,3585,3585,0,3369,3369,3369,3369,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3523,3523,3523,3523,0,3251,3251,3251,3251,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3523,3523,3523,3523,0,3251,3251,3251,3251,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3718,3718,3718,3718,0,3382,3382,3382,3382,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3718,3718,3718,3718,0,3382,3382,3382,3382,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv8",1179,1179,1179,1179,0,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,1179,1179,1179,0,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1432,1432,1432,1432,0,52,52,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1432,1432,1432,1432,0,52,52,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555,1555,1555,1555,0,74,74,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555,1555,1555,1555,0,74,74,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1573,1573,1573,1573,0,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1573,1573,1573,1573,0,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1615,1615,1615,1615,0,89,89,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1615,1615,1615,1615,0,89,89,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv9",780,780,780,780,0,914,914,914,914,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,780,780,780,0,914,914,914,914,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,1115,1115,1115,0,1153,1153,1153,1153,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,1115,1115,1115,0,1153,1153,1153,1153,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295,1295,1295,1295,0,1270,1270,1270,1270,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295,1295,1295,1295,0,1270,1270,1270,1270,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,1304,1304,1304,0,1226,1226,1226,1226,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,1304,1304,1304,0,1226,1226,1226,1226,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1378,1378,1378,1378,0,1298,1298,1298,1298,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1378,1378,1378,1378,0,1298,1298,1298,1298,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv10",654,654,654,654,0,1179,1179,1179,1179,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,654,654,654,0,1179,1179,1179,1179,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,1477,1477,1477,1477,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,1477,1477,1477,1477,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,1149,1149,1149,0,1624,1624,1624,1624,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,1149,1149,1149,0,1624,1624,1624,1624,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059,1059,1059,1059,0,1576,1576,1576,1576,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059,1059,1059,1059,0,1576,1576,1576,1576,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,1114,1114,1114,0,1661,1661,1661,1661,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,1114,1114,1114,0,1661,1661,1661,1661,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
