"track"	"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"	"assignes"	"badassignes"	"PRM_TRUNCQ"	"PRM_RMPHIX"	"PRM_MAXEE"	"PRM_TRUNCLEN"	"pFiltered"	"pDenoisedF"	"pDenoisedR"	"pMerged"	"pNonchim"	"Klebsiella"	"Citrobacter"	"Lelliottia"	"Streptococcus"	"Prevotella_7"	"Fusobacterium"	"Raoultella"	"Granulicatella"	"Bergeyella"	"Veillonella"	"Prevotella_6"	"Enterococcus"	"Lactobacillus"	"Gemella"	"Campylobacter"	"Leptotrichia"	"Atopobium"	"Prevotella"	"Oribacterium"	"Megasphaera"	"Bifidobacterium"	"Stomatobaculum"	"Porphyromonas"	"Neisseria"	"Haemophilus"	"Actinobacillus"	"Parvimonas"	"Geobacillus"	"Enterobacter"	"Kingella"	"Capnocytophaga"	"Bacillus"	"Dialister"	"Treponema_2"	"Mycoplasma"	"Mogibacterium"	"Shuttleworthia"	"Alloprevotella"	"Anaerobacillus"	"Rothia"	"Actinomyces"	"Escherichia/Shigella"	"Cutibacterium"	"Pseudoscardovia"	"Selenomonas_3"	"Ochrobactrum"	"Corynebacterium"	"Samsonia"	"Atlantibacter"	"Tannerella"	"Prevotellaceae_YAB2003_group"	"Distigma"	"Atopobacter"	"Solobacterium"	"Hydrogenophilus"	"Slackia"	"Melissococcus"	"Enterobacillus"	"Anthococcus"
"track1"	"track1"	140892	68474	67774	67529	61277	51834	110	81	"Truncq_2"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_0-0"	48.6003463645913	48.1035119098316	47.9296198506658	43.4921784061551	36.7898816114471	18069	9535	2171	5148	3019	2297	1179	780	654	2130	536	357	417	461	96	76	74	129	66	102	55	69	70	49	64	36	36	29	70	24	30	18	21	14	4	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track2"	"track2"	140892	68474	67774	67529	61277	51834	109	82	"Truncq_4"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_0-0"	48.6003463645913	48.1035119098316	47.9296198506658	43.4921784061551	36.7898816114471	18069	9535	2171	5148	3019	2297	1179	780	654	2130	536	357	417	461	96	76	74	129	66	102	55	69	70	49	64	36	36	29	70	24	30	18	21	14	4	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track3"	"track3"	140892	68474	67774	67529	61277	51834	110	81	"Truncq_7"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_0-0"	48.6003463645913	48.1035119098316	47.9296198506658	43.4921784061551	36.7898816114471	18069	9535	2171	5148	3019	2297	1179	780	654	2130	536	357	417	461	96	76	74	129	66	102	55	69	70	49	64	36	36	29	70	24	30	18	21	14	4	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track4"	"track4"	140892	68474	67774	67529	61277	51834	111	80	"Truncq_11"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_0-0"	48.6003463645913	48.1035119098316	47.9296198506658	43.4921784061551	36.7898816114471	18069	9535	2171	5148	3019	2297	1179	780	654	2130	536	357	417	461	96	76	74	129	66	102	55	69	70	49	64	36	36	29	70	24	30	18	21	14	4	3	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track5"	"track5"	140892	129059	127878	128939	4324	4324	0	21	"Truncq_15"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_0-0"	91.6013684240411	90.7631377225109	91.5161968032252	3.06901740340119	3.06901740340119	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track6"	"track6"	140892	33221	32590	32696	30205	24983	142	78	"Truncq_2"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_250-230"	23.5790534593873	23.1311926865968	23.2064276183176	21.4384067228799	17.7320216903728	326	194	37	6384	3761	2766	26	914	1179	2873	642	417	151	546	116	0	101	196	75	0	115	87	135	56	77	43	39	43	0	27	42	0	12	17	4	3	3	0	23	71	70	32	13	10	6	6	4	6	5	3	2	0	0	0	0	0	0	0	0
"track7"	"track7"	140892	33221	32590	32696	30205	24983	144	76	"Truncq_4"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_250-230"	23.5790534593873	23.1311926865968	23.2064276183176	21.4384067228799	17.7320216903728	326	194	37	6384	3761	2766	26	914	1179	2873	642	417	151	546	116	0	101	196	75	0	115	87	135	56	77	43	39	43	0	27	42	0	12	17	4	3	3	0	23	71	70	32	13	10	6	6	4	6	2	3	2	4	0	0	0	0	0	0	0
"track8"	"track8"	140892	33221	32590	32696	30205	24983	143	77	"Truncq_7"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_250-230"	23.5790534593873	23.1311926865968	23.2064276183176	21.4384067228799	17.7320216903728	326	194	37	6384	3761	2766	26	914	1179	2873	642	417	151	546	116	0	101	196	75	0	115	87	135	56	77	43	39	43	0	27	42	0	12	17	4	3	3	0	23	71	70	32	13	10	6	6	4	6	3	3	2	3	0	0	0	0	0	0	0
"track9"	"track9"	140892	33221	32590	32696	30205	24983	144	76	"Truncq_11"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_250-230"	23.5790534593873	23.1311926865968	23.2064276183176	21.4384067228799	17.7320216903728	326	194	37	6384	3761	2766	26	914	1179	2873	642	417	151	546	116	0	101	196	75	0	115	87	135	56	77	43	39	43	0	27	42	0	12	17	4	3	3	0	23	71	70	32	13	10	6	6	4	6	5	3	2	4	0	0	0	0	0	0	0
"track10"	"track10"	140892	2767	2679	2683	2447	2336	46	11	"Truncq_15"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_250-230"	1.96391562331431	1.90145643471595	1.90429548874315	1.73679130113846	1.65800755188371	0	0	0	627	288	251	0	193	98	193	51	84	9	86	12	0	4	0	13	0	0	6	0	6	8	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	9	0	0	0	0	0	0
