trackID,filtered,denoisedF,denoisedR,merged,nonchim,assignes,badassignes,Trunclen
track1,93835,93565,93430,92767,85231,18,57,TruncLen_0-0
track2,99250,99009,98907,1912,1896,13,37,TruncLen_245-230
track3,99694,99452,99350,1931,1918,12,37,TruncLen_240-230
track4,100010,99755,99659,1928,1915,11,36,TruncLen_235-230
track5,99333,99112,98935,1520,1504,10,34,TruncLen_250-225
track6,100228,100005,99833,1476,1463,11,31,TruncLen_250-220
track7,100991,100766,100599,1499,1486,9,32,TruncLen_250-215
track8,92705,92501,92364,91860,84328,19,23,TruncLen_250-250
track9,94757,94549,94321,93553,86103,22,24,TruncLen_245-245
track10,96937,96702,96589,94244,86373,25,30,TruncLen_240-240
