"asv","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10"
"asv1",70445,6,6,6,6,6,6,70636,71785,71733
"asv2",12221,3,3,3,0,0,0,12233,12464,12664
"asv3",2207,1686,1736,1737,1311,1199,1319,1193,1041,1658
"asv4",91,4,4,4,2,99,2,0,2,4
"asv5",89,99,99,99,100,100,103,90,92,95
"asv6",73,0,0,0,0,0,0,80,81,80
"asv7",28,29,0,0,29,0,0,28,28,29
"asv8",17,22,22,22,21,21,21,17,17,18
"asv9",12,0,0,0,0,0,0,12,24,25
"asv10",11,0,0,0,0,0,0,11,12,12
"asv11",8,0,0,0,0,0,0,5,5,5
"asv12",8,0,0,0,0,0,0,0,0,8
"asv13",8,8,0,0,0,0,2,0,0,0
"asv14",5,6,6,6,6,6,6,5,6,6
"asv15",6,8,21,8,8,8,8,8,5,6
"asv16",2,0,0,0,0,0,0,2,2,2
"asv17",0,12,0,13,0,0,0,0,0,0
"asv18",0,5,5,5,5,5,5,0,0,0
"asv19",0,4,4,0,4,5,0,0,4,4
"asv20",0,4,8,12,12,8,12,0,0,4
"asv21",0,0,4,0,0,4,0,8,8,0
"asv22",0,0,0,0,0,2,0,0,0,0
"asv23",0,0,0,0,0,0,2,0,0,0
"asv24",0,0,0,0,0,0,0,0,527,0
"asv25",0,0,0,0,0,0,0,0,0,14
"asv26",0,0,0,0,0,0,0,0,0,3
"asv27",0,0,0,0,0,0,0,0,0,3
