"asv","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10"
"asv1",18254,4,4,4,4,4,4,603,19345,22657
"asv2",11566,0,0,0,0,0,0,333,10783,13099
"asv3",2598,0,0,0,0,0,0,72,2416,2907
"asv4",7380,0,0,0,0,0,0,6887,7043,7199
"asv5",3177,3450,3478,3488,3390,3512,3530,3022,3230,3288
"asv6",5183,5334,5187,3796,4224,3843,4099,2396,3316,4028
"asv7",3581,4601,10,10,5151,8,8,3901,3979,4030
"asv8",1432,0,0,0,0,0,0,39,1319,1576
"asv9",1115,0,0,0,0,0,0,1088,1145,1154
"asv10",1001,1554,5,5,1546,2,5,937,961,978
"asv11",3419,3,3,3,2,2,3,3482,3511,3618
"asv12",789,857,0,0,866,0,0,790,811,824
"asv13",483,0,0,0,0,0,0,484,491,499
"asv14",605,0,0,0,0,0,0,215,615,630
"asv15",608,0,0,0,0,0,0,613,616,631
"asv16",228,314,0,0,280,0,0,235,254,279
"asv17",143,181,182,182,186,189,195,158,159,167
"asv18",130,152,152,152,152,152,152,128,133,148
"asv19",250,248,0,0,253,0,0,245,260,266
"asv20",116,131,133,133,133,134,136,117,119,124
"asv21",111,125,125,128,0,0,0,0,119,121
"asv22",88,91,93,93,91,91,91,90,89,92
"asv23",102,110,109,109,114,115,117,104,107,110
"asv24",133,0,0,0,0,0,0,0,137,138
"asv25",77,91,71,72,105,106,106,92,89,67
"asv26",90,0,0,0,0,0,0,90,90,91
"asv27",64,0,0,0,0,0,0,63,65,67
"asv28",50,0,0,0,0,0,0,53,49,54
"asv29",47,0,0,0,0,0,0,49,50,51
"asv30",44,47,48,49,44,44,47,42,46,47
"asv31",73,0,0,0,0,0,0,0,110,92
"asv32",30,0,0,0,0,0,0,0,27,29
"asv33",33,0,0,0,0,0,0,0,39,52
"asv34",38,50,0,0,50,0,0,39,49,49
"asv35",29,122,114,0,123,126,0,25,60,104
"asv36",18,18,18,18,18,18,18,18,18,18
"asv37",21,0,0,0,0,0,0,21,21,21
"asv38",9,11,0,0,0,2,11,0,0,0
"asv39",5,5,5,5,6,6,6,5,5,5
"asv40",4,4,4,4,4,4,4,4,4,4
"asv41",8,21,15,15,20,21,12,16,7,18
"asv42",3,0,0,0,0,0,0,4,2,2
"asv43",2,5,2,2,8,5,2,2,2,2
"asv44",2,6,0,0,6,0,0,0,6,8
"asv45",0,63,35,30,67,29,38,3,0,0
"asv46",0,19,0,0,18,19,19,0,0,0
"asv47",0,17,17,18,17,17,17,0,0,0
"asv48",0,9,9,9,9,9,9,9,9,9
"asv49",0,7,0,0,7,0,0,0,0,6
"asv50",0,7,7,7,8,8,8,7,7,7
"asv51",0,6,0,0,6,0,0,0,0,0
"asv52",0,6,6,6,6,7,7,7,7,7
"asv53",0,4,0,0,0,0,0,0,0,0
"asv54",0,4,0,0,0,0,4,0,0,0
"asv55",0,3,297,0,3,306,0,0,0,294
"asv56",0,4,0,0,0,0,0,0,0,0
"asv57",0,3,0,0,3,0,0,3,3,3
"asv58",0,2,2,2,2,2,2,0,0,0
"asv59",0,2,4,4,6,0,5,0,0,2
"asv60",0,2,0,0,2,0,0,2,0,0
"asv61",0,2,0,0,14,0,0,0,0,0
"asv62",0,1,4,4,4,4,0,0,0,3
"asv63",0,0,4,0,0,0,4,0,0,0
"asv64",0,0,0,1640,0,0,0,199,0,0
"asv65",0,0,0,0,3,3,0,0,0,0
"asv66",0,0,0,0,3,0,0,0,0,0
"asv67",0,0,0,0,0,9,0,0,0,0
"asv68",0,0,0,0,0,0,0,6,0,0
"asv69",0,0,0,0,0,0,0,5,0,0
"asv70",0,0,0,0,0,0,0,2,0,0
"asv71",0,0,0,0,0,0,0,2,0,4
"asv72",0,0,0,0,0,0,0,1,0,0
"asv73",0,0,0,0,0,0,0,0,15,12
"asv74",0,0,0,0,0,0,0,0,3,0
"asv75",0,0,0,0,0,0,0,0,0,46
"asv76",0,0,0,0,0,0,0,0,0,31
"asv77",0,0,0,0,0,0,0,0,0,13
"asv78",0,0,0,0,0,0,0,0,0,7
"asv79",0,0,0,0,0,0,0,0,0,2
"asv80",0,0,0,0,0,0,0,0,0,1
