"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","87928","51018","50745","50805","48396","46073","16","29","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_0-0"
"track2","87928","56726","56546","56505","13814","12676","29","5","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-235"
"track3","87928","58243","58054","58020","14065","12934","29","6","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-230"
"track4","87928","59489","59295","59251","14317","13170","29","6","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-225"
"track5","87928","60820","60641","60585","14340","13226","25","7","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-220"
"track6","87928","54245","54039","53928","52425","49702","35","3","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-240"
"track7","87928","56420","56246","56208","13754","12582","30","5","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-235"
"track8","87928","57905","57724","57692","13992","12809","29","6","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-230"
"track9","87928","59116","58930","58888","14235","13035","27","7","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-225"
"track10","87928","60402","60222","60172","14409","13154","26","6","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-220"
"track11","87928","51752","51573","51342","50482","47887","31","2","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-245"
"track12","87928","53971","53765","53662","52172","49460","35","3","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-240"
"track13","87928","56081","55887","55873","54374","51407","41","4","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-235"
"track14","87928","57514","57336","57305","13897","12779","33","5","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-230"
"track15","87928","58682","58500","58459","14124","12989","30","6","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-225"
"track16","87928","49580","49406","49366","47465","45046","24","2","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-250"
"track17","87928","51283","51115","50886","50066","47507","28","2","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-245"
"track18","87928","53434","53243","53247","51822","49141","33","3","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-240"
"track19","87928","55476","55300","55290","53745","50912","38","4","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-235"
"track20","87928","56845","56661","56659","55060","52157","41","5","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-230"
"track21","87928","57963","57797","57773","13944","12882","34","5","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-225"
