"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv1",34373,5,5,5,5,37706,5,5,5,5,35795,37529,39049,5,5,33611,35652,37456,38842,39880,5
"asv2",5246,5976,6170,6283,6351,5688,5961,6154,6265,6331,5493,5668,5878,6124,6230,5241,5432,5596,5796,5894,6130
"asv3",4258,5141,5220,5399,5426,4590,5252,5185,5271,5294,5323,4554,4685,5186,5268,5126,5282,4516,4641,4701,5172
"asv4",1713,1096,1114,1146,1184,1035,1093,1111,1212,1181,644,1029,1083,1100,1201,609,642,1026,1073,1090,1120
"asv5",352,0,0,0,0,394,0,0,0,0,382,394,403,0,0,260,267,269,272,279,0
"asv6",87,0,0,0,0,104,0,0,0,0,99,102,103,0,0,93,98,101,102,104,0
"asv7",20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv8",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv9",7,0,0,0,0,10,0,0,0,0,9,10,10,0,0,7,9,10,10,9,0
"asv10",5,0,0,0,0,4,0,0,0,0,4,4,5,0,0,4,4,4,4,4,0
"asv11",0,96,97,11,11,2,10,97,99,101,2,2,3,96,98,0,0,0,1,1,94
"asv12",0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv13",0,60,134,62,135,0,72,72,0,0,0,0,0,72,0,0,0,0,0,0,64
"asv14",0,158,121,191,61,0,96,98,98,170,0,0,3,96,96,0,0,0,3,3,212
"asv15",0,40,39,42,41,40,40,39,42,41,39,40,40,42,45,37,39,40,40,42,45
"asv16",0,21,22,23,0,21,21,22,23,24,19,20,20,21,21,0,18,19,19,20,20
"asv17",0,6,6,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,6,6,0
"asv18",0,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"asv19",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv20",0,0,0,3,3,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,3
"asv21",0,0,0,0,0,38,0,0,0,0,38,38,41,0,0,31,25,36,40,42,0
"asv22",0,0,0,0,0,26,0,0,0,0,0,26,29,0,0,0,0,26,28,28,0
"asv23",0,0,0,0,0,12,13,13,13,0,10,12,13,13,13,0,10,12,0,13,0
"asv24",0,0,0,0,0,12,0,0,0,0,12,12,12,0,0,12,12,12,12,12,0
"asv25",0,0,0,0,0,6,6,0,0,0,6,6,6,6,0,6,6,6,6,6,6
"asv26",0,0,0,0,0,6,0,0,0,0,6,6,6,0,0,5,6,6,6,6,0
"asv27",0,0,0,0,0,3,3,0,0,0,1,3,3,3,0,0,1,2,2,2,2
"asv28",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"asv29",0,0,0,0,0,0,0,3,0,0,0,0,0,5,5,0,0,0,0,5,5
"asv30",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,6,0
