"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv1",29781,30841,32558,35796,36204,18381,35056,32441,35433,35680,19072,22383,33002,34667,30546,15692,16125,22765,29804,31309,31500
"asv2",1285,0,0,0,0,1297,0,0,0,0,1254,1294,1345,0,0,1236,1254,1294,1345,1490,0
"asv3",929,0,0,0,0,1164,0,0,0,0,1084,1161,1228,0,0,1104,1079,1155,1222,1235,0
"asv4",288,314,321,325,0,308,312,319,323,323,301,308,312,319,323,285,291,297,301,308,312
"asv5",212,0,0,0,0,201,0,0,0,0,213,200,201,0,0,9,9,9,9,9,0
"asv6",113,123,124,125,126,121,122,123,124,125,120,121,122,123,124,117,119,120,120,121,122
"asv7",102,105,105,108,0,105,105,105,108,109,104,105,105,105,108,104,104,105,105,105,108
"asv8",189,0,0,0,0,149,0,0,0,0,196,148,156,0,0,191,194,146,154,155,0
"asv9",90,125,43,113,42,100,106,52,82,77,101,37,66,44,78,30,93,37,42,47,72
"asv10",54,0,0,0,0,55,0,0,0,0,55,55,57,0,0,55,55,55,57,59,0
"asv11",54,0,0,0,0,56,0,0,0,0,55,56,56,0,0,54,55,56,56,56,0
"asv12",41,0,0,0,0,49,0,0,0,0,49,49,49,0,0,47,49,49,49,50,0
"asv13",36,0,0,0,0,39,0,0,0,0,38,39,41,0,0,37,37,38,40,40,0
"asv14",65,197,125,79,203,81,122,132,177,356,269,74,147,300,171,43,151,44,165,45,92
"asv15",32,0,0,0,0,35,0,0,0,0,34,35,35,0,0,33,34,35,35,35,0
"asv16",26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
"asv17",26,25,25,25,25,24,25,25,25,25,24,24,25,25,25,24,25,24,25,25,25
"asv18",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"asv19",15,0,0,0,0,15,15,0,0,0,15,15,15,15,0,15,15,15,15,15,16
"asv20",15,0,0,0,0,13,0,0,0,0,13,13,13,0,0,0,0,0,0,0,0
"asv21",26,0,0,0,0,27,0,0,0,0,27,27,27,0,0,0,0,0,0,0,0
"asv22",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"asv23",27,30,2932,30,30,27,36,36,37,36,75,27,36,30,36,18,1851,27,30,30,30
"asv24",13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
