"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv1",39005,45197,47556,44355,48352,36793,42477,43508,47376,47391,28230,31987,40061,42575,41734,23055,25622,31578,35866,38577,28145
"asv2",839,0,0,0,0,815,0,0,0,0,730,814,887,0,0,0,8,0,9,9,0
"asv3",410,448,451,454,462,433,446,447,450,458,423,430,443,444,447,399,410,417,430,431,434
"asv4",384,0,0,0,0,405,0,0,0,0,396,404,412,0,0,387,394,402,410,415,0
"asv5",358,0,0,0,0,378,0,0,0,0,377,378,380,0,0,372,377,378,380,383,0
"asv6",165,0,0,0,0,172,172,0,0,0,171,172,172,173,0,166,170,171,171,172,173
"asv7",214,0,0,0,0,230,0,0,0,0,224,229,233,0,0,216,220,225,231,232,0
"asv8",270,0,0,0,0,287,0,0,0,0,278,286,290,0,0,275,281,290,294,298,0
"asv9",103,0,0,0,0,108,0,0,0,0,107,108,109,0,0,105,107,108,109,110,0
"asv10",84,3,198,5,8,43,3,114,111,3,86,0,5,176,29,0,2,0,35,96,100
"asv11",135,4,182,239,184,8,74,263,205,266,28,82,50,171,200,10,21,80,223,35,222
"asv12",41,0,0,0,0,67,0,0,0,0,49,51,0,0,0,47,48,50,0,15,0
"asv13",36,0,0,0,0,37,0,0,0,0,37,37,38,0,0,37,37,37,38,38,0
"asv14",29,0,0,0,0,43,0,0,0,0,41,43,45,0,0,30,32,34,36,36,0
"asv15",25,0,0,0,0,37,0,0,0,0,30,30,30,0,0,28,28,28,28,28,0
"asv16",19,0,0,0,0,20,0,0,0,0,19,20,20,0,0,19,19,20,20,20,0
"asv17",45,51,38,3647,33,32,3602,52,33,33,36,42,3591,3607,3643,27,40,37,3568,38,610
"asv18",13,0,0,0,0,0,0,0,0,0,0,0,77,0,0,13,13,0,77,80,0
"asv19",9,9,2,129,0,9,0,3570,0,0,0,2916,0,2,2,2089,0,0,0,0,13624
"asv20",9,11,11,17,0,10,11,11,17,17,9,10,11,11,17,9,9,10,11,11,16
"asv21",7,75,172,78,18,13,178,79,23,177,62,13,90,78,25,89,86,0,60,58,65
"asv22",6,0,0,0,0,6,6,0,0,0,6,6,6,6,0,6,6,6,6,6,6
"asv23",5,0,0,0,0,7,7,0,0,0,7,7,7,7,0,5,7,7,7,7,7
"asv24",5,0,0,0,0,5,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0
"asv25",5,0,0,0,0,4,0,0,0,0,3,4,3,0,0,5,5,2,2,2,0
"asv26",4,6,6,7,7,6,6,6,7,7,5,6,6,6,7,5,5,6,6,6,7
"asv27",3,4,5,5,5,4,4,5,5,5,3,4,4,5,5,3,3,4,4,5,5
"asv28",3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,3,3,3,3,0
"asv29",1,0,0,0,0,1,0,0,0,0,3,1,9,0,0,0,0,8,0,0,9
"asv30",0,95,0,3,58,54,4,3,0,6,0,0,91,16,4,54,54,0,0,4,6
"asv31",0,68,69,73,75,0,68,68,72,74,67,0,68,68,72,0,0,0,0,0,0
"asv32",0,20,20,20,20,20,20,20,20,20,0,20,20,20,20,0,0,20,20,20,20
"asv33",0,20,7,0,5,10,3,3,15,20,3,0,3,8,3,12,0,5,0,13,0
"asv34",0,6,6,0,0,6,6,6,6,0,0,6,6,6,6,0,0,6,6,6,6
"asv35",0,3,3,3,3,0,3,3,3,3,0,0,3,3,3,0,0,0,3,3,3
"asv36",0,3,3,3,0,0,3,3,3,3,0,0,3,3,3,0,0,0,3,3,3
"asv37",0,3,3,3,3,3,3,3,3,3,0,3,3,3,3,0,0,3,3,3,3
"asv38",0,0,12,15,15,0,20,12,0,0,0,3,12,15,12,0,0,0,11,11,11
"asv39",0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"asv40",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv41",0,0,0,0,0,10,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0
"asv42",0,0,0,0,0,10,0,0,0,0,10,10,10,0,0,10,10,10,10,10,0
"asv43",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3551,0
"asv44",0,0,0,0,0,6,6,0,0,0,6,6,6,6,0,6,6,6,6,6,6
"asv45",0,0,0,0,0,6,8,0,0,0,0,6,8,8,0,0,0,6,8,8,8
"asv46",0,0,0,0,0,5,0,0,0,0,4,5,5,0,0,4,4,5,5,5,0
"asv47",0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
"asv48",0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,5,5,5,0,0,0
"asv49",0,0,0,0,0,0,8,0,0,0,0,0,8,9,0,0,0,0,0,0,0
"asv50",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv51",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,7,0
"asv52",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0
"asv53",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"asv54",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
"asv55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
