"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv1",32359,37347,37066,39974,40371,30444,36366,37185,39868,26279,22428,17787,22342,37729,34750,19799,19002,25397,21089,33870,34485
"asv2",3290,0,0,0,0,3222,0,0,0,0,3024,3207,3794,0,0,2974,3014,3208,3750,3978,0
"asv3",446,543,573,591,0,516,541,570,587,606,490,509,533,561,578,456,481,500,523,550,566
"asv4",249,294,310,316,320,286,293,309,315,318,257,286,292,308,314,244,257,286,292,308,314
"asv5",247,309,316,323,327,292,308,315,322,326,279,291,307,314,321,252,275,287,303,310,316
"asv6",262,2,2,2,2,475,2,2,2,2,448,470,488,2,2,429,444,465,483,501,2
"asv7",347,0,0,0,0,417,0,0,0,0,405,365,433,0,0,386,411,406,423,434,0
"asv8",229,226,330,214,159,11,46,125,115,182,9,15,181,85,119,26,185,9,17,266,5
"asv9",86,104,106,106,107,96,101,103,103,104,91,94,99,101,101,89,90,93,100,102,102
"asv10",95,0,0,0,0,125,0,0,0,0,122,125,129,0,0,31,29,30,30,31,0
"asv11",177,0,0,0,0,195,0,0,0,0,189,194,203,0,0,179,188,193,202,206,0
"asv12",154,0,0,0,0,155,0,0,0,0,149,154,158,0,0,156,158,155,159,160,0
"asv13",103,0,0,0,0,124,118,0,0,0,108,112,118,120,0,105,108,112,118,120,123
"asv14",130,208,238,83,0,167,207,218,240,65,143,166,209,217,239,135,143,166,198,219,238
"asv15",73,0,0,0,0,79,0,0,0,0,75,78,82,0,0,73,74,75,78,79,0
"asv16",70,0,0,0,0,53,0,0,0,0,79,53,54,0,0,42,44,44,45,46,0
"asv17",65,70,71,72,72,69,70,71,72,72,67,69,70,71,72,63,65,66,67,68,69
"asv18",63,87,89,89,90,88,87,89,89,89,69,87,86,88,88,67,68,86,85,87,87
"asv19",58,89,89,97,103,79,85,85,77,82,77,77,83,83,75,75,77,77,83,85,77
"asv20",113,0,0,0,0,165,0,0,0,0,160,165,180,0,0,155,158,163,178,182,0
"asv21",54,65,64,66,0,62,64,65,65,66,61,62,64,65,67,58,61,62,64,65,67
"asv22",49,0,0,0,0,63,0,0,0,0,58,62,65,0,0,56,60,64,67,67,0
"asv23",99,0,0,0,0,85,86,0,0,0,83,85,86,87,0,81,83,85,86,87,90
"asv24",69,0,0,0,0,78,0,0,0,0,74,78,80,0,0,71,75,79,81,82,0
"asv25",43,72,60,0,0,68,69,72,59,0,49,52,54,57,59,64,67,55,57,60,62
"asv26",37,0,0,0,0,43,0,0,0,0,39,43,43,0,0,37,39,43,43,44,0
"asv27",34,40,40,42,43,38,39,39,41,42,37,38,39,39,41,36,37,38,39,39,41
"asv28",30,0,0,0,0,33,0,0,0,0,31,32,35,0,0,31,31,32,35,35,0
