"asv","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48","track49","track50","track51","track52","track53","track54","track55","track56"
"asv1",87690,87690,87690,87690,87690,90385,0,0,52067,52067,52067,52067,52067,76299,0,0,70445,70445,70445,70445,70445,87913,0,0,78665,78665,78665,78665,78665,90110,0,0,83574,83574,83574,83574,83574,90373,0,0,86515,86515,86515,86515,86515,90384,0,0,87587,87587,87587,87587,87587,90385,0,0
"asv2",13327,13327,13327,13327,13327,15127,3,0,9408,9408,9408,9408,9408,13083,3,0,12221,12221,12221,12221,12221,14604,3,0,12343,12343,12343,12343,12343,15078,3,0,12971,12971,12971,12971,12971,15127,3,0,13265,13265,13265,13265,13265,15127,3,0,13323,13323,13323,13323,13323,15127,3,0
"asv3",2671,2560,2672,2671,2672,2679,2591,1842,1925,1925,1925,1866,1857,2183,2477,1916,2191,2297,2301,2209,2210,1994,2591,1458,2487,2469,2487,2487,2487,2657,2484,1922,2601,2494,2600,2601,2609,2570,2490,1916,2640,2639,2640,2640,2600,2686,2597,1916,2078,2078,2552,2552,2662,2677,2591,1916
"asv4",125,125,125,125,125,137,0,0,63,63,63,63,63,101,0,0,89,89,89,89,89,131,0,0,107,107,107,107,107,137,0,0,118,118,118,118,118,137,0,0,124,124,124,124,124,137,0,0,125,125,125,125,125,137,0,0
"asv5",101,101,101,101,101,55,0,0,46,46,46,46,46,40,0,0,73,73,73,73,73,48,0,0,87,87,87,87,87,56,0,0,98,98,98,98,98,55,0,0,99,99,99,99,99,55,0,0,100,100,100,100,100,55,0,0
"asv6",34,34,34,34,34,35,35,25,22,22,22,22,22,28,35,25,28,28,28,28,28,35,35,25,32,32,32,32,32,35,35,25,33,33,33,33,33,35,35,25,34,34,34,34,34,35,35,25,34,34,34,34,34,35,35,25
"asv7",24,24,24,24,24,0,0,0,7,7,7,7,7,0,0,0,17,17,17,17,17,0,0,0,22,22,22,22,22,0,0,0,23,23,23,23,23,0,0,0,24,24,24,24,24,0,0,0,24,24,24,24,24,0,0,0
"asv8",15,15,15,15,15,0,0,0,8,8,8,8,8,0,0,0,11,11,11,11,11,0,0,0,13,13,13,13,13,0,0,0,13,13,13,13,13,0,0,0,15,15,15,15,15,0,0,0,15,15,15,15,15,0,0,0
"asv9",13,13,13,13,13,13,14,0,10,10,10,10,10,11,14,0,12,12,12,12,12,13,14,0,12,12,12,12,12,13,14,0,13,13,13,13,13,13,14,0,13,13,13,13,13,13,14,0,13,13,13,13,13,13,14,0
"asv10",12,12,12,12,12,15,0,0,5,5,5,5,5,9,0,0,8,8,8,8,8,13,0,0,10,10,10,10,10,14,0,0,11,11,11,11,11,15,0,0,12,12,12,12,12,15,0,0,12,12,12,12,12,15,0,0
"asv11",8,0,0,8,8,8,21,7,6,6,0,0,0,8,8,0,0,8,0,8,0,8,21,7,0,0,8,8,0,0,8,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,7,8,8,8,8,0,0,0,0
"asv12",7,7,7,7,7,8,0,0,5,5,5,5,5,7,0,0,5,5,5,5,5,8,0,0,6,6,6,6,6,8,0,0,6,6,6,6,6,8,0,0,6,6,6,6,6,8,0,0,7,7,7,7,7,8,0,0
"asv13",6,4,2,6,2,19,6,0,8,8,8,6,8,8,6,6,25,6,2,2,10,8,6,6,12,35,6,6,6,15,19,7,6,6,10,14,6,8,13,6,14,10,6,6,50,15,13,6,6,6,6,6,14,29,19,13
"asv14",7,7,7,7,7,10,12,13,2,2,2,2,2,8,12,13,6,6,6,6,6,10,12,7,7,7,7,7,7,10,12,13,7,7,7,7,7,7,12,13,7,7,7,7,7,10,5,7,7,7,7,7,7,10,12,13
"asv15",2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,2,2,2,2,2,0,0,0,2,2,2,2,2,0,0,0,2,2,2,2,2,0,0,0,2,2,2,2,2,0,0,0
"asv16",0,113,3,0,3,3,0,0,3,3,3,70,0,0,0,0,3,3,3,0,3,546,0,458,3,0,3,3,3,3,0,0,3,3,0,3,3,3,0,0,3,0,3,3,3,0,0,0,0,587,3,113,3,3,0,0
"asv17",0,8,8,0,0,0,0,0,0,0,6,0,10,9,13,7,4,0,0,4,0,0,0,0,0,0,0,0,8,8,0,0,8,8,8,0,0,21,8,7,0,0,0,0,4,8,8,0,0,0,0,0,0,0,8,0
"asv18",0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0
"asv19",0,0,0,0,0,0,386,323,0,0,0,0,0,0,387,323,0,0,0,0,0,0,386,323,0,0,0,0,0,0,386,323,0,0,0,0,0,0,386,323,0,0,0,0,0,0,386,323,0,0,0,0,0,0,386,323
"asv20",0,0,0,0,0,0,0,80,0,0,0,0,67,0,107,0,91,0,0,91,91,0,0,0,0,0,0,0,0,0,107,0,0,107,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0
"asv21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0
"asv23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,0,0,0,0,0,0
