"asv","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48","track49","track50","track51","track52","track53","track54","track55","track56"
"asv1",28182,28182,28182,28182,28182,36474,0,0,18069,18069,18069,18069,18069,29689,0,0,18254,18254,18254,18254,18254,35224,0,0,20363,20363,20363,20363,20363,36280,0,0,23217,23217,23217,23217,23217,36412,0,0,23923,23923,23923,23923,23923,36472,0,0,24160,24160,24160,24160,24160,36474,0,0
"asv2",13891,13891,13891,13891,13891,19219,0,0,9535,9535,9535,9535,9535,17671,0,0,11566,11566,11566,11566,11566,19068,0,0,12792,12792,12792,12792,12792,19247,0,0,13555,13555,13555,13555,13555,19271,0,0,13968,13968,13968,13968,13968,19251,0,0,14099,14099,14099,14099,14099,19219,0,0
"asv3",3062,3062,3062,3062,3062,4239,0,0,2171,2171,2171,2171,2171,3943,0,0,2598,2598,2598,2598,2598,4199,0,0,2865,2865,2865,2865,2865,4232,0,0,3016,3016,3016,3016,3016,4240,0,0,3102,3102,3102,3102,3102,4239,0,0,3121,3121,3121,3121,3121,4239,0,0
"asv4",9060,9060,9060,9060,9060,9909,8613,0,5148,5148,5148,5148,5148,7475,8613,0,7380,7380,7380,7380,7380,9271,8613,0,8327,8327,8327,8324,8327,9775,8613,0,8942,8945,8945,8945,8945,9899,8613,0,9173,9173,9173,9173,9173,9908,8613,0,9250,9250,9250,9250,9250,9909,8613,0
"asv5",3869,3869,3869,3869,3869,4091,3744,0,2297,2297,2297,2297,2297,3226,3747,0,3177,3177,3177,3177,3177,3931,3744,0,3585,3585,3585,3585,3585,4062,3744,0,3815,3815,3815,3815,3815,4087,3744,0,3859,3859,3859,3859,3859,4091,3744,0,3865,3865,3865,3865,3865,4091,3744,0
"asv6",6035,6032,6027,5902,5902,6394,6878,4565,2658,3900,3910,3918,3906,4925,6816,4575,5192,5183,4896,5183,5179,6190,6954,4283,5778,4058,5477,5778,5787,6625,6518,4575,6093,6084,6084,6084,6079,6390,6910,4289,6055,6070,6060,6070,6060,6408,6885,4565,6009,6019,6014,6009,3893,4907,6919,4575
"asv7",4058,4058,4058,4058,4058,6299,16,0,3019,3019,3019,3019,3019,5080,16,0,3581,3581,3581,3581,3581,6111,16,0,3802,3802,3802,3802,3802,6283,16,0,3985,3985,3985,3985,3985,6299,16,0,4086,4086,4086,4086,4086,6299,16,0,4121,4121,4121,4121,4121,6299,16,0
"asv8",1643,1643,1643,1643,1643,2292,0,0,1179,1179,1179,1179,1179,2141,0,0,1432,1432,1432,1432,1432,2276,0,0,1555,1555,1555,1555,1555,2285,0,0,1634,1634,1634,1634,1634,2291,0,0,1678,1678,1678,1678,1678,2291,0,0,1694,1694,1694,1694,1694,2292,0,0
"asv9",1425,1425,1425,1425,1425,1575,1401,0,780,780,780,780,780,1344,1401,0,1115,1115,1115,1115,1115,1525,1401,0,1295,1295,1295,1295,1295,1572,1401,0,1380,1380,1380,1380,1380,1575,1401,0,1435,1435,1435,1435,1435,1575,1401,0,1423,1423,1423,1423,1423,1575,1401,0
"asv10",4639,4639,4639,4639,4639,1509,886,0,2130,2130,2130,2130,2130,1266,887,0,3419,3419,3419,3419,3419,1465,886,0,3989,3989,3989,3989,3989,1506,886,0,4383,4383,4383,4383,4383,1509,886,0,4576,4576,4576,4576,4576,1509,886,0,4629,4629,4629,4629,4629,1509,886,0
"asv11",1165,1165,1165,1165,1165,22,0,0,654,654,654,654,654,17,0,0,1001,1001,1001,1001,1001,21,0,0,1149,1149,1149,1149,1149,22,0,0,1214,1214,1214,1214,1214,22,0,0,1162,1162,1162,1162,1162,22,0,0,1164,1164,1164,1164,1164,22,0,0
"asv12",1065,1065,1065,1065,1065,1106,0,0,536,536,536,536,536,848,0,0,789,789,789,789,789,1069,0,0,933,933,933,933,933,1105,0,0,1018,1018,1018,1018,1018,1106,0,0,1054,1054,1054,1054,1054,1106,0,0,1064,1064,1064,1064,1064,1106,0,0
"asv13",614,614,614,614,614,0,0,0,357,357,357,357,357,515,0,0,483,483,483,483,483,0,0,0,548,548,548,548,548,0,0,0,589,589,589,589,589,0,0,0,611,611,611,611,611,0,0,0,614,614,614,614,614,0,0,0
"asv14",765,765,765,765,765,647,506,0,417,417,417,417,417,523,506,0,605,605,605,605,605,614,506,0,688,688,688,688,688,642,506,0,734,734,734,734,734,646,506,0,762,762,762,762,762,647,506,0,765,765,765,765,765,647,506,0
"asv15",765,765,765,765,765,789,630,0,461,461,461,461,461,636,630,0,608,608,608,608,608,758,630,0,688,688,688,688,688,786,630,0,744,744,744,744,744,789,630,0,760,760,760,760,760,789,630,0,765,765,765,765,765,789,630,0
"asv16",426,426,426,426,426,65,0,0,70,70,70,70,70,50,0,0,228,228,228,228,228,63,0,0,295,295,295,295,295,65,0,0,307,307,307,307,307,65,0,0,323,323,323,323,323,65,0,0,326,326,326,326,326,65,0,0
"asv17",213,213,213,213,213,0,0,0,55,55,55,55,55,0,0,0,143,143,143,143,143,0,0,0,181,181,181,181,181,0,0,0,196,196,196,196,196,0,0,0,208,208,208,208,208,0,0,0,211,211,211,211,211,0,0,0
"asv18",175,175,175,175,175,174,0,0,96,96,96,96,96,128,0,0,130,130,130,130,130,158,0,0,158,158,158,158,158,169,0,0,167,167,167,167,167,174,0,0,174,174,174,174,174,174,0,0,175,175,175,175,175,174,0,0
"asv19",150,150,150,150,150,0,0,0,74,74,74,74,74,0,0,0,116,116,116,116,116,0,0,0,136,136,136,136,136,0,0,0,143,143,143,143,143,0,0,0,150,150,150,150,150,0,0,0,150,150,150,150,150,0,0,0
