"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","121617","121597","120031","117224","112828","104042","18","57","Truncq_1","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track2","121617","121597","120031","117224","112828","104042","19","56","Truncq_2","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track3","121617","121597","120031","117224","112828","104042","18","57","Truncq_4","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track4","121617","121597","120031","117224","112828","104042","18","57","Truncq_8","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track5","121617","69252","68968","68823","2316","2290","7","35","Truncq_16","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track6","121617","70136","69971","69871","69471","63585","16","55","Truncq_1","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track7","121617","70136","69971","69871","69471","63585","16","55","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track8","121617","70136","69971","69871","69471","63585","16","55","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track9","121617","70136","69971","69871","69471","63585","16","55","Truncq_8","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track10","121617","69252","68968","68823","2316","2290","6","36","Truncq_16","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track11","121617","93835","93565","93430","92767","85231","18","57","Truncq_1","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track12","121617","93835","93565","93430","92767","85231","18","57","Truncq_2","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track13","121617","93835","93565","93430","92767","85231","17","58","Truncq_4","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track14","121617","93835","93565","93430","92767","85231","18","57","Truncq_8","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track15","121617","69252","68968","68823","2316","2290","6","36","Truncq_16","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track16","121617","111417","110939","110738","107971","99487","20","55","Truncq_1","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track17","121617","111417","110939","110738","107971","99487","19","56","Truncq_2","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track18","121617","111417","110939","110738","107971","99487","19","56","Truncq_4","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track19","121617","111417","110939","110738","107971","99487","19","56","Truncq_8","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track20","121617","69252","68968","68823","2316","2290","6","36","Truncq_16","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track21","121617","119281","117985","116910","112700","103928","18","57","Truncq_1","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track22","121617","119281","117985","116910","112700","103928","18","57","Truncq_2","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track23","121617","119281","117985","116910","112700","103928","18","57","Truncq_4","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track24","121617","119281","117985","116910","112700","103928","18","57","Truncq_8","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track25","121617","69252","68968","68823","2316","2290","6","36","Truncq_16","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
