"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25"
"asv1",87690,87690,87690,87690,0,52067,52067,52067,52067,0,70445,70445,70445,70445,0,83574,83574,83574,83574,0,87587,87587,87587,87587,0
"asv2",13327,13327,13327,13327,0,9408,9408,9408,9408,0,12221,12221,12221,12221,0,12971,12971,12971,12971,0,13323,13323,13323,13323,0
"asv3",2627,2558,2668,2668,1836,1927,1927,1867,1927,1916,2297,2301,2298,1779,1922,2500,2603,2601,2605,1922,2662,2658,2621,2662,1916
"asv4",125,125,125,125,0,63,63,63,63,0,89,89,89,89,0,118,118,118,118,0,125,125,125,125,0
"asv5",101,101,101,101,0,46,46,46,46,0,73,73,73,73,0,98,98,98,98,0,100,100,100,100,0
"asv6",43,14,6,14,6,6,6,2,6,13,2,2,8,6,7,8,4,6,2,0,6,6,47,14,6
"asv7",34,34,34,34,25,22,22,22,22,25,28,28,28,28,25,33,33,33,33,25,34,34,34,34,25
"asv8",24,24,24,24,0,7,7,7,7,0,17,17,17,17,0,23,23,23,23,0,24,24,24,24,0
"asv9",15,15,15,15,0,8,8,8,8,0,11,11,11,11,0,13,13,13,13,0,15,15,15,15,0
"asv10",13,13,13,13,0,10,10,10,10,0,12,12,12,12,0,13,13,13,13,0,13,13,13,13,0
"asv11",12,12,12,12,0,5,5,5,5,0,8,8,8,8,0,11,11,11,11,0,12,12,12,12,0
"asv12",8,0,8,0,7,6,0,6,0,0,0,8,8,0,0,0,8,8,0,0,8,0,8,0,7
"asv13",7,7,7,7,0,5,5,5,5,0,5,5,5,5,0,6,6,6,6,0,7,7,7,7,0
"asv14",4,0,0,0,0,0,0,0,6,0,4,0,0,12,0,0,0,0,8,7,0,12,0,0,0
"asv15",7,7,7,7,13,2,2,2,2,13,6,6,6,6,7,7,7,7,7,13,7,7,7,7,7
"asv16",3,3,3,3,0,3,3,0,3,0,3,3,0,517,0,3,3,3,3,0,3,3,3,3,0
"asv17",2,2,2,2,0,0,0,0,0,0,2,2,2,2,0,2,2,2,2,0,2,2,2,2,0
"asv18",0,110,0,0,80,0,0,67,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0
"asv19",0,0,0,0,323,0,0,0,0,323,0,0,0,0,323,0,0,0,0,323,0,0,0,0,323
"asv20",0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
