"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","140892","140870","137273","131476","99474","83082","122","85","Truncq_1","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track2","140892","140870","137273","131476","99474","83082","122","85","Truncq_2","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track3","140892","140870","137273","131476","99474","83082","123","84","Truncq_4","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track4","140892","140870","137273","131476","99474","83082","123","84","Truncq_8","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track5","140892","73298","72554","72450","4580","4575","0","50","Truncq_16","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track6","140892","68474","67774","67529","61277","51834","110","81","Truncq_1","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track7","140892","68474","67774","67529","61277","51834","110","81","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track8","140892","68474","67774","67529","61277","51834","109","82","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track9","140892","68474","67774","67529","61277","51834","109","82","Truncq_8","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track10","140892","73298","72554","72450","4580","4575","0","50","Truncq_16","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track11","140892","100502","99471","99029","77305","63139","118","84","Truncq_1","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track12","140892","100502","99471","99029","77305","63139","119","83","Truncq_2","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track13","140892","100502","99471","99029","77305","63139","119","83","Truncq_4","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track14","140892","100502","99471","99029","77305","63139","118","84","Truncq_8","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track15","140892","73298","72554","72450","4580","4575","0","50","Truncq_16","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track16","140892","126255","124736","123574","91530","76879","125","84","Truncq_1","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track17","140892","126255","124736","123574","91530","76879","124","85","Truncq_2","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track18","140892","126255","124736","123574","91530","76879","123","86","Truncq_4","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track19","140892","126255","124736","123574","91530","76879","124","85","Truncq_8","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track20","140892","73298","72554","72450","4580","4575","0","51","Truncq_16","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track21","140892","137500","134387","131561","95159","79473","124","83","Truncq_1","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track22","140892","137500","134387","131561","95159","79473","123","84","Truncq_2","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track23","140892","137500","134387","131561","95159","79473","123","84","Truncq_4","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track24","140892","137500","134387","131561","95159","79473","124","83","Truncq_8","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track25","140892","73298","72554","72450","4580","4575","2","49","Truncq_16","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
