"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv1",70445,6,6,6,6,71733,6,6,6,6,71785,71531,74567,6,6,70636,71606,71343,74352,75243,6
"asv2",12221,3,3,3,3,12664,3,3,3,3,12464,12609,12803,3,3,12233,12419,12560,12747,12879,0
"asv3",2312,1691,1739,1750,1665,1132,1603,1738,1651,1759,1568,1495,1647,1683,1681,1109,1209,1211,1266,1321,1215
"asv4",89,97,99,113,113,95,97,99,100,113,92,95,97,99,100,90,92,95,97,99,100
"asv5",73,0,0,0,0,80,0,0,0,0,81,80,82,0,0,80,78,77,79,93,0
"asv6",28,0,0,0,0,29,29,0,0,0,28,29,29,29,0,28,28,29,29,29,29
"asv7",17,21,22,0,0,18,21,22,22,0,17,18,21,22,22,17,17,18,20,21,21
"asv8",12,0,0,0,0,25,0,0,0,0,24,25,25,0,0,12,12,13,13,13,0
"asv9",11,0,0,0,0,12,0,0,0,0,12,12,12,0,0,11,11,11,11,11,0
"asv10",8,0,0,0,0,5,0,0,0,0,5,5,6,0,0,5,5,5,6,7,0
"asv11",5,6,6,6,0,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6
"asv12",6,19,21,8,8,6,8,8,8,8,5,0,3,20,8,8,8,8,11,11,8
"asv13",2,0,0,0,0,2,0,0,0,0,2,2,2,0,0,2,2,2,2,2,0
"asv14",2,0,0,8,0,0,4,0,0,0,8,0,0,3,0,0,0,2,0,0,8
"asv15",0,8,8,4,12,4,0,4,4,4,0,4,12,12,12,0,8,4,8,4,4
"asv16",0,5,5,5,5,0,5,5,5,5,0,0,0,5,5,0,0,0,0,0,5
"asv17",0,4,0,0,0,4,4,4,0,0,4,4,4,4,4,0,4,4,4,4,4
"asv18",0,4,4,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,4,0,0
"asv19",0,4,2,4,2,4,4,2,100,2,0,4,2,4,2,92,0,2,2,2,2
"asv20",0,0,0,13,11,0,11,13,13,11,0,0,0,0,12,0,0,0,0,0,0
"asv21",0,0,0,0,97,534,95,0,0,0,2,0,0,0,0,0,0,0,0,0,96
"asv22",0,0,0,0,0,14,0,0,0,0,0,14,15,0,0,0,0,14,15,15,0
"asv23",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv24",0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,3,3,0
"asv25",0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,8,0,8,0
"asv26",0,0,0,0,0,0,0,0,0,0,0,93,2,0,0,0,0,0,0,0,0
"asv27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
