"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","126709","81233","79496","77958","43351","40744","34","318","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_0-0"
"track2","126709","74015","71645","69905","50347","47596","22","386","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-235"
"track3","126709","75370","72943","71390","53823","50939","24","405","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-230"
"track4","126709","76525","74004","72498","54268","51424","24","397","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-225"
"track5","126709","77692","75110","73657","54850","51973","20","402","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-220"
"track6","126709","71679","69292","67404","42136","40111","56","300","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-240"
"track7","126709","73387","70961","69381","51473","48660","27","390","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-235"
"track8","126709","74707","72227","70810","53559","50620","26","397","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-230"
"track9","126709","75830","73321","71946","54064","51131","27","390","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-225"
"track10","126709","76956","74386","73008","54550","51597","26","390","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-220"
"track11","126709","66928","64687","62422","30802","29426","47","227","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-245"
"track12","126709","68504","66209","64313","39483","37545","52","295","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-240"
"track13","126709","70130","67787","66189","49897","47141","58","378","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-235"
"track14","126709","71358","68970","67541","52019","49110","31","407","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-230"
"track15","126709","72426","69964","68481","50959","48066","26","387","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-225"
"track16","126709","58745","57007","54759","27357","26041","42","192","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-250"
"track17","126709","60845","59043","56633","27924","26630","40","206","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-245"
"track18","126709","62261","60375","58431","35731","33885","46","268","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-240"
"track19","126709","63727","61845","60175","45106","42432","48","344","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-235"
"track20","126709","64818","62900","61349","48519","45622","52","365","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-230"
"track21","126709","65765","63745","62125","47571","44582","29","359","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-225"
