"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv1",39112,47097,50119,47215,47770,35267,44826,46569,47196,47410,27729,35708,44943,48348,47332,22288,25135,32276,40575,40413,43909
"asv2",572,0,0,0,0,626,0,0,0,0,598,618,645,0,0,578,596,615,641,652,0
"asv3",258,55,395,417,103,62,71,229,39,215,26,87,231,184,152,34,25,50,141,177,170
"asv4",95,0,0,0,0,111,0,0,0,0,107,111,116,0,0,101,107,112,117,122,0
"asv5",120,163,86,138,157,27,156,72,154,157,124,93,93,175,145,116,126,105,83,94,101
"asv6",58,0,0,0,0,62,0,0,0,0,59,61,64,0,0,59,59,60,62,62,0
"asv7",177,0,0,0,0,194,0,0,0,0,186,190,196,0,0,92,94,97,99,99,0
"asv8",49,0,0,0,0,53,0,0,0,0,52,52,53,0,0,49,51,51,52,52,0
"asv9",44,0,0,0,0,52,0,0,0,0,48,52,55,0,0,3,3,3,3,3,0
"asv10",31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
"asv11",71,96,75,3470,3545,3103,3352,3433,3518,3526,74,80,98,104,192,86,74,82,72,3414,98
"asv12",24,0,0,0,0,28,28,0,0,0,27,27,27,27,0,25,26,26,26,26,26
"asv13",33,0,0,0,0,36,0,0,0,0,36,36,38,0,0,33,35,35,37,38,0
"asv14",20,25,25,26,26,24,24,24,25,25,22,23,23,23,24,20,22,23,23,23,24
"asv15",17,29,31,32,0,29,29,31,32,29,31,28,28,30,31,26,26,26,26,27,28
"asv16",15,0,0,0,0,25,0,0,0,0,22,25,29,0,0,16,18,21,22,22,0
"asv17",21,0,0,0,0,22,0,0,0,0,22,22,22,0,0,22,22,22,22,22,0
"asv18",10,11,12,12,12,10,11,12,12,12,10,10,11,12,12,10,10,10,11,12,12
"asv19",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv20",5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,5,6,6,6,6
"asv21",4,5,6,6,6,5,5,6,6,6,4,5,5,6,6,4,4,5,5,6,6
"asv22",0,21,60,4,147,16,30,101,17,79,4,39,56,34,46,0,0,23,104,64,83
"asv23",0,14,14,14,14,0,0,14,0,14,0,0,14,14,14,0,0,0,17,10,10
"asv24",0,11,11,12,13,11,11,11,12,13,0,11,11,11,12,0,0,11,11,11,12
"asv25",0,9,9,9,9,8,9,9,9,9,8,8,9,9,9,8,8,8,9,9,9
"asv26",0,8,8,8,0,8,8,8,8,8,5,8,8,8,8,7,7,10,10,9,10
"asv27",0,11,13,13,0,9,11,13,13,13,0,6,11,13,13,0,0,6,11,13,13
"asv28",0,4,4,0,0,0,4,4,4,0,0,0,4,4,4,0,0,0,4,4,4
"asv29",0,0,17,0,17,73,3,22,0,17,16,8,75,20,0,0,0,3,22,0,3
"asv30",0,0,7,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,6,0
"asv31",0,0,5,0,0,7,14,9,28,0,8,7,21,16,0,0,0,0,0,0,0
"asv32",0,0,5,2,117,0,3,0,0,0,0,0,5,7,0,0,0,3,2,0,6
"asv33",0,0,0,9,0,7,0,0,9,9,0,6,0,0,8,0,0,6,0,0,0
"asv34",0,0,0,0,0,50,0,0,0,0,49,50,55,0,0,48,49,50,55,56,0
"asv35",0,0,0,0,0,30,0,0,0,0,29,30,31,0,0,24,24,25,25,25,0
"asv36",0,0,0,0,0,29,0,0,0,0,25,28,29,0,0,24,25,28,29,30,0
"asv37",0,0,0,0,0,24,0,0,0,0,24,24,24,0,0,24,24,24,24,26,0
"asv38",0,0,0,0,0,13,0,0,0,0,11,13,15,0,0,0,0,0,0,0,0
"asv39",0,0,0,0,0,11,0,0,0,0,10,12,10,0,0,10,10,12,10,10,0
"asv40",0,0,0,0,0,9,9,9,10,10,0,0,0,0,0,0,0,0,0,0,0
"asv41",0,0,0,0,0,8,9,0,0,0,0,8,9,9,0,0,0,8,9,9,9
"asv42",0,0,0,0,0,7,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0
"asv43",0,0,0,0,0,7,0,0,0,0,10,7,0,0,0,9,10,7,0,0,0
"asv44",0,0,0,0,0,5,6,0,0,0,4,5,6,8,0,4,4,5,6,8,8
"asv45",0,0,0,0,0,4,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0
"asv46",0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"asv47",0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,4,4,4
"asv48",0,0,0,0,0,0,0,0,0,8,0,0,0,0,21,0,0,0,5,5,0
"asv49",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,13,0
"asv50",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9,9,0
"asv51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2285,0,0,0,0,0
