"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","107145","77487","76282","73782","43626","42232","38","380","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_0-0"
"track2","107145","70788","69223","67443","47139","46026","18","396","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-235"
"track3","107145","71561","69987","68430","49980","48744","17","412","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-230"
"track4","107145","72223","70620","69053","50296","49065","20","413","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-225"
"track5","107145","72840","71219","69623","50476","49248","12","416","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-220"
"track6","107145","69257","67773","65778","41073","40129","53","307","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-240"
"track7","107145","70293","68698","66946","48460","47141","27","402","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-235"
"track8","107145","71043","69461","67902","49480","48176","18","406","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-230"
"track9","107145","71689","70007","68510","49648","48349","16","411","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-225"
"track10","107145","72296","70594","69110","49782","48486","15","404","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-220"
"track11","107145","65374","63927","61317","31941","31467","46","226","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-245"
"track12","107145","66340","64818","62825","39079","38164","54","302","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-240"
"track13","107145","67324","65758","64053","48557","47264","62","396","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-235"
"track14","107145","68046","66470","65014","48778","47429","27","416","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-230"
"track15","107145","68650","67047","65585","47171","46235","20","401","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-225"
"track16","107145","57312","55985","53848","28021","27491","36","199","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-250"
"track17","107145","59118","57692","55422","28498","28032","37","207","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-245"
"track18","107145","59999","58540","56661","34887","33967","41","270","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-240"
"track19","107145","60913","59392","57830","43355","42110","46","357","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-235"
"track20","107145","61571","60003","58826","46176","44768","48","377","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-230"
"track21","107145","62103","60557","59295","44881","43492","25","383","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-225"
