"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","119995","73784","70437","69586","40955","39713","113","235","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_0-0"
"track2","119995","69886","66371","64412","42723","40577","89","253","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-235"
"track3","119995","71425","67802","66350","44954","42652","92","269","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-230"
"track4","119995","72807","69104","67578","45366","43159","95","276","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-225"
"track5","119995","74204","70451","68943","44875","42505","69","278","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-220"
"track6","119995","67390","64033","62249","41403","39646","233","215","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-240"
"track7","119995","69389","65915","64054","44484","42310","136","258","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-235"
"track8","119995","70889","67305","65845","44979","42610","96","268","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-230"
"track9","119995","72241","68582","67123","45442","43174","96","273","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-225"
"track10","119995","73606","69884","68440","45671","43222","93","268","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-220"
"track11","119995","62420","59117","56950","31828","30649","176","147","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-245"
"track12","119995","64420","61009","59451","38869","37157","216","210","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-240"
"track13","119995","66324","62650","61109","48088","45635","240","250","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-235"
"track14","119995","67736","63945","62645","43841","41550","131","269","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-230"
"track15","119995","69010","65146","63922","42459","40252","101","267","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-225"
"track16","119995","55019","51775","49855","28254","27282","144","126","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-250"
"track17","119995","57267","53900","52171","29279","28295","152","131","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-245"
"track18","119995","59078","55613","54424","35333","33919","192","188","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-240"
"track19","119995","60828","57238","55925","43695","41604","212","226","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-235"
"track20","119995","62128","58422","57320","46394","44171","224","246","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-230"
"track21","119995","63296","59549","58548","40294","38257","129","249","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-225"
