"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","140542","88914","87315","87147","65060","55598","82","182","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_0-0"
"track2","140542","86486","84756","83546","29514","28276","81","211","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-235"
"track3","140542","88190","86462","85508","27276","26466","66","232","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-230"
"track4","140542","89743","87965","87120","27718","26876","68","230","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-225"
"track5","140542","91287","89489","88666","22698","22065","37","231","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-220"
"track6","140542","83326","81649","80316","62654","50257","147","165","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-240"
"track7","140542","85726","83971","82929","34211","32729","115","214","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-235"
"track8","140542","87363","85559","84721","32236","30843","85","228","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-230"
"track9","140542","88855","87078","86169","27484","26628","69","226","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-225"
"track10","140542","90331","88525","87638","27806","26917","67","227","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-220"
"track11","140542","79121","77476","75774","52909","42372","119","121","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-245"
"track12","140542","81588","79916","78603","61113","48911","142","159","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-240"
"track13","140542","83879","81931","81012","70264","56944","145","205","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-235"
"track14","140542","85434","83456","82823","35823","34327","108","229","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-230"
"track15","140542","86850","85034","84214","31742","30462","82","219","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-225"
"track16","140542","72185","70611","69279","49504","39718","110","96","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-250"
"track17","140542","74581","72970","71435","50802","40312","111","107","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-245"
"track18","140542","76880","75221","73999","58533","46492","131","132","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-240"
"track19","140542","79012","77325","76408","66657","53339","138","173","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-235"
"track20","140542","80447","78745","78131","70863","56856","146","196","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-230"
"track21","140542","81733","79970","79392","33988","32364","108","198","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-225"
