"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv1",6400,3,3,3,4,6831,3,3,3,4,6477,6775,7500,3,3,6290,6455,6818,7456,7571,3
"asv2",12157,0,0,0,0,12136,0,0,0,0,10924,11998,12122,0,0,10526,10845,11872,12142,12808,0
"asv3",4237,0,0,5,10,0,1324,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"asv4",17034,17701,20603,19476,20951,14275,17994,20434,19351,20716,10288,13214,18188,19711,19514,8419,8581,11516,15192,16563,15505
"asv5",2706,3457,0,12,0,2221,3446,4434,12,13,2787,2216,3331,4434,4853,2899,3022,2198,3295,4221,4784
"asv6",1935,0,0,0,0,2094,2668,4,0,0,2047,2074,2339,2644,0,2307,2047,2075,2335,2351,3202
"asv7",4731,63,63,67,3,5218,57,63,67,68,4347,5181,5295,56,52,4219,4313,5089,5193,5305,51
"asv8",1503,1565,1710,1753,0,1418,1554,1638,1740,1790,735,1420,1520,1637,1675,880,735,1416,1571,1608,1675
"asv9",1314,2602,2776,2826,0,1935,2577,2670,2802,2807,1116,1950,2494,2692,2752,1089,1110,1935,2466,2568,2719
"asv10",747,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1317
"asv11",192,0,0,0,0,213,0,0,0,0,208,212,219,0,0,204,208,211,218,221,0
"asv12",943,5,5,5,0,1081,1099,7,7,7,1035,1069,1086,1102,7,1001,1029,1063,1081,1095,1115
"asv13",146,174,178,181,0,172,175,177,180,181,165,170,173,177,185,160,163,168,171,175,178
"asv14",140,0,0,0,0,158,0,0,0,0,156,159,161,0,0,0,0,0,0,0,0
"asv15",316,11,0,0,0,362,9,9,0,0,351,362,370,0,0,255,267,271,278,282,0
"asv16",218,0,0,0,0,233,207,0,0,0,230,232,206,211,0,222,230,232,207,243,219
"asv17",149,176,179,182,184,169,174,177,180,182,161,168,172,175,178,83,84,87,89,90,90
"asv18",64,80,81,84,0,76,80,81,84,85,69,73,77,78,81,66,67,71,74,75,77
"asv19",60,0,0,0,0,87,0,0,0,0,80,83,85,0,0,65,79,69,70,73,0
"asv20",91,0,0,0,0,98,101,0,0,0,97,98,101,102,0,94,96,97,100,101,102
"asv21",81,0,0,0,0,95,0,0,0,0,93,94,78,0,0,4,4,4,4,4,0
"asv22",71,0,0,0,0,73,0,0,0,0,85,72,89,0,0,81,76,66,79,79,0
"asv23",42,51,52,53,53,49,50,51,52,52,48,49,50,51,52,45,47,48,49,50,51
"asv24",41,53,0,0,0,52,53,54,0,0,49,52,53,54,54,50,51,54,56,57,57
"asv25",36,0,0,0,0,44,0,0,0,0,42,44,45,0,0,39,42,44,45,45,0
"asv26",35,0,0,0,0,36,36,0,0,0,36,37,37,37,3,36,36,37,37,37,37
"asv27",29,0,0,0,0,40,0,0,0,0,40,40,41,0,0,0,0,0,0,0,0
"asv28",24,0,0,0,0,36,0,0,0,0,36,36,38,0,0,24,24,24,38,39,0
"asv29",44,0,0,0,0,47,47,0,0,0,46,47,47,47,0,49,50,51,51,51,52
"asv30",22,28,28,29,29,28,28,28,29,29,27,28,28,28,29,27,27,28,28,28,29
"asv31",21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,23,23,23,23,23
"asv32",17,0,0,0,0,19,20,0,0,0,0,0,0,0,0,17,19,19,20,20,20
"asv33",13,0,0,0,0,21,0,0,0,0,19,20,22,0,0,18,18,20,21,21,0
"asv34",10,24,24,24,24,24,24,24,24,24,21,24,24,24,24,10,11,24,24,24,24
"asv35",19,1363,50,1391,40,42,33,45,1381,43,33,42,38,38,38,26,28,37,43,50,43
"asv36",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv37",2,13,13,13,13,12,12,12,12,12,20,21,21,21,3,2,20,21,12,12,12
"asv38",0,347,354,355,358,334,348,355,356,359,144,331,335,352,353,174,177,327,331,337,348
"asv39",0,75,29,0,0,0,113,113,0,30,0,0,0,37,48,0,0,0,0,0,134
"asv40",0,82,44,73,3,5,41,41,71,41,0,2,2,134,124,0,0,0,0,0,52
