"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","229626","227429","218144","218523","180410","152306","456","4","Truncq_1","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track2","229626","227430","219403","220840","181084","161628","346","1","Truncq_2","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track3","229626","227430","219403","220840","181084","161628","345","2","Truncq_4","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track4","229626","227430","219403","220840","181084","161628","346","1","Truncq_8","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track5","229626","166234","165736","166195","57701","57060","0","0","Truncq_16","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track6","229626","66624","64158","64448","59890","51153","345","2","Truncq_1","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track7","229626","136568","128157","130383","109387","96764","335","1","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track8","229626","136568","128157","130383","109387","96764","335","1","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track9","229626","136568","128157","130383","109387","96764","334","2","Truncq_8","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track10","229626","166234","165736","166195","57701","57060","0","0","Truncq_16","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track11","229626","132158","127667","128679","113131","95017","429","2","Truncq_1","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track12","229626","205508","198122","200658","165500","147620","0","0","Truncq_2","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track13","229626","205508","198122","200658","165500","147620","347","1","Truncq_4","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track14","229626","205508","198122","200658","165500","147620","346","2","Truncq_8","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track15","229626","166234","165736","166195","57701","57060","0","0","Truncq_16","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track16","229626","176149","170403","171694","147628","123624","455","3","Truncq_1","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track17","229626","227327","219311","220777","181039","161582","345","2","Truncq_2","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track18","229626","227327","219311","220777","181039","161582","345","2","Truncq_4","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track19","229626","227327","219311","220777","181039","161582","345","2","Truncq_8","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track20","229626","166234","165736","166195","57701","57060","0","0","Truncq_16","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track21","229626","184050","177962","179324","153279","128186","452","4","Truncq_1","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track22","229626","227429","219402","220840","181084","161628","346","1","Truncq_2","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track23","229626","227429","219402","220840","181084","161628","346","1","Truncq_4","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track24","229626","227429","219402","220840","181084","161628","345","2","Truncq_8","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track25","229626","166234","165736","166195","57701","57060","0","0","Truncq_16","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
