"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25"
"asv1",6515,6924,7048,6819,5227,2357,4813,4659,4769,5287,4188,6274,6532,6691,5146,5274,6851,7126,6745,5368,5655,7041,7127,6790,5227
"asv2",8919,9220,9220,9220,7067,3682,6477,6477,6477,7067,6160,8698,8698,8698,7067,7756,9220,9220,9220,7067,8005,9220,9220,9220,7067
"asv3",3820,4108,4108,4108,3328,1556,2914,2914,2914,3328,2859,3850,3850,3850,3328,3452,4106,4106,4106,3328,3528,4108,4108,4108,3328
"asv4",3584,3960,3960,3960,2603,788,2147,2147,2147,2603,1707,3345,3345,3345,2603,2152,3958,3958,3958,2603,2276,3960,3960,3960,2603
"asv5",4273,4405,4405,4405,2970,948,2485,2485,2485,2970,1950,3788,3788,3788,2970,2959,4404,4404,4404,2970,3238,4405,4405,4405,2970
"asv6",6021,6885,6885,6885,2217,1874,3911,3911,3911,2217,4182,5969,5969,5969,2217,5228,6884,6884,6884,2217,5342,6885,6885,6885,2217
"asv7",3317,3534,3534,3534,2494,1392,2587,2587,2587,2494,2183,3355,3355,3355,2494,2745,3534,3534,3534,2494,2910,3534,3534,3534,2494
"asv8",2086,2214,2214,2214,1884,630,1380,1380,1380,1884,1398,1981,1981,1981,1884,1800,2214,2214,2214,1884,1862,2214,2214,2214,1884
"asv9",5290,5491,5491,5491,3508,2425,3967,3967,3967,3508,3871,5180,5180,5180,3508,4648,5491,5491,5491,3508,4751,5491,5491,5491,3508
"asv10",3460,3638,3638,3638,2495,1186,2317,2317,2317,2495,2141,3256,3256,3256,2495,2689,3638,3638,3638,2495,2809,3638,3638,3638,2495
"asv11",1646,1701,1701,1701,1258,763,1260,1260,1260,1258,1208,1599,1599,1599,1258,1448,1701,1701,1701,1258,1484,1701,1701,1701,1258
"asv12",1894,2034,2034,2034,1433,1031,1644,1644,1644,1433,1477,1945,1945,1945,1433,1706,2034,2034,2034,1433,1721,2034,2034,2034,1433
"asv13",1441,1576,1576,1576,1012,19,424,424,424,1012,97,1301,1301,1301,1012,499,1576,1576,1576,1012,638,1576,1576,1576,1012
"asv14",1426,1482,1482,1482,0,319,793,793,793,0,560,1269,1269,1269,0,860,1482,1482,1482,0,899,1482,1482,1482,0
"asv15",1172,1280,1280,1280,1175,510,917,917,917,1175,802,1188,1188,1188,1175,964,1280,1280,1280,1175,1040,1280,1280,1280,1175
"asv16",2554,2611,2611,2611,2069,1160,2012,2012,2012,2069,1866,2452,2452,2452,2069,2155,2610,2610,2610,2069,2196,2611,2611,2611,2069
"asv17",931,959,959,959,676,255,598,598,598,676,637,853,853,853,676,821,958,958,958,676,846,959,959,959,676
"asv18",1292,1283,1283,1283,897,455,830,830,830,897,873,1181,1181,1181,897,1093,1283,1283,1283,897,1104,1283,1283,1283,897
"asv19",1263,1279,1279,1279,905,623,966,966,966,905,890,1220,1220,1220,905,1103,1279,1279,1279,905,1149,1279,1279,1279,905
"asv20",1003,1006,1006,1006,772,353,657,657,657,772,702,915,915,915,772,904,1005,1005,1005,772,929,1006,1006,1006,772
"asv21",927,887,887,887,717,88,422,422,422,717,238,766,766,766,717,384,887,887,887,717,410,887,887,887,717
"asv22",1160,1142,1142,1142,471,494,849,849,849,471,724,1094,1094,1094,471,926,1142,1142,1142,471,1034,1142,1142,1142,471
"asv23",642,669,669,669,0,121,278,278,278,0,325,592,592,592,0,471,669,669,669,0,481,669,669,669,0
"asv24",1174,1207,1207,1325,752,537,1004,1004,915,823,862,1144,1250,1144,752,1048,1325,1207,1207,823,1065,1207,1207,1207,752
"asv25",1444,1529,1529,1529,845,622,1085,1085,1085,845,1028,1413,1413,1413,845,1251,1529,1529,1529,845,1292,1529,1529,1529,845
"asv26",559,709,709,709,527,172,441,441,441,527,267,664,664,664,527,307,709,709,709,527,330,709,709,709,527
"asv27",758,903,804,903,544,342,593,593,593,625,546,854,756,756,625,665,804,903,903,544,675,804,903,903,544
"asv28",500,523,523,523,349,10,322,322,322,349,322,472,472,472,349,414,523,730,523,349,429,523,523,730,349
"asv29",2569,2365,2273,2155,1058,1093,1568,1568,1638,987,1691,2115,2009,2115,1058,2191,2175,2293,2385,987,2201,2293,2365,2273,1076
"asv30",830,729,729,729,112,330,407,407,381,112,304,623,640,640,112,492,729,522,877,112,511,729,877,522,112
"asv31",656,698,698,698,520,199,442,442,442,520,301,595,595,595,520,448,697,697,697,520,472,698,698,698,520
"asv32",454,468,468,468,293,189,342,342,342,293,284,443,443,443,293,382,467,467,467,293,398,468,468,468,293
"asv33",1189,1306,1306,1306,360,306,658,658,658,360,692,1174,1174,1174,360,958,1306,1306,1306,360,993,1306,1306,1306,360
"asv34",369,379,379,379,254,45,204,204,204,254,145,338,338,338,254,264,379,379,379,254,276,379,379,379,254
"asv35",339,346,346,346,212,173,254,254,254,212,234,321,321,321,212,280,346,346,346,212,302,346,346,346,212
"asv36",335,346,346,346,1405,126,227,227,227,1405,236,320,320,320,1405,284,346,346,346,1405,291,346,346,346,1405
"asv37",330,335,335,335,232,80,187,187,187,232,183,260,260,260,232,265,331,331,331,232,289,335,335,335,232
"asv38",314,346,346,346,214,43,188,188,188,214,111,287,287,287,214,209,344,344,344,214,238,346,346,346,214
"asv39",398,443,443,443,263,178,316,316,316,263,291,409,409,409,263,359,443,443,443,263,367,443,443,443,263
"asv40",318,336,336,336,0,97,185,185,185,0,186,294,294,294,0,231,336,336,336,0,236,336,336,336,0
"asv41",537,550,550,550,0,240,412,412,412,0,394,522,522,522,0,479,550,550,550,0,500,550,550,550,0
"asv42",678,715,715,715,94,205,461,461,461,94,369,659,659,659,94,581,715,715,715,94,605,715,715,715,94
"asv43",367,391,391,391,3,121,286,286,286,3,268,361,361,361,3,327,391,391,391,3,343,391,391,391,3
"asv44",357,362,362,362,192,75,214,214,214,192,151,315,315,315,192,252,362,362,362,192,272,362,362,362,192
"asv45",364,352,352,352,214,150,247,247,247,214,252,327,327,327,214,315,352,352,352,214,322,352,352,352,214
"asv46",272,276,313,276,199,116,212,191,191,199,193,263,263,263,199,280,313,276,313,199,241,313,276,276,199
"asv47",251,256,256,256,169,104,173,173,173,169,169,238,238,238,169,218,256,256,256,169,224,256,256,256,169
"asv48",322,325,325,325,0,86,171,171,171,0,136,293,293,293,0,217,325,325,325,0,228,325,325,325,0
"asv49",382,391,391,391,0,182,295,295,295,0,280,374,374,374,0,332,391,391,391,0,338,391,391,391,0
"asv50",201,215,215,215,173,88,160,160,160,173,159,203,203,203,173,187,215,215,215,173,188,215,215,215,173
"asv51",356,363,167,363,168,135,95,239,239,27,232,329,149,149,168,304,363,167,363,27,149,167,167,363,168
"asv52",323,338,338,338,125,139,256,256,256,125,239,321,321,321,125,295,338,338,338,125,304,338,338,338,125
"asv53",179,195,195,195,0,0,39,39,39,0,46,147,147,147,0,112,195,195,195,0,115,195,195,195,0
"asv54",172,175,175,175,0,67,120,120,132,0,136,181,164,164,0,159,175,175,0,0,165,175,175,175,0
"asv55",149,0,0,0,0,0,0,0,0,0,56,0,0,0,0,97,0,0,0,0,99,0,0,0,0
"asv56",142,148,148,148,0,27,72,72,72,0,50,122,122,122,0,83,148,148,148,0,95,148,148,148,0
"asv57",126,127,127,127,93,34,86,86,86,93,67,117,117,117,93,87,127,127,127,93,95,127,127,127,93
"asv58",113,0,112,112,89,39,81,81,0,89,63,104,104,0,89,89,112,0,112,89,91,112,0,112,89
