"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv1",21981,27603,28413,28811,29137,26090,27442,28212,28590,28903,24815,25704,26970,27751,28089,20280,22992,23739,24832,25384,25632
"asv2",4182,3727,3807,3852,3964,3636,3702,3780,3820,3928,3555,3581,3643,3712,3745,1264,3211,3231,3272,3324,3343
"asv3",4446,4280,4305,4329,4356,4234,4258,4267,4290,4314,4109,4165,4191,4206,4228,3093,3847,3889,3911,3922,3936
"asv4",3334,3229,3264,3276,3308,3190,3220,3255,3268,3298,3138,3166,3195,3225,3237,2659,2977,3002,3022,3044,3052
"asv5",2623,2436,2570,2636,2677,2285,2423,2555,2622,2663,2149,2267,2400,2528,2587,1724,2022,2116,2238,2345,2391
"asv6",2604,2478,2499,2509,2512,2444,2453,2474,2482,2485,2398,2409,2418,2438,2445,1994,2260,2269,2273,2289,2296
"asv7",2498,2143,2326,2387,2188,2150,2176,2110,2182,2193,2054,2083,2080,2211,2085,1590,1840,1859,1855,1921,1867
"asv8",1474,1370,1394,1401,1404,1352,1366,1390,1397,1400,1307,1333,1345,1366,1372,1112,1237,1251,1258,1274,1278
"asv9",3001,2677,2713,2727,2753,2635,2651,2681,2697,2725,2581,2631,2638,2644,2657,1962,2436,2471,2484,2504,2516
"asv10",1300,1175,1185,1192,1199,1155,1169,1178,1184,1190,1122,1135,1146,1154,1162,934,1029,1038,1049,1055,1060
"asv11",1437,1378,1378,1380,1394,1380,1389,1324,1383,1395,1328,1359,1314,1360,1361,998,1224,1301,1260,1320,1270
"asv12",2680,2501,2516,2522,2526,2424,2436,2450,2454,2458,2279,2380,2391,2403,2407,2019,2131,2221,2226,2218,2222
"asv13",1798,1688,1706,1707,1726,1665,1678,1697,1697,1714,1615,1652,1665,1682,1684,1309,1546,1575,1586,1602,1600
"asv14",1481,1385,1399,1399,1403,1345,1363,1379,1382,1386,1326,1330,1348,1361,1364,980,1257,1261,1275,1288,1291
"asv15",917,882,897,901,904,870,877,892,896,899,852,855,862,876,880,741,816,818,824,836,840
"asv16",1641,1571,1584,1598,1613,1560,1569,1582,1595,1610,1532,1541,1548,1559,1572,1238,1440,1448,1453,1461,1470
"asv17",1895,1967,1785,1757,1929,1765,1871,2059,1751,1802,1818,1697,1854,1711,1812,1371,1633,1608,1771,1805,1889
"asv18",1764,1605,1666,1684,1755,1553,1593,1708,1665,1732,1461,1527,1562,1673,1688,1191,1324,1385,1413,1447,1458
"asv19",641,581,611,627,640,554,576,597,612,624,514,541,558,575,587,409,481,500,512,523,532
"asv20",616,630,633,636,636,619,622,627,629,629,606,613,617,621,624,474,558,563,566,570,572
"asv21",433,194,208,226,269,183,193,207,225,266,183,185,195,208,224,0,160,162,169,180,188
"asv22",1310,1043,1041,1040,1043,1032,1032,1030,1029,1032,1038,1014,1015,1026,1025,843,973,972,964,981,981
"asv23",536,339,340,340,318,318,319,320,320,322,294,294,294,295,295,189,218,218,218,219,219
"asv24",722,646,746,749,754,731,637,641,742,747,619,722,628,728,632,626,597,698,602,601,603
"asv25",474,224,265,365,412,188,221,262,361,408,175,187,220,261,355,40,164,175,204,239,320
"asv26",990,828,835,831,833,820,821,826,822,824,782,779,780,786,782,566,639,638,637,640,638
"asv27",655,605,601,603,606,592,603,600,602,605,562,568,578,578,579,469,540,544,553,553,554
"asv28",321,277,280,281,282,271,275,278,277,278,264,266,270,273,274,228,254,256,257,260,258
"asv29",296,256,260,259,261,248,250,300,253,255,239,289,249,298,295,231,265,272,274,244,278
"asv30",414,374,377,378,381,364,368,370,371,374,362,360,362,364,365,291,334,344,345,346,346
"asv31",273,230,232,228,230,225,225,225,221,223,222,227,227,221,220,165,185,189,189,189,184
"asv32",289,265,267,264,266,261,266,268,264,266,254,256,261,263,259,197,236,238,241,243,244
"asv33",183,173,21,20,193,147,172,177,160,171,163,164,168,21,155,93,158,137,141,164,145
"asv34",179,113,118,122,142,110,112,117,121,140,106,107,108,112,116,25,94,94,96,99,102
"asv35",177,167,172,179,171,176,174,172,172,172,28,162,156,167,167,126,146,147,147,151,151
