"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","216451","194399","190628","190426","173841","156194","173","63","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_0-0"
"track2","216451","181143","177902","178088","164434","144485","225","140","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-235"
"track3","216451","185623","182295","182503","168716","147970","225","144","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-230"
"track4","216451","187575","184245","184530","170942","149481","226","152","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-225"
"track5","216451","189697","186287","186629","173047","151153","229","169","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-220"
"track6","216451","174135","170773","171187","157073","138954","222","128","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-240"
"track7","216451","179418","175963","176405","162553","143176","224","136","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-235"
"track8","216451","183671","180175","180573","166467","146404","223","141","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-230"
"track9","216451","185507","181997","182496","168607","147823","225","150","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-225"
"track10","216451","187505","183929","184465","170676","149421","228","159","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-220"
"track11","216451","166397","163020","163272","150080","132703","216","104","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-245"
"track12","216451","171285","167870","168287","154457","136485","221","129","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-240"
"track13","216451","176266","172476","173284","159033","139836","222","132","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-235"
"track14","216451","180232","176694","177143","162342","142548","222","142","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-230"
"track15","216451","181878","178300","178909","164459","143839","224","146","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-225"
"track16","216451","132092","129430","129707","120757","106414","196","21","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-250"
"track17","216451","153684","150463","150810","139136","122962","209","76","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-245"
"track18","216451","157889","154597","155062","142442","126065","212","97","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-240"
"track19","216451","162093","158750","159359","146791","129109","213","103","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-235"
"track20","216451","165311","161931","162531","149844","131604","215","111","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-230"
"track21","216451","166531","163133","163882","151443","132592","217","117","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-225"
