"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","Trunclen","nbases","MaxConsist","OmegaA"
"track1","121617","98090","97850","97723","97250","89338","24","36","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-40"
"track2","121617","98090","97895","97801","97373","89194","29","35","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-30"
"track3","121617","98090","97920","97826","97428","89209","39","35","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-20"
"track4","121617","98090","97922","97832","97374","89047","47","35","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-10"
"track5","121617","98090","97850","97723","97250","89338","25","35","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-40"
"track6","121617","98090","97895","97801","97373","89194","28","36","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-30"
"track7","121617","98090","97920","97826","97428","89209","37","37","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-20"
"track8","121617","98090","97922","97832","97374","89047","47","35","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-10"
"track9","121617","98090","97850","97723","97250","89338","24","36","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-40"
"track10","121617","98090","97895","97801","97373","89194","28","36","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-30"
"track11","121617","98090","97920","97826","97428","89209","39","35","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-20"
"track12","121617","98090","97922","97832","97374","89047","46","36","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-10"
"track13","121617","98090","97850","97723","97250","89338","23","37","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-40"
"track14","121617","98090","97895","97801","97373","89194","28","36","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-30"
"track15","121617","98090","97920","97826","97428","89209","38","36","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-20"
"track16","121617","98090","97922","97832","97374","89047","47","35","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-10"
"track17","121617","98090","97850","97723","97250","89338","23","37","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-40"
"track18","121617","98090","97895","97801","97373","89194","28","36","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-30"
"track19","121617","98090","97920","97826","97428","89209","39","35","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-20"
"track20","121617","98090","97922","97832","97374","89047","46","36","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-10"
"track21","121617","98090","97850","97723","97250","89338","25","35","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-40"
"track22","121617","98090","97895","97801","97373","89194","28","36","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-30"
"track23","121617","98090","97920","97826","97428","89209","38","36","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-20"
"track24","121617","98090","97922","97832","97374","89047","46","36","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-10"
"track25","121617","98090","97850","97723","97250","89338","24","36","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-40"
"track26","121617","98090","97895","97801","97373","89194","28","36","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-30"
"track27","121617","98090","97920","97826","97428","89209","38","36","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-20"
"track28","121617","98090","97922","97832","97374","89047","45","37","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-10"
"track29","121617","98090","97850","97723","97250","89338","25","35","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-40"
"track30","121617","98090","97895","97801","97373","89194","29","35","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-30"
"track31","121617","98090","97920","97826","97428","89209","37","37","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-20"
"track32","121617","98090","97922","97832","97374","89047","46","36","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-10"
"track33","121617","98090","97850","97723","97250","89338","24","36","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-40"
"track34","121617","98090","97895","97801","97373","89194","28","36","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-30"
"track35","121617","98090","97920","97826","97428","89209","37","37","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-20"
"track36","121617","98090","97922","97832","97374","89047","46","36","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-10"
"track37","121617","98090","97850","97723","97250","89338","24","36","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-40"
"track38","121617","98090","97895","97801","97373","89194","28","36","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-30"
"track39","121617","98090","97920","97826","97428","89209","38","36","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-20"
"track40","121617","98090","97922","97832","97374","89047","45","37","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-10"
"track41","121617","98090","97850","97723","97250","89338","25","35","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-40"
"track42","121617","98090","97895","97801","97373","89194","28","36","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-30"
"track43","121617","98090","97920","97826","97428","89209","39","35","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-20"
"track44","121617","98090","97922","97832","97374","89047","46","36","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-10"
"track45","121617","98090","97850","97723","97250","89338","23","37","TruncLen_245-235","nbases_1e+10","MaxConsist_20","OmegaA_1e-40"
